Nome: SAO PAULO(MIR.de SANTANA)
Codigo Estacao: 83781
Latitude: -23.49638888
Longitude: -46.61999999
Altitude: 785.16
Situacao: Operante
Data Inicial: 1974-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1974-01-01;1,3;2,2;11,4;25,6;21,7;20;86,5;82;3,6;
1974-01-02;1,7;3,7;0;26,2;20,2;13;83,5;72;2,6;
1974-01-03;2,7;6,3;0;27,2;21;17,5;79,5;69;2,9;
1974-01-04;3,2;10,3;0;27,7;21,3;16,6;76;63;4,6;
1974-01-05;3,8;6,4;0;27,8;23,5;18,6;78,3;69;2,4;
1974-01-06;2,5;4,9;,4;29,2;23,7;21,1;84,8;75;1,9;
1974-01-07;2,3;1;24,6;30,6;24,2;20;79,8;62;3,4;
1974-01-08;3,3;6,1;22,3;25,7;23,2;20,1;79,3;71;5,8;
1974-01-09;3,1;8,8;4,9;28,1;23,5;20,1;77,3;60;2,7;
1974-01-10;3,3;9,1;0;29,3;23,8;21,2;76,8;57;4,3;
1974-01-11;3,5;,2;9,3;22,2;20,2;19;89,8;86;3,1;
1974-01-12;,3;0;31,6;19,6;18;17;91;84;1,7;
1974-01-13;1,4;1,1;4,4;23,9;20,7;16,5;88,8;88;1,9;
1974-01-14;1,4;2;12,5;24,5;21,6;19,8;86,5;81;4,3;
1974-01-15;1,9;0;9,8;21,4;18,9;17,7;94,5;88;3,1;
1974-01-16;1;,2;13,8;22,2;19,7;17;89,3;84;2,7;
1974-01-17;1,4;,1;0;25,2;20,5;18,8;86,8;68;3,4;
1974-01-18;1,6;9,4;21,2;30,2;22,5;18;86,5;80;2,2;
1974-01-19;2;6,4;2,6;30,1;23,2;19;81,5;65;2,4;
1974-01-20;2,5;7,7;1,5;30,2;23,5;20;75;49;1,4;
1974-01-21;3,5;6;0;28,4;22,7;19,1;81,8;71;2,1;
1974-01-22;3;4,8;0;27,2;22,1;18,1;79;58;,7;
1974-01-23;1,7;8,7;11,2;28,7;22,3;18;78,8;65;1,6;
1974-01-24;3;8,7;0;29,2;22,3;17,9;77;59;2,1;
1974-01-25;3;9,3;0;30,1;22,9;17,5;76,8;49;1;
1974-01-26;3,5;9,3;5;29,7;23;20,2;79,5;53;2,1;
