ano,area_plantada_ha,municipio
2000,562582,Mato Grosso
2001,540085,Mato Grosso
2002,723135,Mato Grosso
2003,882658,Mato Grosso
2004,941125,Mato Grosso
2005,1073146,Mato Grosso
2006,1079980,Mato Grosso
2007,1650471,Mato Grosso
2008,1832687,Mato Grosso
2009,1665470,Mato Grosso
2010,2014192,Mato Grosso
2011,1922621,Mato Grosso
2012,2740833,Mato Grosso
2013,3416701,Mato Grosso
2014,3349650,Mato Grosso
2015,3570606,Mato Grosso
2016,3900268,Mato Grosso
2017,4784837,Mato Grosso
2018,4418507,Mato Grosso
2019,5026449,Mato Grosso
2020,5318762,Mato Grosso
2021,5808096,Mato Grosso
2022,6416967,Mato Grosso
2023,7429526,Mato Grosso
