Nome: COTRIGUACU
Codigo Estacao: 82927
Latitude: -9.92
Longitude: -58.27
Altitude: 250
Situacao: Desativada
Data Inicial: 2000-01-01
Data Final: 2000-11-07
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);
2000-01-01;null;32;25,5;21;84,3;69;
2000-01-02;null;null;null;22,6;null;67;
2000-01-03;null;33;25,8;22;89,3;79;
2000-01-04;null;33,2;25,5;22,4;86,8;74;
2000-01-05;null;28,8;null;25;null;90;
2000-01-06;null;29;null;24,4;null;95;
2000-01-07;null;30;23,9;19;88,3;77;
2000-01-08;null;30;24,2;19;93,8;89;
2000-01-09;null;29;23,1;18;94,5;88;
2000-01-10;null;30;23,8;19;null;93;
2000-01-11;null;32,4;23,2;9,9;null;88;
2000-01-12;null;34,2;26,4;22;null;84;
2000-01-13;null;33;22,1;10,9;null;92;
2000-01-14;null;39,1;26,2;21,2;null;90;
2000-01-15;null;32,8;25,2;20;null;88;
2000-01-16;null;33;25,9;21;null;86;
2000-01-17;null;33;25,2;20;89,8;81;
2000-01-18;null;31,4;23,9;20;93;88;
2000-01-19;null;33;25,5;20,2;82,5;62;
2000-01-20;null;34,8;26;21,2;85,8;79;
2000-01-21;null;31,2;24,1;19;89,3;73;
2000-01-22;null;32,8;24,7;21;90;80;
2000-01-23;null;29,8;null;25;null;97;
2000-01-24;null;30,8;null;22,7;null;79;
2000-01-25;null;31;24,6;21,4;90,5;82;
2000-01-26;null;32;24,1;20;null;92;
2000-01-27;null;29,6;24,4;21,2;null;94;
2000-01-28;null;32,2;null;25,8;null;95;
2000-01-29;null;32;null;25,4;null;90;
2000-01-30;null;32,4;25,7;21;88,3;76;
2000-01-31;null;32,4;null;26,1;88,3;76;
2000-02-01;null;null;null;null;null;94;
2000-02-02;null;null;null;null;null;null;
2000-02-03;null;null;null;null;null;null;
2000-02-04;null;null;null;null;null;null;
2000-02-05;null;null;null;null;null;null;
2000-02-06;null;null;null;null;null;null;
2000-02-07;null;null;null;null;null;null;
2000-02-08;null;null;null;null;null;null;
2000-02-09;null;null;null;null;null;null;
2000-02-10;null;null;null;null;null;null;
2000-02-11;null;null;null;null;null;null;
2000-02-12;null;null;null;null;null;null;
2000-02-13;null;null;null;null;null;null;
2000-02-14;null;null;null;null;null;null;
2000-02-15;null;null;null;null;null;null;
2000-02-16;null;null;null;null;null;null;
2000-02-17;null;null;null;null;null;null;
2000-02-18;null;null;null;null;null;null;
2000-02-19;null;null;null;null;null;null;
2000-02-20;null;null;null;null;null;null;
2000-02-21;null;null;null;null;null;null;
2000-02-22;null;null;null;null;null;null;
2000-02-23;null;null;null;null;null;null;
2000-02-24;null;null;null;null;null;null;
2000-02-25;null;null;null;null;null;null;
2000-02-26;null;null;null;null;null;null;
2000-02-27;null;null;null;null;null;null;
2000-02-28;null;null;null;null;null;null;
2000-02-29;null;null;null;null;null;null;
2000-03-01;null;33,2;25,6;22,4;null;96;
2000-03-02;null;29,8;null;22,8;null;71;
2000-03-03;null;31,8;24,6;24;88,5;66;
2000-03-04;null;null;25;21,4;89,8;71;
2000-03-05;null;31,6;24,9;22;86,8;67;
2000-03-06;null;32,4;25,2;20,4;null;92;
2000-03-07;null;null;null;null;null;90;
2000-03-08;null;null;null;null;null;78;
2000-03-09;null;32,8;null;26;null;null;
2000-03-10;null;32,6;24,5;21;95,3;89;
2000-03-11;null;29,8;24,2;20;null;97;
2000-03-12;null;32,2;25,5;22,7;null;89;
2000-03-13;null;32,2;null;20,2;null;92;
2000-03-14;null;31,8;null;23,4;null;98;
2000-03-15;null;30,2;26,4;20;90,8;89;
2000-03-16;null;30,6;24,3;21,4;97;92;
2000-03-17;null;30;24,7;22;88,5;84;
2000-03-18;null;28;23,2;20,2;93;84;
2000-03-19;null;31;24,1;20,4;89,3;69;
2000-03-20;null;31,2;24,6;21,2;91;79;
2000-03-21;null;32;null;21;null;66;
2000-03-22;null;33;26,4;21,4;82,5;66;
2000-03-23;null;30,6;25,1;21,4;90;70;
2000-03-24;null;34;26,2;21,8;82,8;61;
2000-03-25;null;34;null;21,4;null;62;
2000-03-26;null;35;null;27;null;null;
2000-03-27;null;35;null;21,4;null;71;
2000-03-28;null;31,4;26,3;21;90,8;74;
2000-03-29;null;31,6;25,6;21,4;null;93;
2000-03-30;null;31,4;24,3;22;90;68;
2000-03-31;null;30,8;23,9;21,2;91,8;80;
2000-04-01;null;29,2;25;22;83,8;68;
2000-04-02;null;31,8;25,8;22,6;85,8;66;
2000-04-03;null;32;25,4;22,4;86,3;63;
2000-04-04;null;32,2;26,1;22,8;83;66;
2000-04-05;null;32;null;21,1;null;70;
2000-04-06;null;33;26,6;22,2;null;89;
2000-04-07;null;30,2;null;25,2;null;90;
2000-04-08;null;32,2;25,8;22,4;87;77;
2000-04-09;null;32,8;25,8;22;86,5;72;
2000-04-10;null;33;25,2;20,4;92;88;
2000-04-11;null;32,8;24,8;21;null;93;
2000-04-12;null;32,4;24,7;21;89,8;71;
2000-04-13;null;32,8;24,9;20;87;67;
2000-04-14;null;31,6;null;25,4;null;92;
2000-04-15;null;31,6;null;25,1;null;66;
2000-04-16;null;32,8;null;22,5;null;97;
2000-04-17;null;32,8;25,6;22,5;90,8;73;
2000-04-18;null;32;null;24,4;null;64;
2000-04-19;null;31;24,7;21,4;89,3;68;
2000-04-20;null;32,4;25,4;21,2;89;73;
2000-04-21;null;30;24,4;21;null;92;
2000-04-22;null;34;27,9;24,6;null;66;
2000-04-23;null;34;null;24,3;null;96;
2000-04-24;null;33,2;26,1;22,5;83,8;65;
2000-04-25;null;33,2;25,2;20;90,8;88;
2000-04-26;null;30;23,9;21;95,5;89;
2000-04-27;null;30;null;20,8;null;68;
2000-04-28;null;32,6;25,9;22,7;87,8;71;
2000-04-29;null;32,6;null;24,9;null;77;
2000-04-30;null;33;null;25,4;null;63;
2000-05-01;null;32,6;25,5;21;83,8;67;
2000-05-02;null;32,8;25,8;21,6;84,8;65;
2000-05-03;null;33;25,4;21,4;85,5;62;
2000-05-04;null;33,2;25,9;20,8;84,3;67;
2000-05-05;null;33;null;21;86,3;71;
2000-05-06;null;34;26,9;22,5;81,8;61;
2000-05-07;null;31,2;null;24,8;82,5;59;
2000-05-08;null;33,2;26,1;22,7;86,3;75;
2000-05-09;null;33,8;25,8;22;85,8;72;
2000-05-10;null;32;25,5;21,8;89,5;73;
2000-05-11;null;33,6;26,6;21,4;84,8;71;
2000-05-12;null;33,8;26,7;22,7;91,8;87;
2000-05-13;null;34;26,1;22,5;95,5;92;
2000-05-14;null;32,6;25,2;21;95,5;93;
