Nome: MATUPA
Codigo Estacao: 83214
Latitude: -10.19166666
Longitude: -54.9461111
Altitude: 272
Situacao: Desativada
Data Inicial: 2000-01-01
Data Final: 2021-03-14
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);
2000-01-01;17;30,8;23,7;20,4;88,5;82;
2000-01-02;30;29,1;23,5;19,6;90,8;85;
2000-01-03;50;27,4;22,2;18,6;94,8;92;
2000-01-04;16;24,2;22,9;19;80;71;
2000-01-05;null;30,2;24,1;18,4;75;58;
2000-01-06;38;32,2;24,5;18,8;84;70;
2000-01-07;8;30,6;23,2;18,4;92;84;
2000-01-08;null;25,4;22,3;18;86,8;73;
2000-01-09;null;29,8;23,7;19,6;85;69;
2000-01-10;null;30,6;23,5;18,8;90,3;84;
2000-01-11;null;25,8;22,8;18,4;82;56;
2000-01-12;9;33,8;24,9;17,8;82,8;66;
2000-01-13;null;32,2;24,1;18,9;86,3;68;
2000-01-14;null;30;24,1;19,2;78,3;62;
2000-01-15;null;32,3;24,3;19,2;78,5;55;
2000-01-16;null;33,4;24,7;19,6;83;71;
2000-01-17;null;30;25,3;18,6;68;56;
2000-01-18;18;33,5;24,5;17,6;81,8;61;
2000-01-19;null;32,6;25,7;18,4;78,3;68;
2000-01-20;null;30,3;24,2;19,2;84;61;
2000-01-21;0;33,4;24,5;17,6;80,5;63;
2000-01-22;44;33;24,2;18,8;85,5;71;
2000-01-23;41;32,4;24,7;18,8;83,5;77;
2000-01-24;8;33,6;24,9;19,2;79;61;
2000-01-25;3;31,8;24;19,6;89,3;75;
2000-01-26;6;29,4;23,8;19,2;88;73;
2000-01-27;null;30,8;25;20;77,5;58;
2000-01-28;1;31,8;24,1;18,2;78,8;61;
2000-01-29;null;33,2;24,8;18,7;89,5;76;
2000-01-30;null;32,8;24,2;19;91,8;81;
2000-01-31;null;28,6;24,3;18,6;85;70;
2000-02-01;null;32,6;25,4;19,4;82,8;63;
2000-02-02;1;33,8;26,5;19,2;76;56;
2000-02-03;0;33,4;26,6;19,6;75,5;62;
2000-02-04;0;32;25,5;19;82,3;77;
2000-02-05;9;30,4;25,3;19,6;79;60;
2000-02-06;6;33;24,1;19,6;94,5;79;
2000-02-07;6;26,9;23,6;19,6;92;87;
2000-02-08;null;27,2;23,4;19,4;88,5;68;
2000-02-09;null;30,4;24,1;20,4;88;65;
2000-02-10;null;31,1;24;19,2;90,5;80;
2000-02-11;15;27,7;23,2;19,6;90,8;76;
2000-02-12;62;30;23,1;18,6;94,5;93;
2000-02-13;1;25;22,9;21,6;90;76;
2000-02-14;null;26,6;23;19,2;86;76;
2000-02-15;null;28,4;23,7;18,6;86,3;85;
2000-02-16;null;30,8;22,4;13,6;93,5;87;
2000-02-17;null;28,1;22,7;18,8;90,3;82;
2000-02-18;null;29,1;24,6;18,8;80,3;68;
2000-02-19;null;30,7;22,9;17,2;89,3;76;
2000-02-20;8;27,8;22,2;13,6;93;91;
2000-02-21;25;30,8;23,7;18,6;85,5;65;
2000-02-22;null;30,6;23,7;19,2;84,8;64;
2000-02-23;null;31,4;24,8;19,2;76,5;64;
2000-02-24;0;32,4;24,9;19;79;62;
2000-02-25;0;33,2;24,9;20,2;84;68;
2000-02-26;13;31,4;24,7;19,6;85;70;
2000-02-27;null;31;24,3;19,4;86,8;55;
2000-02-28;null;33,6;24,9;20,2;87,5;68;
2000-02-29;null;32,8;24,4;19;86,5;64;
2000-03-01;0;31,2;24,9;18,4;83;61;
2000-03-02;0;32,8;24,7;18,8;88;78;
2000-03-03;17;31,2;24,9;19,6;84,5;82;
2000-03-04;97;31,1;24,2;19,2;91;79;
2000-03-05;8;28,8;24;19,2;85,8;68;
2000-03-06;0;31,4;26;19,6;80,3;61;
2000-03-07;0;33;25,4;20;81,8;56;
2000-03-08;4;32,8;25,3;19,2;85,3;71;
2000-03-09;6;30,4;23,9;20;94,3;88;
2000-03-10;25;28,6;25,2;19,4;78,3;61;
2000-03-11;0;31,8;25,9;19,6;82;75;
2000-03-12;0;30,5;24,7;14,5;75,5;54;
2000-03-13;15;32,2;24,9;19,6;78,3;60;
2000-03-14;null;29,6;23,6;18,6;89,3;64;
2000-03-15;168;32,6;24,5;18;87;78;
2000-03-16;0;29;24,4;19,6;84,5;71;
2000-03-17;0;31,2;23,5;18,8;95,5;90;
2000-03-18;9;26;23;18,6;90;77;
2000-03-19;19;29;23,5;19,6;93;83;
2000-03-20;11;26,4;24,5;19,2;80,8;61;
2000-03-21;6;32;25;20,2;93,5;86;
2000-03-22;0;28,8;24,9;19;78,5;53;
2000-03-23;0;32,8;26,2;20,4;77,5;61;
2000-03-24;0;33,2;26,7;19,6;76;61;
2000-03-25;0;33,6;27,6;19,4;66,8;49;
2000-03-26;0;34,4;27,1;20;70;47;
2000-03-27;0;34,4;26,8;21,6;78;54;
2000-03-28;6;33,6;24,9;19,1;87,8;80;
2000-03-29;0;28,6;23,7;13,8;82,5;65;
2000-03-30;0;31,2;25,5;19,2;82,8;74;
2000-03-31;0;31,8;24,3;19,6;94,8;81;
2000-04-01;0;27,6;23,2;19;88,3;73;
2000-04-02;0;30,8;22,9;18,4;93,8;86;
2000-04-03;13;29,8;23,3;17,8;88,5;80;
2000-04-04;0;31,4;23,7;19;88;65;
2000-04-05;17;32,4;24;19;91,3;71;
2000-04-06;3;30,8;24,4;19;90;83;
2000-04-07;4;30,6;24,8;19,2;87,8;70;
2000-04-08;0;33;25,3;19,2;83,3;65;
2000-04-09;0;33,2;25,1;18,9;86,3;71;
2000-04-10;0;31,2;24,7;18,4;79,3;59;
2000-04-11;0;33,6;24,8;18,6;90,5;81;
2000-04-12;1;32,6;24,6;18,3;84,8;65;
2000-04-13;0;31,8;25;19;83;63;
2000-04-14;6;32,8;24,4;19;88,3;59;
2000-04-15;17;33,2;24,7;19,4;93,5;93;
2000-04-16;24;31;23,9;18,2;89,8;77;
2000-04-17;1;28,8;24,2;18,6;86;65;
2000-04-18;17;33;25,1;19,5;84,3;69;
2000-04-19;27;31,8;24,1;20;97;84;
2000-04-20;61;29,2;23,6;19,2;91,8;74;
2000-04-21;4;31,4;25;19,6;84;71;
2000-04-22;0;31,8;24,5;20;96,3;84;
2000-04-23;0;32,2;25,1;20;85,3;63;
2000-04-24;2;31,3;24,8;20;88;65;
2000-04-25;8;32,6;24,9;19,4;94,8;91;
2000-04-26;15;32;24,6;18,6;85,5;71;
2000-04-27;0;29,5;24,6;18,6;83,5;68;
2000-04-28;0;31,8;25,1;18,8;73,5;47;
2000-04-29;0;32,2;24,6;16;68,8;51;
2000-04-30;0;32,6;24,8;15,4;69;54;
2000-05-01;0;32,8;24,8;18;79;59;
2000-05-02;0;33,6;23,9;17,8;82,8;55;
2000-05-03;0;33,2;25;18,8;80;63;
2000-05-04;0;32,8;25,1;17,8;77,5;64;
2000-05-05;0;33;25,8;18,5;71,8;55;
2000-05-06;0;33,6;25,9;18,2;69,8;58;
2000-05-07;0;33,4;25,7;18,2;75;57;
2000-05-08;0;32,8;25,1;18,6;78;54;
2000-05-09;0;33,2;25,3;18;76;55;
2000-05-10;0;33,8;25,1;20;83;55;
2000-05-11;0;33,4;25,7;19;77,3;60;
2000-05-12;0;33;25,8;18,5;76,5;61;
2000-05-13;0;33,6;25,8;20,2;76,5;59;
2000-05-14;0;33,4;25,8;19;73,5;50;
2000-05-15;0;33,4;24,9;16,2;72,8;49;
2000-05-16;0;32,6;24,3;15,6;69,3;45;
2000-05-17;0;33,6;24,1;15,4;70,5;45;
2000-05-18;0;33,1;24,6;17,2;72,3;56;
2000-05-19;0;31,7;24;17,2;72,5;57;
2000-05-20;0;32,4;23,9;15,2;72;52;
2000-05-21;0;31,8;24,8;19;65;52;
2000-05-22;0;32,6;24,8;16,6;73;49;
2000-05-23;0;33,4;25,1;17,6;74,5;56;
2000-05-24;0;33,4;25,3;17,4;71,8;54;
2000-05-25;0;33;25,2;17,2;70,3;52;
2000-05-26;0;33,4;24,8;16,9;70,8;54;
2000-05-27;0;33,4;24,6;16;70,5;53;
2000-05-28;0;33,2;23,9;14,8;68;51;
2000-05-29;0;32,8;23,1;13,4;70;53;
2000-05-30;0;33;23,3;14,5;70,8;52;
2000-05-31;0;33,4;24,3;15,6;74,8;62;
2000-06-01;0;34;24,2;15,5;72,5;60;
2000-06-02;0;34;23,9;15,2;75;68;
2000-06-03;0;33,6;24;15,4;76;69;
2000-06-04;1;33,4;25,4;18,4;61,8;48;
2000-06-05;1;33,6;24,3;16,2;68;49;
2000-06-06;0;33,4;24;15,6;67,3;47;
2000-06-07;0;32,6;24,2;15,4;68;45;
2000-06-08;0;33,2;24,1;15,5;64;42;
2000-06-09;0;33,4;23,6;15,1;65;40;
2000-06-10;0;33,4;24,2;14,6;60,8;46;
2000-06-11;0;33,8;24,5;15,5;66;48;
2000-06-12;0;34,2;24,3;15,4;65,3;45;
2000-06-13;0;34;24,1;15,5;71,5;47;
2000-06-14;0;34,4;24,9;16,6;61,8;42;
2000-06-15;0;34,6;24,6;15,6;65,3;42;
2000-06-16;0;34,2;23,7;15,8;68,3;44;
2000-06-17;0;33,8;23,9;15,6;65,3;42;
2000-06-18;0;33,6;24;14,6;61,3;42;
2000-06-19;0;34;23,8;15,2;66,5;43;
2000-06-20;0;33,4;24,2;15,6;64,5;49;
2000-06-21;0;33,4;24,3;16;65;49;
2000-06-22;0;32,4;24;15,8;69,3;49;
2000-06-23;0;33;24;15,6;71;48;
2000-06-24;0;34;24,9;16,6;69,8;51;
2000-06-25;null;34,4;24;16,4;69;53;
2000-06-26;null;33,9;23,7;14,4;66;48;
2000-06-27;25,2;33,4;23,3;13,8;64,8;42;
2000-06-28;null;33,6;24;15;65,8;45;
2000-06-29;0;34,3;24,4;15,5;72;48;
2000-06-30;null;35,2;25,4;18,3;69,8;46;
2000-07-01;0;35,2;24,1;15,6;68,8;44;
2000-07-02;0;34,4;24,4;15,4;63,8;38;
2000-07-03;0;34,4;24,5;16;60,5;34;
2000-07-04;0;34,4;23,3;13;48,3;25;
2000-07-05;0;34,2;22,4;12,4;52,5;24;
2000-07-06;0;32,9;23,3;14,4;54,8;39;
2000-07-07;0;32,1;23,5;16,2;60,5;45;
2000-07-08;0;33,8;24,1;16;57,5;40;
2000-07-09;0;34,2;24,4;15,2;59;36;
2000-07-10;0;34,4;24,6;18,8;55,3;33;
2000-07-11;0;34,8;24,4;16,2;60,8;42;
2000-07-12;0;34,2;21,1;12,4;61;46;
2000-07-13;0;27,8;20,3;11,8;58;41;
2000-07-14;0;29,4;20,9;12,5;63;46;
2000-07-15;0;30,8;22,8;13,4;65;39;
2000-07-16;0;33,8;23,4;13,9;64,5;41;
2000-07-17;0;32,6;22,7;14,2;53,3;39;
2000-07-18;0;31,5;22,1;13,2;59,5;39;
2000-07-19;0;33,4;23,1;14,6;56,3;30;
2000-07-20;0;34,6;23,9;16,5;49,5;34;
2000-07-21;0;32,6;23,4;13,8;61,8;43;
2000-07-22;0;34,7;24,1;16,6;69;49;
2000-07-23;0;34,5;23,7;17,2;80,8;70;
2000-07-24;0;33;22,1;13,2;58;45;
2000-07-25;0;30,3;23;14,2;60;41;
2000-07-26;0;34,8;24,7;15,2;58;39;
2000-07-27;0;34,9;25,3;16,5;null;35;
2000-07-28;0;35,9;26,6;18,5;84,3;70;
2000-07-29;0;36,4;26,6;19,6;59,5;41;
2000-07-30;0;35,8;26,4;18;57,3;44;
2000-07-31;0;35,4;25,5;17,4;58,3;41;
2000-08-01;0;35,4;25,8;19;61;42;
2000-08-02;0;35,6;25,9;17,8;56,8;41;
2000-08-03;0;36,2;26;17,7;57,5;42;
2000-08-04;0;36,1;25,6;18,4;63,3;45;
2000-08-05;0;35,4;26,5;18,9;56,3;46;
2000-08-06;0;35,6;27;17,8;53,5;38;
2000-08-07;0;37;26,2;17,8;58;41;
2000-08-08;0;36,4;25,5;17,4;54,3;37;
2000-08-09;0;36,8;26,1;18,4;65,3;48;
2000-08-10;0;35,8;26,2;20,2;67,3;57;
2000-08-11;0;33,6;25,3;20,4;71,3;57;
2000-08-12;0;34,8;25,4;20;67,5;58;
2000-08-13;0;33,4;24,6;17,6;65,8;50;
2000-08-14;1;34;25,8;20,2;72;61;
2000-08-15;0;31;24,5;19;70,5;48;
2000-08-16;0;35;26;20;62,5;46;
2000-08-17;0;35,6;26,7;19,2;55,8;39;
2000-08-18;0;35,4;24,9;16;59;39;
2000-08-19;0;35,4;26,3;19,6;55,8;40;
2000-08-20;0;36,9;26,3;16,8;55,8;38;
2000-08-21;0;36,6;25,2;17,3;60,8;33;
2000-08-22;0;37;25,5;16,6;60,3;39;
2000-08-23;0;36,8;26,8;19,2;54,8;37;
2000-08-24;0;37,4;27,1;19;54,8;40;
2000-08-25;0;36,8;26,6;18,6;57;43;
2000-08-26;0;37;27,4;19,2;54,8;45;
2000-08-27;0;37,8;26,7;21;71,3;51;
2000-08-28;0;34,8;26,5;20,4;68;51;
2000-08-29;0;35,6;25,8;21,8;84,3;59;
2000-08-30;66;35,3;25,6;22;94,3;90;
2000-08-31;1;26,4;24,7;21,4;73,3;54;
2000-09-01;0;35,6;26,8;23,2;74;54;
2000-09-02;0;36,2;26,1;20,6;73;58;
2000-09-03;0;34,4;24,6;20,2;81,5;70;
2000-09-04;0;30;25,6;20,6;70,8;58;
2000-09-05;0;34,4;26,8;21;68,5;55;
2000-09-06;39;35,8;25,9;21,2;87,8;66;
2000-09-07;0;29,9;25,2;21,6;79,5;76;
2000-09-08;0;31,6;25,8;20,8;73,5;58;
2000-09-09;0;34,2;26,2;16,8;64,3;53;
2000-09-10;0;35,6;26;16,8;71;53;
2000-09-11;0;35,6;24;16;84,3;62;
2000-09-12;9;34,2;24,6;15,8;80,8;67;
