Nome: POXOREU
Codigo Estacao: 83358
Latitude: -15.82749999
Longitude: -54.39555555
Altitude: 374.35
Situacao: Desativada
Data Inicial: 2000-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);
2000-01-01;47,4;32,3;26,1;22,2;78,8;63;
2000-01-02;5,1;29,6;24,7;22,8;93;77;
2000-01-03;22,3;33,2;27,1;21,6;72,5;47;
2000-01-04;0;29,4;26,2;22;67,5;47;
2000-01-05;0;32,1;25,3;22,4;80,5;54;
2000-01-06;12,6;31,8;25,2;22;84,8;61;
2000-01-07;4,3;30,9;24,9;22;77,8;62;
2000-01-08;,6;29,2;25,1;21,8;83;76;
2000-01-09;0;30,7;24,7;20,9;78,3;57;
2000-01-10;0;31,4;24,9;21;76,5;58;
2000-01-11;0;32,4;26,4;21,4;70,5;56;
2000-01-12;0;33,1;25,8;21,8;84,3;72;
2000-01-13;,4;31,4;25,4;22,6;85,8;76;
2000-01-14;6,5;32,8;26,7;21;67,8;45;
2000-01-15;0;34,8;27,5;20,4;69,3;46;
2000-01-16;0;32,8;27;21,6;82,8;75;
2000-01-17;38,2;29,8;26,4;21,6;75,3;50;
2000-01-18;2;31,5;26,4;22;75,3;59;
2000-01-19;0;34,6;26,4;22;73;50;
2000-01-20;0;33,6;25,9;21,8;75,5;58;
2000-01-21;0;30,9;25,9;22,4;90,3;77;
2000-01-22;32,4;33;25,1;22;90;88;
2000-01-23;31,6;31,6;25,6;21,2;84,5;76;
2000-01-24;0;33,2;26,8;21,6;79,8;59;
2000-01-25;0;33,3;27,6;22,4;66,8;55;
2000-01-26;,3;29,2;24,8;22,8;96,3;64;
2000-01-27;23,1;25;23,6;22,2;93,5;92;
2000-01-28;16,6;30,2;25,6;22;81,8;71;
2000-01-29;2;31,2;26,1;22,5;80,8;67;
2000-01-30;1,9;32;25,4;21,8;84,5;59;
2000-01-31;11,9;34,7;27,3;21,8;77,5;52;
2000-02-01;0;31,6;25,6;22;87,3;83;
2000-02-02;2,9;33,2;24,7;21,4;83,8;57;
2000-02-03;19,6;31;24,2;21;88,8;76;
2000-02-04;4,3;29,4;24,3;21;92;90;
2000-02-05;5,9;31,7;24,9;21,2;95,3;93;
2000-02-06;21,8;30,2;24,1;21,6;91,5;84;
2000-02-07;13,9;30;24,8;21,2;84,3;67;
2000-02-08;8,7;32,6;25,4;21,8;91,3;88;
2000-02-09;null;29,4;24,2;22;88,3;69;
2000-02-10;33;29;24,4;22;87,8;71;
2000-02-11;4,3;30,6;25,2;22;82,8;62;
2000-02-12;2,3;31,4;24,6;22,1;85;59;
2000-02-13;10;28,8;23,9;21,8;87,5;71;
2000-02-14;22,8;31,2;25,2;21,2;82;68;
2000-02-15;2;32,4;24,9;22;84,5;59;
2000-02-16;16;32,5;25;20;75,8;56;
2000-02-17;49,3;28,6;23,4;19,4;86,8;78;
2000-02-18;7,6;32,8;24,3;20,4;86,3;56;
2000-02-19;6,4;30,6;25;20,6;80;62;
2000-02-20;8,9;31,7;25,8;21;75,3;54;
2000-02-21;0;32,4;25,2;22;78,3;52;
2000-02-22;15,6;30,8;24,8;21,2;81,5;57;
2000-02-23;0;33,6;25,8;20,8;80,5;58;
2000-02-24;0;33,6;26,4;21,8;78,5;59;
2000-02-25;0;34,6;26,5;20,2;70;48;
2000-02-26;0;34,4;27,2;20,9;71;50;
2000-02-27;0;34,6;26,5;22,2;74,5;48;
2000-02-28;10;29,7;24,1;20,5;97,3;86;
2000-02-29;86;33;24,5;20,4;85,3;55;
2000-03-01;91,7;28,8;24,6;20,8;88,8;84;
2000-03-02;,6;29;24,3;21,4;92,5;88;
2000-03-03;18,2;30,2;25,2;21,8;91,3;86;
2000-03-04;12,5;28;25,1;22,2;89,5;90;
2000-03-05;65,9;27,4;23,8;20,6;92;88;
2000-03-06;4,1;32,8;26,1;20,6;83,3;65;
2000-03-07;0;33;25,9;21,2;78;57;
2000-03-08;0;31,2;25,3;22,5;82,3;68;
2000-03-09;0;30;25,2;21,8;84,8;72;
2000-03-10;6,2;27,8;23,9;21,6;93,8;85;
2000-03-11;7,3;29,4;24,2;21,8;94;87;
2000-03-12;2,3;29,4;25,4;21;78,5;69;
2000-03-13;0;30,8;25,3;22,7;86;76;
2000-03-14;23,2;29,4;24,5;20,4;86,5;79;
2000-03-15;1,8;31,5;25,7;20,8;82,8;64;
2000-03-16;4;28,6;24,3;21,6;92;88;
2000-03-17;4,6;28,2;24,2;21,8;90;80;
2000-03-18;47,9;30,5;24,6;20,4;86;71;
2000-03-19;8,8;31,2;24,5;20,4;85;58;
2000-03-20;7,3;33;26;21,2;74,8;55;
2000-03-21;0;29,4;24,9;22,6;82,5;72;
2000-03-22;0;32,4;25,7;20,2;71;64;
2000-03-23;0;33,6;25,8;21,4;80,5;47;
2000-03-24;,6;34,4;26,5;20;77;54;
2000-03-25;null;32,8;26,9;21,2;78,5;60;
2000-03-26;null;34,2;27,3;21,8;77,3;61;
2000-03-27;0;35;27,4;21;70,8;45;
2000-03-28;0;34;24,9;19,6;72,5;45;
2000-03-29;0;30,4;24,8;21,4;82;62;
2000-03-30;1,2;32,2;25,9;21,3;76,5;64;
2000-03-31;20,3;30,8;25,2;20,6;82,8;61;
2000-04-01;6,4;29,6;23;20,4;94,8;88;
2000-04-02;11,8;30,4;24,5;19;78;59;
2000-04-03;0;33;25,6;20,2;80,5;57;
2000-04-04;1,1;31,4;25,4;20,8;81,5;59;
2000-04-05;,2;31,4;25,3;21,2;82;58;
2000-04-06;0;32,7;25,1;19,4;79;50;
2000-04-07;0;33,6;25,2;19,2;72;45;
2000-04-08;0;33,5;26;19,4;71,3;48;
2000-04-09;0;33;25,9;19,2;73,5;54;
2000-04-10;0;33,8;25,6;19,6;69,5;53;
2000-04-11;0;34;25,2;19,2;71,5;45;
2000-04-12;0;33,6;24,9;18,8;71,8;50;
2000-04-13;0;31,8;25,2;19,8;77,8;62;
2000-04-14;0;32,6;25,2;20,4;76;52;
2000-04-15;null;33,4;25,7;19,4;76;48;
2000-04-16;null;32,4;24,7;21;92,3;83;
2000-04-17;20,8;32,2;24,9;20,4;82,8;56;
2000-04-18;3,8;29,5;23,9;21,5;94,3;91;
2000-04-19;30,4;27,8;23,8;21,2;86,8;76;
2000-04-20;0;26,8;22,8;21;86,3;75;
2000-04-21;0;29,6;23,2;18;80;63;
2000-04-22;0;30;22;16,4;76,8;52;
2000-04-23;0;30,2;21,6;14;75,3;46;
2000-04-24;0;32,1;23,5;16,8;73,3;47;
2000-04-25;0;33,7;25;17,4;73;47;
2000-04-26;0;34,2;25,8;20,4;72,3;44;
2000-04-27;0;32,7;24,7;20,6;80;51;
2000-04-28;2,6;31;23;20,2;87,5;61;
2000-04-29;null;31,2;24,5;20,2;81;49;
2000-04-30;0;31;23,9;19;79;50;
2000-05-01;0;33,2;24,2;17,8;76,8;44;
2000-05-02;0;31;24;18,2;78,8;56;
2000-05-03;0;33,3;25,5;19,4;75;43;
2000-05-04;0;32,9;24,7;19,6;75,3;49;
2000-05-05;0;32,7;24,9;19,4;77;51;
2000-05-06;0;25,4;21,5;20;88,8;82;
2000-05-07;0;29,6;23,2;18,8;83,3;68;
2000-05-08;0;29,4;23,1;17,8;82,8;74;
2000-05-09;0;31,1;23,8;18,4;79,3;56;
2000-05-10;0;32;24,5;18,4;75,5;52;
2000-05-11;0;31,7;24,1;18,6;75,8;52;
2000-05-12;0;32;23,8;16,8;74,5;51;
2000-05-13;0;32,8;24;16,6;72,8;49;
2000-05-14;0;32,2;23,3;16,9;73,8;46;
