Nome: CUIABA
Codigo Estacao: 83361
Latitude: -15.61999999
Longitude: -56.10888888
Altitude: 157.7
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);
2000-01-01;0;31,5;27;24,1;85;70;
2000-01-02;38,8;31,4;26,5;23,6;89,3;77;
2000-01-03;,2;35;28,5;22,3;66,5;52;
2000-01-04;0;35;28,7;23,5;68;51;
2000-01-05;0;34,2;28,4;23,5;70;56;
2000-01-06;1,8;34,1;28;24,9;76,8;65;
2000-01-07;3,4;34,1;28,2;24,7;74,3;59;
2000-01-08;0;33;27,8;25,7;76,5;68;
2000-01-09;0;34,1;27,1;24,6;78;58;
2000-01-10;6,4;33,2;27,2;24,2;79,5;56;
2000-01-11;2;33,1;27,9;24,3;75,8;55;
2000-01-12;0;34,5;28,9;24,6;72,3;59;
2000-01-13;0;32,6;27,5;24,6;78,3;62;
2000-01-14;5;34,5;28,9;24,2;68;52;
2000-01-15;0;36,2;30;24,5;64,3;52;
2000-01-16;0;33,5;28,7;25,9;78,8;66;
2000-01-17;1,2;36,8;29,1;24,9;73;47;
2000-01-18;2,1;33,5;27,6;23,5;80,8;70;
2000-01-19;1,1;35,6;28,2;25,2;79,8;58;
2000-01-20;15,4;35,1;28,4;24,5;72,5;63;
2000-01-21;0;33,9;29,2;26,1;72,5;60;
2000-01-22;0;33,1;27,4;25,1;90;76;
2000-01-23;12,4;32,6;26,9;24,2;82,8;71;
2000-01-24;,3;33,6;27,4;23,9;87,5;70;
2000-01-25;40;32,9;26,8;23,7;86;73;
2000-01-26;1,6;32,8;26,9;24,6;87,8;76;
2000-01-27;38,8;28,9;25,3;23,6;86,3;79;
2000-01-28;6,4;32,6;26,4;23,7;77,5;62;
2000-01-29;0;32,3;25,5;23,4;85,3;69;
2000-01-30;3,2;34,2;27,8;23,1;79,8;64;
2000-01-31;0;34,6;28,5;24,5;79,8;66;
2000-02-01;0;34,4;28,2;24,7;74,8;59;
2000-02-02;0;36,5;29,3;25,3;67,8;47;
2000-02-03;0;33,9;28,9;24,7;68,3;56;
2000-02-04;0;33,7;27,1;25;86,3;70;
2000-02-05;5,4;34,5;27,4;24,1;89,5;82;
2000-02-06;7,3;33,4;26,9;24,5;86;80;
2000-02-07;31,1;31,2;26,1;22,9;85;65;
2000-02-08;null;31,7;25,7;23,5;88;73;
2000-02-09;null;30,6;25,5;23,2;89,8;87;
2000-02-10;23,2;29;25,5;23,5;89,5;89;
2000-02-11;1;29,5;26,1;23,7;85,8;82;
2000-02-12;1,4;28,8;26,1;24,2;84,3;80;
2000-02-13;4,2;29,7;25,9;23;86;74;
2000-02-14;,4;28,9;25,1;23;91,8;89;
2000-02-15;,6;31,9;26;22,7;82;71;
2000-02-16;12,4;31,9;25,9;22,3;82,5;63;
2000-02-17;0;29,1;25,2;22,3;88;79;
2000-02-18;0;33,9;27,2;22,7;76,3;61;
2000-02-19;8,4;32,7;25,5;22,4;88,8;68;
2000-02-20;3,6;33,9;28;23,5;78,8;68;
2000-02-21;18;33;27,5;23;86,8;76;
2000-02-22;27,4;29,4;25,5;22,9;93,3;89;
2000-02-23;7,4;33,3;27,5;23;80,8;65;
2000-02-24;null;34;27,9;24,5;79,3;63;
2000-02-25;null;36,1;29,2;23,9;68,5;50;
2000-02-26;0;34,4;29,3;25,3;84;70;
2000-02-27;0;34,9;29,4;26,1;83,8;71;
2000-02-28;1,2;33,7;28,2;25,7;90;85;
2000-02-29;null;32,9;26,8;23,5;91;79;
2000-03-01;35;29,7;25,8;22,9;93,8;89;
2000-03-02;1,2;30,1;26,2;23,3;93,5;91;
2000-03-03;,4;30,7;26,5;23,8;91;84;
2000-03-04;15;32,1;26,2;23,5;89,5;82;
2000-03-05;11,6;30,4;26,1;23,1;90;87;
2000-03-06;0;33,6;27,3;23,6;86;79;
2000-03-07;0;33,7;26,9;23,3;90;83;
2000-03-08;0;32,2;25,9;23,4;88;75;
2000-03-09;4,2;33;27;23,5;90,3;85;
2000-03-10;0;28,9;26,7;24,5;94;90;
2000-03-11;4,4;30,6;25,2;23,4;95,8;94;
2000-03-12;22;29,9;26;22,9;94;86;
2000-03-13;0;33,3;26,6;23,1;87,3;68;
2000-03-14;104,4;30,5;25,6;21,9;93,8;88;
2000-03-15;21,2;31,9;26;22,7;85;73;
2000-03-16;11;32,1;26,2;23,5;91,5;80;
2000-03-17;2,8;30,1;26,3;23,9;85,8;82;
2000-03-18;11,8;27,1;24,3;22,8;94,3;84;
2000-03-19;31;31,5;26,2;22,5;87,8;76;
2000-03-20;3,4;34,1;28,5;23,8;79,8;66;
2000-03-21;1;32,4;26,1;23,7;86,8;76;
2000-03-22;2;33,1;27,6;23,3;78;66;
2000-03-23;16,4;33,9;27;23,6;91,8;80;
2000-03-24;5;33,8;27,8;23,5;80,5;63;
2000-03-25;0;35,6;27,9;24;76,5;58;
2000-03-26;1,2;35,6;29;24,2;79,3;64;
2000-03-27;0;35,7;28,6;23,5;72,8;52;
2000-03-28;0;32,7;26,6;23,7;82,5;71;
2000-03-29;0;26,8;23,1;21,1;88,3;82;
2000-03-30;0;31;25,5;21,7;84,5;75;
2000-03-31;2;32,8;25,5;23,1;89;74;
2000-04-01;30;33,7;25,9;22,6;85,5;69;
2000-04-02;,6;33,1;26,8;22,8;80;71;
2000-04-03;0;34,5;25,9;23,1;85;73;
2000-04-04;0;35,3;28,1;23;79,5;64;
2000-04-05;4;33,3;26,7;23,1;79;65;
2000-04-06;18,8;34,5;27,2;22,5;83,5;77;
2000-04-07;1;35,1;28,3;23,4;75,8;65;
2000-04-08;0;34,7;27,5;23,8;84,3;69;
2000-04-09;7,8;35,1;28,3;22,6;80,3;71;
2000-04-10;0;35,2;28,6;24,1;80,3;80;
2000-04-11;0;35,3;27,8;23,5;83,3;71;
2000-04-12;0;34,6;27;23,5;81,8;61;
2000-04-13;,6;33,8;27,7;23;87;79;
2000-04-14;0;34,9;27,5;24,1;82,5;67;
2000-04-15;7,1;34,7;27,6;23,3;84,5;72;
2000-04-16;8,7;34,4;27,3;23,5;83;76;
2000-04-17;0;33,9;26,9;24,2;88,5;79;
2000-04-18;4;33,1;26,5;23,7;87,3;78;
2000-04-19;19,2;26,6;23,1;21,9;90,5;86;
2000-04-20;0;25,4;23,2;21,7;87;84;
2000-04-21;0;29,5;23,9;19,9;84,8;72;
2000-04-22;0;30,2;23,8;19,3;82,3;74;
2000-04-23;0;30,4;24,1;18,3;86,3;76;
2000-04-24;0;33,1;25,9;20,6;84,3;74;
2000-04-25;0;35,1;28,1;22,6;83,3;70;
2000-04-26;0;34,5;28,1;24,3;79;73;
2000-04-27;0;32,1;26,7;24;85,5;79;
2000-04-28;0;34,3;25,7;22;86,3;69;
2000-04-29;24,4;31,1;26,5;23,2;87;81;
2000-04-30;0;33,3;26,7;23,4;86,5;72;
2000-05-01;0;33,8;25,8;20,9;82,3;56;
2000-05-02;0;33,9;27,5;21,9;80,3;70;
2000-05-03;0;35;27,8;22,9;76,3;57;
2000-05-04;null;34,9;27,5;22,9;76;61;
2000-05-05;0;35,6;27;23,1;83,8;66;
2000-05-06;5,2;25,1;20;18,9;95,3;88;
2000-05-07;2,1;27;22,1;18,5;90,8;95;
2000-05-08;null;26,2;23;18,9;89,5;86;
2000-05-09;null;31,1;25,6;21,1;81,3;73;
2000-05-10;null;32,1;26,3;22,2;78,8;70;
2000-05-11;null;33,6;26,5;21,9;77,3;67;
2000-05-12;null;33,8;26,7;21,1;79,8;62;
2000-05-13;0;35,8;27,3;21,5;92;84;
2000-05-14;0;35,5;27,7;22,1;88,8;79;
2000-05-15;0;34,1;27;21,5;85,3;78;
2000-05-16;0;33,1;26,3;19,5;84,3;75;
2000-05-17;0;26,1;21,8;18,1;84;89;
2000-05-18;0;23,9;20,5;18,1;65,5;53;
2000-05-19;0;24,3;19,6;14,5;72;53;
2000-05-20;0;27,7;21,7;16,3;66;48;
2000-05-21;0;30,1;22,8;16,7;66,5;44;
2000-05-22;0;32,8;24,5;17,3;65,8;43;
2000-05-23;0;33,5;25,6;19;63,8;43;
2000-05-24;0;34,7;26,4;19,4;63;40;
2000-05-25;0;34;27,7;20,6;54,8;44;
2000-05-26;0;33,8;26,5;21,1;63,5;39;
2000-05-27;0;33,9;26,8;20,5;64,5;41;
2000-05-28;0;32,3;26,6;22,1;73,8;68;
2000-05-29;0;33,7;26,2;21,5;70,5;42;
2000-05-30;0;34,3;25,7;19,9;61,3;35;
2000-05-31;0;33;25,6;19,9;65;48;
2000-06-01;0;29,5;24;21,9;80,5;63;
2000-06-02;0;31,2;24,2;19,5;78,3;60;
2000-06-03;0;33,7;25,3;19,3;69,8;40;
2000-06-04;0;35,7;25,8;20;64,3;31;
2000-06-05;0;34,9;26,3;20,4;60,3;35;
2000-06-06;0;34,3;25,9;19,5;53;30;
2000-06-07;0;34,5;25,6;18,1;54,3;34;
2000-06-08;0;34,5;25,9;18,2;58,5;38;
2000-06-09;0;34,3;25,6;19,4;63;34;
