Nome: PADRE RICARDO REMETTER
Codigo Estacao: 83364
Latitude: -15.7761111
Longitude: -56.07194443
Altitude: 207
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);
2000-01-01;null;31,1;27,5;25,2;87,5;75;
2000-01-02;null;31;null;22,7;null;73;
2000-01-03;0;35,6;27,7;21,5;73,5;47;
2000-01-04;0;33,8;28,2;23,1;73,3;62;
2000-01-05;0;34;28;23;76,8;60;
2000-01-06;2,8;32,4;27,4;23,7;84;83;
2000-01-07;0;32,4;27,2;24,6;83;55;
2000-01-08;0;32,4;27,4;24,4;78,5;65;
2000-01-09;0;33,2;28;23,8;72,3;57;
2000-01-10;14,4;33,5;26,6;23,3;84,3;69;
2000-01-11;,4;33;27,4;22,9;78,5;62;
2000-01-12;null;34,4;28,6;23,9;73,3;58;
2000-01-13;null;32,6;27;24,9;82;58;
2000-01-14;null;34,4;28,2;22,9;73,3;58;
2000-01-15;0;36;28,8;23,9;77,3;52;
2000-01-16;0;31,9;28;25,2;85,8;79;
2000-01-17;1,6;36,8;28,1;24,4;80;56;
2000-01-18;15,8;33,4;27,3;22,9;88;87;
2000-01-19;,2;35,3;28,6;24,8;80,5;62;
2000-01-20;0;35,1;27,6;24,8;83;63;
2000-01-21;0;34,4;28,9;25;75,8;60;
2000-01-22;7,4;34,6;28;25,3;87;77;
2000-01-23;3;33,2;27;24,8;88;73;
2000-01-24;null;35,2;27,9;23,3;82,8;61;
2000-01-25;null;32,9;27,3;23,3;87,5;71;
2000-01-26;null;32;26,8;23,7;88,3;73;
2000-01-27;null;28,9;25,3;22,9;88,5;79;
2000-01-28;null;32,2;26,7;24,6;82,5;67;
2000-01-29;1,6;31,6;26,2;23,8;88,3;81;
2000-01-30;1,4;34,2;28,5;23,1;78,8;61;
2000-01-31;0;34,2;null;24,6;null;64;
2000-02-01;0;35,8;28,9;24,4;77;56;
2000-02-02;1;35,9;28,1;25,9;80;56;
2000-02-03;0;34,6;28,8;24,5;73,5;54;
2000-02-04;0;34,1;27,1;24,8;87,3;76;
2000-02-05;3,7;32,9;26,9;24,4;88,3;84;
2000-02-06;1,6;31,8;26,7;24,6;86;69;
2000-02-07;null;30,7;26;21,7;86;67;
2000-02-08;null;27,1;24,4;22,6;90,5;73;
2000-02-09;null;30;24,7;22,1;91,5;77;
2000-02-10;null;28,6;25,7;22,7;86,5;81;
2000-02-11;null;29,1;26;22,8;86,3;82;
2000-02-12;null;28,7;26;23,9;86,5;87;
2000-02-13;null;28,7;25,4;23,3;86;83;
2000-02-14;null;28,2;25,2;22,3;90,5;83;
2000-02-15;null;31,2;26,8;22,2;84,3;72;
2000-02-16;null;32,2;25,5;21,1;86;63;
2000-02-17;null;27,2;24,5;21,7;91,8;81;
2000-02-18;null;34,5;25,3;21,5;89;63;
2000-02-19;null;32,8;25;20,9;96,8;89;
2000-02-20;,2;32,8;27,8;23,4;97,5;94;
2000-02-21;7;32,9;27,5;23,9;86,8;63;
2000-02-22;7,4;29,1;25,5;22,8;93,3;85;
2000-02-23;0;32,4;27,5;24,3;85,3;67;
2000-02-24;0;33,8;27,9;26,5;84,8;56;
2000-02-25;0;35,6;29;23,8;75,3;59;
2000-02-26;0;34,2;29,2;25,2;79,3;61;
2000-02-27;0;34,9;28,8;25,2;81,3;62;
2000-02-28;4,6;33,2;26,8;24,8;92,5;87;
2000-02-29;0;32,8;26,4;23,1;86,5;65;
2000-03-01;6,2;30;25,9;23,2;93,3;87;
2000-03-02;17,5;29;25,5;24,3;92,5;84;
2000-03-03;1,1;30,8;26,8;24,6;89;82;
2000-03-04;9;31,7;26,8;24,4;86,3;71;
2000-03-05;5,6;30,1;26,4;23,7;85,5;78;
2000-03-06;0;33;27,3;23,3;88,3;69;
2000-03-07;5,4;33,4;26,1;21,9;88;69;
2000-03-08;0;31,5;25,7;22,9;88;70;
2000-03-09;null;33,2;27,1;22,8;82;60;
2000-03-10;null;33,1;26,8;23,4;94,3;85;
2000-03-11;null;29,2;24,8;22,8;98,5;94;
2000-03-12;null;29,2;25,9;21,9;86,8;76;
2000-03-13;null;33,6;22,9;23,4;83,3;62;
2000-03-14;3,4;30;25,9;22,4;91;80;
2000-03-15;13,8;32;25,8;23,1;85,8;69;
2000-03-16;19,1;30,8;25,5;23,3;90,5;72;
2000-03-17;,2;32,2;26,7;23,8;89;72;
2000-03-18;44,4;27,1;24,4;23;97,5;94;
2000-03-19;5,4;30,7;25,8;23,1;93,8;78;
2000-03-20;null;34,1;28,7;23,7;84,3;62;
2000-03-21;null;32,2;25,7;22,8;89,8;78;
2000-03-22;null;32,7;27,7;22,6;86,5;70;
2000-03-23;null;33;27,1;24,6;91,8;78;
2000-03-24;null;33,5;27,4;22,5;87,3;63;
2000-03-25;null;36;27,5;23;83,5;59;
2000-03-26;0;35,2;28,5;23,4;78,8;58;
2000-03-27;0;35,4;28,4;25,5;79,5;55;
2000-03-28;0;33;26,9;25,3;93,3;87;
2000-03-29;0;26,2;22,9;21;94,8;87;
2000-03-30;0;31,4;25,8;22,2;86,3;67;
2000-03-31;1;32,5;26;23,1;87,5;71;
2000-04-01;null;32,4;25,6;22,9;91;67;
2000-04-02;0;32,3;26,6;24,3;90,8;88;
2000-04-03;null;34,7;26,2;23,4;85,8;65;
2000-04-04;null;34,8;27,9;22,9;85;70;
2000-04-05;null;33,2;26,1;22,2;88,8;71;
2000-04-06;null;34,6;27;22,1;86,8;63;
2000-04-07;null;35,2;27,6;22,2;83;62;
2000-04-08;null;35,8;27,7;23,3;86,5;58;
2000-04-09;0;35,4;28,4;22,3;82,5;59;
2000-04-10;0;36,4;28,8;23,3;81,3;56;
2000-04-11;0;35,8;28,5;22,9;79,8;59;
2000-04-12;0;35;27,4;24,3;81,8;56;
2000-04-13;null;34,9;27,2;22,9;85,3;62;
2000-04-14;1,7;35,2;26,6;23,5;87,8;64;
2000-04-15;0;35,4;27,7;22,5;83,3;62;
