Nome: CUIABA
Codigo Estacao: A901
Latitude: -15.60694444
Longitude: -56.06083333
Altitude: 184
Situacao: Operante
Data Inicial: 2002-12-07
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2002-12-07;null;null;null;null;null;null;
2002-12-08;null;null;null;null;null;null;
2002-12-09;null;null;null;null;null;null;
2002-12-10;null;null;null;null;null;null;
2002-12-11;null;null;null;null;null;null;
2002-12-12;null;null;null;null;null;null;
2002-12-13;null;null;null;null;null;null;
2002-12-14;null;null;null;null;null;null;
2002-12-15;null;null;null;null;null;null;
2002-12-16;null;null;null;null;null;null;
2002-12-17;null;null;null;null;null;null;
2002-12-18;null;null;null;null;null;null;
2002-12-19;null;null;null;null;null;null;
2002-12-20;null;null;null;null;null;null;
2002-12-21;null;null;null;null;null;22,1;
2002-12-22;null;36,4;29,9;24,4;64,4;39;
2002-12-23;null;35,8;30,6;25,1;58;38;
2002-12-24;null;36,2;29,5;25,2;65,3;39;
2002-12-25;null;35,7;27,8;24,7;76,3;43;
2002-12-26;null;34,4;28;24;73,8;40;
2002-12-27;null;34,7;28,8;25,6;70,2;45;
2002-12-28;null;33,4;27;23,8;77,4;52;
2002-12-29;null;34,3;27,7;24,5;77,1;49;
2002-12-30;null;32,1;27,4;24,1;77;57;
2002-12-31;null;32,3;26,4;24,1;83,9;56;
2003-01-01;null;31,5;26,7;24,1;82,2;60;
2003-01-02;null;30,7;26,6;25,2;83,3;66;
2003-01-03;null;30,4;25,7;24,8;85,5;63;
2003-01-04;null;33;26,9;23,3;78,4;51;
2003-01-05;null;33,9;27,9;23,9;73,5;47;
2003-01-06;null;35,4;28,7;24,6;71,5;41;
2003-01-07;null;33,9;28,5;25,4;74,8;50;
2003-01-08;null;30,3;27,2;25,1;82,4;65;
2003-01-09;null;33,9;28,1;25,1;73,6;51;
2003-01-10;null;35,8;29,5;24,4;71,6;41;
2003-01-11;null;35,7;30,3;24,9;64,8;42;
2003-01-12;null;34,3;29,2;26,1;69,8;47;
2003-01-13;null;32,1;26,9;22,8;79;53;
2003-01-14;null;28,2;25,8;22,7;86,8;73;
2003-01-15;null;33,3;26,5;23,3;84;53;
2003-01-16;null;30,2;25,9;22,6;88,8;69;
2003-01-17;null;31,7;26,4;24;84,5;60;
2003-01-18;0;30,2;25,9;24,9;85,8;68;
2003-01-19;18,4;28,2;24,3;23,5;91,2;74;
2003-01-20;25;30,4;25,9;23,4;82,3;62;
2003-01-21;0;29,6;26,4;24,4;78,4;64;
2003-01-22;1,8;30;26,2;24,3;79;62;
2003-01-23;,6;31,1;25,6;24,1;85,2;61;
2003-01-24;3,4;30,5;25,2;23,6;87,3;64;
2003-01-25;18,8;32,9;26;23,2;83;53;
2003-01-26;,4;31,6;26,9;23,9;78,3;57;
2003-01-27;8,4;30,7;25,2;23,5;85,9;62;
2003-01-28;,4;31,4;25,9;23,8;80,9;59;
2003-01-29;9,8;32,9;27;22,5;76,3;47;
2003-01-30;,2;33;27,4;24,3;72,8;47;
2003-01-31;0;29,4;26,3;24,9;80,8;67;
2003-02-01;7,2;29,1;25,3;24,5;83,8;68;
2003-02-02;23;34,1;26,4;22,8;78,9;45;
2003-02-03;,8;33,3;26,5;23,4;78;52;
2003-02-04;,2;34,3;27,2;22,7;73,3;42;
2003-02-05;2;34,3;28,2;23,6;69,3;45;
2003-02-06;0;34,1;29,2;24,5;68,1;45;
2003-02-07;0;31,1;26,5;25,7;78,6;56;
2003-02-08;2;30,5;25,5;22,8;84,3;61;
2003-02-09;0;35;28,1;22,8;72,7;38;
2003-02-10;0;36,2;29,1;23,9;69,7;40;
2003-02-11;0;35;29,2;24,7;67,7;41;
2003-02-12;3,8;35,1;27;23,4;77,9;47;
2003-02-13;0;34,3;28,5;25;71;46;
2003-02-14;6,4;30,5;25,7;23,4;83,8;61;
2003-02-15;24,2;28,2;25,1;22,9;88,3;75;
2003-02-16;5,2;31,4;26,8;23,5;75,1;56;
2003-02-17;0;33,2;27,9;24,8;74,3;54;
2003-02-18;7,2;30,1;25,7;23,7;84,5;65;
2003-02-19;9,2;33,2;27,2;23,2;77,3;49;
2003-02-20;1,6;29;25,6;24;84;68;
2003-02-21;26;28,2;24,2;22,8;86,2;70;
2003-02-22;6,8;22,6;20,1;17,9;85,2;74;
2003-02-23;0;31,1;24,6;18;78,8;57;
2003-02-24;27;31,6;25;21;80,5;52;
2003-02-25;,4;32,2;26,2;23;80,5;52;
2003-02-26;1,2;33,2;26,7;23;78,2;50;
2003-02-27;,2;36,1;29;24,3;71,9;37;
2003-02-28;,6;35,1;27,7;24;76,9;43;
2003-03-01;4,4;35;27,7;23,8;74,8;44;
2003-03-02;4,2;33;26,7;23,9;79,8;55;
2003-03-03;2,4;32,9;26,2;22,6;80;50;
2003-03-04;10,8;33,7;26,8;23,3;77,6;43;
2003-03-05;0;33,9;27,5;22,8;71,6;38;
2003-03-06;0;35,8;28,7;23,7;72,2;38;
2003-03-07;,8;35,8;28,7;24,8;70,2;42;
2003-03-08;9,2;34,2;27,3;23,2;77,2;47;
2003-03-09;0;31,2;26,9;24;76,8;53;
2003-03-10;1,6;33,3;27,3;24,4;78;56;
2003-03-11;8,4;30,9;26,2;24,3;84,2;65;
2003-03-12;13,4;32,4;26,6;22,1;77,6;51;
2003-03-13;0;31,3;26,9;24;77,1;59;
2003-03-14;0;34,1;27,5;23,4;76,6;46;
2003-03-15;3;33,1;27,3;22,8;78,5;50;
2003-03-16;6,4;32,7;26,5;23,8;81,8;53;
2003-03-17;12,4;28,5;25,7;23,2;83,3;66;
2003-03-18;0;30,7;26,2;22,8;79,7;58;
2003-03-19;7,4;31,5;26,5;23,1;78,4;54;
2003-03-20;0;32,6;27,6;23,8;72,6;52;
2003-03-21;0;28,6;25,5;24,4;84,8;70;
2003-03-22;3,2;27,7;24,5;22,9;85,7;72;
2003-03-23;0;31,2;26,2;21,7;74,1;54;
2003-03-24;0;31,1;25,6;23,1;80,4;56;
2003-03-25;11;29,8;24,8;23,6;88,2;64;
2003-03-26;18,4;26,4;24,3;22,4;89,3;77;
2003-03-27;3,4;29,3;24,6;23,2;88,9;67;
2003-03-28;11,8;32,6;26,3;23,1;82,7;50;
2003-03-29;1;31,5;26;23,6;83,3;55;
2003-03-30;0;32,6;26,6;23,5;80,5;47;
2003-03-31;0;33,7;26,6;23,9;81;49;
2003-04-01;3,8;29,8;24,5;23,6;91,5;67;
2003-04-02;25,2;33,2;26;23;83,8;53;
2003-04-03;12,4;31,8;26,6;23,7;82,6;61;
2003-04-04;2;33,5;27,8;23,8;77,8;51;
2003-04-05;22,6;31,1;25,4;23,3;87,8;64;
2003-04-06;19,4;28,3;24,6;22,9;89;73;
2003-04-07;4,6;29,6;24,7;22,1;84;63;
2003-04-08;0;31;26,3;23;79;56;
2003-04-09;0;33,4;25,9;23,2;82,1;51;
2003-04-10;11,2;27,1;23,9;22,9;91,5;78;
2003-04-11;15,6;28,1;23,9;21;85,4;65;
2003-04-12;0;27,7;24,3;22,8;72,7;46;
2003-04-13;0;28,7;22,6;17,2;66,3;37;
2003-04-14;0;31;23,9;18;65,5;40;
2003-04-15;0;32,2;25,6;20,2;75,1;48;
2003-04-16;0;32,5;25,8;21,6;78,1;49;
2003-04-17;1,4;32,8;26,5;22,2;77,3;50;
2003-04-18;0;33,6;28,3;24;68,3;47;
2003-04-19;0;34,3;27,7;23,1;72,8;47;
2003-04-20;3,8;25,3;22,7;21,1;87,9;76;
2003-04-21;0;30,8;25,1;22;81,7;63;
2003-04-22;0;34,5;26,7;21,9;76,6;44;
2003-04-23;,2;34,8;27,7;21,3;70,9;32;
2003-04-24;0;34,5;27,4;21,7;69,8;34;
2003-04-25;0;35,1;27,2;21,2;69,8;36;
2003-04-26;0;35,6;28;22,3;68,4;34;
2003-04-27;0;35,8;28,6;22,6;66,7;34;
2003-04-28;0;35,5;28,2;22,7;67,3;36;
2003-04-29;0;36,1;28,7;22,7;66,2;33;
2003-04-30;0;35,7;28,7;22,2;65,8;35;
2003-05-01;0;35,9;28,6;22,6;68,8;34;
2003-05-02;0;34,6;28,2;22,6;70,3;40;
2003-05-03;0;29,3;23,9;22,4;82,7;63;
2003-05-04;0;30,2;24,5;21,4;78,3;56;
2003-05-05;0;30,7;24,9;21,7;81,7;57;
2003-05-06;6,6;25,1;22,5;21,1;78,8;61;
2003-05-07;0;26,6;21,2;16,3;68,4;39;
2003-05-08;0;27,8;20,7;14,9;66;37;
2003-05-09;0;27,7;19,6;13,9;70,1;33;
2003-05-10;0;30,9;21,7;14,8;66,4;27;
2003-05-11;0;31,9;24,1;17,6;71;42;
2003-05-12;0;32,6;26,1;20,6;72,5;42;
2003-05-13;0;33,1;26,1;20,7;67,2;30;
2003-05-14;0;33,6;25;17,6;66,8;32;
2003-05-15;0;35,4;26,7;20,1;66,8;31;
2003-05-16;0;35,3;27,1;20,3;63,7;23;
2003-05-17;0;35,4;26,2;20,2;67,4;28;
2003-05-18;0;34,7;27,5;21,8;65,2;29;
2003-05-19;0;33,6;26,2;19,4;61,9;23;
2003-05-20;0;33,7;25,4;19,5;64;33;
2003-05-21;0;33,5;26,2;19,5;65,5;34;
2003-05-22;0;33,9;28,4;22,1;61,3;43;
2003-05-23;0;35;28,6;23,7;66,4;43;
2003-05-24;19,8;30,3;23,3;22,8;90,9;61;
2003-05-25;18,4;28,7;24,4;21,7;84;63;
2003-05-26;0;32;25,4;20,9;79,6;50;
2003-05-27;0;32,8;26;23,4;77,7;48;
2003-05-28;1,8;29,6;24,1;21,3;81,4;56;
2003-05-29;,2;31,6;25,3;20,5;76,1;43;
2003-05-30;0;33,1;25,9;20,4;73,6;37;
2003-05-31;0;33,8;26,3;20,5;72,3;37;
2003-06-01;0;33,4;26,7;21,7;69,6;37;
2003-06-02;0;33,3;27,1;21,7;66,9;40;
2003-06-03;0;32,4;26,6;21,8;72,4;49;
2003-06-04;,4;27;22,1;20,5;85,5;74;
2003-06-05;0;28,3;21,5;18,1;82,5;58;
2003-06-06;0;33,9;25,3;19,7;76;41;
2003-06-07;0;32,8;26,5;21,8;76;49;
2003-06-08;0;28,7;24,6;22,5;80,9;61;
2003-06-09;0;31;24,5;21,3;77,3;49;
2003-06-10;0;32,1;24,8;19,7;73,1;33;
2003-06-11;0;31,8;24,4;18,5;72,4;41;
2003-06-12;0;33,5;25,7;20,1;66,7;28;
2003-06-13;0;32,9;24,3;17,7;68,3;36;
2003-06-14;0;34,6;25,8;19,7;66,8;28;
2003-06-15;null;33,9;null;18,3;59,4;24;
2003-06-16;0;33,1;25,5;20,6;63;27;
2003-06-17;0;33,8;24,4;17,5;66;27;
2003-06-18;0;33,5;24,3;17,4;62,4;22;
2003-06-19;0;33,2;23,9;16,8;62,6;24;
2003-06-20;0;33,1;23,9;16,9;68,8;29;
2003-06-21;0;32,5;24,2;17,8;68,4;34;
2003-06-22;0;33;24,8;18,1;66,6;29;
2003-06-23;0;34,3;24,8;17,6;62;23;
2003-06-24;0;33,6;24,1;16,8;62,6;24;
2003-06-25;0;33,7;23,6;15,9;63,5;21;
2003-06-26;0;33;23,1;15,9;63,1;22;
2003-06-27;0;32,4;23,1;15,8;64,6;26;
2003-06-28;0;33,1;24,2;17,5;64,8;32;
2003-06-29;0;33,7;24,4;16,9;66,7;31;
2003-06-30;0;32,8;24,6;17,5;63,1;23;
2003-07-01;0;33,9;23,6;15,2;60;20;
2003-07-02;0;32,8;23,4;15,2;59;21;
2003-07-03;0;32,9;22,9;15,1;58,3;16;
2003-07-04;0;32,6;22,6;13,8;58,7;24;
2003-07-05;0;33,1;24,1;16,8;64,2;34;
2003-07-06;0;33,9;25,5;19,3;65,9;33;
2003-07-07;0;33,6;25,4;19,7;60,2;25;
2003-07-08;0;32,9;24,4;16,9;56,2;23;
2003-07-09;0;33,9;25;18,3;59,1;31;
2003-07-10;0;26,3;20,2;17,5;82,3;56;
2003-07-11;0;20,2;15,8;14,3;85,5;76;
2003-07-12;0;22,4;17,1;14,3;78,6;60;
2003-07-13;0;29,4;20,2;12,9;70,9;42;
2003-07-14;0;33,5;23,3;15,8;66,8;23;
2003-07-15;0;34,2;25,4;17,7;54,5;21;
2003-07-16;0;32,8;23,8;15,7;64,7;24;
2003-07-17;0;25,6;20,7;18,1;76,5;58;
2003-07-18;0;33,4;22,3;15,1;69;29;
2003-07-19;0;34,4;25,5;17,5;59,7;20;
2003-07-20;0;34,9;26,1;19,2;56,2;25;
2003-07-21;0;35,9;25,9;18,1;54,2;19;
2003-07-22;0;35,8;25,8;17,3;52,4;23;
2003-07-23;0;35,5;25,7;16,9;54,2;16;
2003-07-24;0;35,7;24,8;15,7;51,8;16;
2003-07-25;0;35,1;25,1;15,9;52,2;16;
2003-07-26;0;29,4;23,8;18,9;63;32;
2003-07-27;0;31,9;23,7;16,8;64,8;31;
2003-07-28;0;34,4;24,8;16,9;61,3;21;
2003-07-29;0;34,5;25,2;16,9;53,3;20;
2003-07-30;0;34,6;25,2;16,5;52,5;21;
2003-07-31;0;34,7;25,6;17,3;55;23;
2003-08-01;0;36;26,1;17,4;51,7;19;
2003-08-02;0;37,2;26,9;18,2;50;18;
2003-08-03;0;37,3;27,5;20,1;49,5;14;
2003-08-04;0;36,8;27,3;18,9;49,8;21;
