Nome: SORRISO
Codigo Estacao: A904
Latitude: -12.555
Longitude: -55.72277777
Altitude: 379.31
Situacao: Operante
Data Inicial: 2002-12-15
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2002-12-15;null;null;null;null;null;null;
2002-12-16;null;null;null;null;null;21,1;
2002-12-17;null;null;null;null;75,3;54;
2002-12-18;null;30,3;null;23;81,2;61;
2002-12-19;null;28,2;null;22,1;81,6;63;
2002-12-20;null;28,5;23,8;22,8;90,3;66;
2002-12-21;null;32,3;25;20,5;81,5;49;
2002-12-22;null;32,9;27;21,5;73,5;46;
2002-12-23;null;32,1;27,1;22,9;70,9;51;
2002-12-24;null;33,6;26,4;21,7;76,8;44;
2002-12-25;null;33,6;27,1;23,5;75,2;47;
2002-12-26;null;31,3;26;22,4;78,9;54;
2002-12-27;null;31,8;26,6;22,3;75,4;53;
2002-12-28;null;29;24,5;20,4;84,2;66;
2002-12-29;null;28,1;24;21,2;86,9;71;
2002-12-30;null;27,4;23,4;21,1;89,6;74;
2002-12-31;null;29,7;23,9;21,1;86,8;62;
2003-01-01;null;26,4;23;21,1;91,2;75;
2003-01-02;null;30,5;24,8;20,8;85,5;58;
2003-01-03;null;28,1;24,3;22,6;89,7;75;
2003-01-04;null;30;24,7;22,4;86;65;
2003-01-05;null;32,7;26,3;21,9;78,5;51;
2003-01-06;null;32,8;27;23,6;76;51;
2003-01-07;null;29,5;25,4;23,1;85,8;69;
2003-01-08;null;27,2;25,2;23,7;87,1;76;
2003-01-09;null;31,8;26,2;21,9;81,3;55;
2003-01-10;null;33;26,4;22,7;82,5;52;
2003-01-11;null;33,4;26,9;21,8;78,1;48;
2003-01-12;null;33,3;27;22,6;75,2;49;
2003-01-13;null;29,8;25,3;22,4;84,2;65;
2003-01-14;null;26,7;24,1;22,8;89,4;75;
2003-01-15;null;30,9;24,8;22,4;87;60;
2003-01-16;null;29,3;24,5;22,2;88,7;67;
2003-01-17;null;28,2;24,1;22;88,7;72;
2003-01-18;44,2;25;22,7;22,4;94;87;
2003-01-19;64,2;28;23,2;20,8;89,1;70;
2003-01-20;58;23,3;21,9;21,3;94,4;89;
2003-01-21;23,2;29,8;24,5;21;82,6;59;
2003-01-22;13,6;30,6;24,6;20,6;80,8;57;
2003-01-23;0;31;24,9;22,8;83,8;54;
2003-01-24;25,6;30,6;25;22,4;85;58;
2003-01-25;10,8;31,6;25,9;22,2;80,4;54;
2003-01-26;27,4;32;25;20,3;81,5;52;
2003-01-27;,8;27,5;24,2;22,7;83,7;64;
2003-01-28;1,2;29,6;24,1;22;85,7;64;
2003-01-29;9,8;29,3;24;22,2;87,8;62;
2003-01-30;11,8;29,2;24,4;22,1;85,3;62;
2003-01-31;8,2;28,2;24,2;21,6;86;65;
2003-02-01;11;26,2;23,2;21,9;91,2;77;
2003-02-02;27,8;31;25,1;21,4;81,2;53;
2003-02-03;,6;32,1;24,9;21,5;80,3;54;
2003-02-04;11,4;31,1;24,8;20,7;81,2;54;
2003-02-05;0;33,2;26,2;21,6;76,8;50;
2003-02-06;7,2;33,1;26,1;21,1;77,1;48;
2003-02-07;6,2;33;25,8;20;76;46;
2003-02-08;0;31,5;26;21,8;73,5;50;
2003-02-09;0;33,5;27,2;21,7;72,4;44;
2003-02-10;0;33,5;26,9;21,9;71,8;42;
2003-02-11;0;33,8;27,1;21,8;73;42;
2003-02-12;,4;32,2;26,2;22,3;77,3;48;
2003-02-13;12,4;30,6;25,3;21,2;81,8;57;
2003-02-14;1,8;30,1;25,1;22,5;83,7;61;
2003-02-15;32,2;25,4;23,3;21,8;92,3;83;
2003-02-16;26,4;29,8;24,7;21,6;84,2;59;
2003-02-17;,2;30,7;25,5;22,3;80,3;56;
2003-02-18;3,8;27,9;24,2;23,1;89,5;72;
2003-02-19;11,8;30,6;25;21;80,9;56;
2003-02-20;11,8;31,3;23,8;22,7;88,5;56;
2003-02-21;45,8;23,6;22,5;20,8;94;88;
2003-02-22;38,6;25,6;22,6;20,3;91,1;77;
2003-02-23;3;29,4;23,9;20,5;86,2;60;
2003-02-24;2;31,4;24,9;20,7;78,8;50;
2003-02-25;3;29,7;24,5;21;81;58;
2003-02-26;2,4;31,1;25;21,7;82,7;53;
2003-02-27;0;30;24,1;22,2;86,2;62;
2003-02-28;0;33,4;25,8;20,8;78;44;
2003-03-01;0;33,1;26,8;22,5;73,6;45;
2003-03-02;3,4;32,4;26,1;22,2;77,6;49;
2003-03-03;6,4;27,7;24,6;21,5;82,3;57;
2003-03-04;1,6;32,8;25,7;21;74;35;
2003-03-05;0;33,2;26,6;21,4;71,4;38;
2003-03-06;0;33,4;26,1;22,1;74,8;48;
2003-03-07;,4;30,6;24,7;21;80,6;56;
2003-03-08;4,2;32,7;26;21,3;78;49;
2003-03-09;8,8;31,4;26;22,5;79,5;55;
2003-03-10;0;33,5;27,3;22,4;74,6;45;
2003-03-11;0;32,6;26,1;22,7;79,1;49;
2003-03-12;102,8;27,6;23,6;21,1;86,9;64;
2003-03-13;0;28,5;24,2;22,2;86,3;67;
2003-03-14;21,4;29,9;24,4;22,2;86;60;
2003-03-15;0;30,9;24,8;22,6;82,5;56;
2003-03-16;,6;31,3;24,9;21,6;81,6;54;
2003-03-17;7,4;31;25;22,5;84,5;60;
2003-03-18;40,4;24,9;23,1;21,2;89,6;74;
2003-03-19;2,6;29,7;23,8;21,5;86,9;59;
2003-03-20;3;29,2;24,8;21,9;82,8;62;
2003-03-21;2,6;31,5;25,4;23,1;83,3;53;
2003-03-22;19,8;30;25,1;22,2;85,1;62;
2003-03-23;2;27,9;24,3;22,2;87,2;67;
2003-03-24;1,2;27,4;23,7;21,8;88,8;71;
2003-03-25;24;29,2;23,4;21,7;88,8;63;
2003-03-26;20,2;29,8;24,4;21;83,4;58;
2003-03-27;6;27,5;24;22,1;89,4;74;
2003-03-28;5,4;31,1;25,2;21,2;82,9;57;
2003-03-29;9,6;30,3;24,7;21,7;83,5;54;
2003-03-30;0;30;24,9;22,3;83,1;58;
2003-03-31;,4;27,2;24,1;22;86,9;74;
2003-04-01;32;31,7;25,1;21,1;80,4;48;
2003-04-02;0;32,9;26,4;21,5;77,6;48;
2003-04-03;,8;32;26,7;22,9;75,3;49;
2003-04-04;0;32,4;26,7;22,3;75,7;49;
2003-04-05;0;30,7;25,9;22,7;81,6;60;
2003-04-06;,2;30,5;25,6;22,3;80,5;55;
2003-04-07;0;32,1;25,1;21,9;82,5;51;
2003-04-08;62,6;31,4;24,8;21,7;87,1;59;
2003-04-09;39,8;30,2;25,7;22,3;83,1;59;
2003-04-10;6;28,1;23,9;22,4;90,5;70;
2003-04-11;16,6;30,7;23,9;20,8;85,5;60;
2003-04-12;,4;29,7;24,2;21,9;85,9;58;
2003-04-13;54;30,1;24,1;18,5;77,3;56;
2003-04-14;0;29,8;24;18,7;71,7;53;
2003-04-15;6,4;30,4;24,7;20,7;82,1;56;
2003-04-16;,8;29,9;24,6;22;84,3;57;
2003-04-17;5,6;30,8;24,7;21,2;83,6;54;
2003-04-18;0;32,1;26,1;21,6;76,1;50;
2003-04-19;2,8;32,5;26,8;22,4;76,5;52;
2003-04-20;9;30,6;24,5;22,4;84,5;60;
2003-04-21;5,2;32,1;25,1;20,5;80,8;47;
2003-04-22;0;32,3;25,7;20,9;76,4;47;
2003-04-23;0;32,4;26,2;20,6;68,9;40;
2003-04-24;0;32,4;26,3;20,6;64,9;40;
2003-04-25;0;33;26,2;20,1;67,9;39;
2003-04-26;0;33,1;26,7;20,7;69,2;43;
2003-04-27;0;31,9;25,8;21,4;76,4;52;
2003-04-28;5;32,8;26,5;20,9;72,5;42;
2003-04-29;0;32,7;26,3;20,3;70,4;43;
2003-04-30;0;32,9;26,7;20,9;71,7;43;
2003-05-01;0;31,8;25,8;23,2;79,3;55;
2003-05-02;1,4;33,1;26,3;21,9;77,7;44;
2003-05-03;0;30,8;25,9;22,7;77,7;54;
2003-05-04;0;32,4;25,2;20,2;77,8;48;
2003-05-05;0;28,2;24,2;22,4;84,5;71;
2003-05-06;0;27,6;23,2;21,8;85,2;65;
2003-05-07;,2;28,9;22,5;17,7;75,2;51;
2003-05-08;0;29,5;22,6;17,3;70,8;46;
2003-05-09;0;30,5;22,8;16,2;62,5;27;
2003-05-10;0;31,5;23,5;17,1;60,2;33;
2003-05-11;0;29,6;24,6;19,9;72;57;
2003-05-12;0;31,6;26,1;22;71,5;46;
2003-05-13;0;31,9;25,5;19,5;62,8;28;
2003-05-14;0;32,7;25,3;18,3;62,7;36;
2003-05-15;0;33,1;26,1;20;66,2;32;
2003-05-16;0;32,6;25,9;20,1;64,5;35;
2003-05-17;0;32,6;25,9;20,1;68;43;
2003-05-18;0;32,2;25,5;19,7;65,4;34;
2003-05-19;0;32;25,4;19,3;58,5;31;
2003-05-20;0;32,6;25,6;19,3;60,1;32;
2003-05-21;0;33,5;25,8;19,4;64,8;39;
2003-05-22;0;33,9;27;20,3;67,7;42;
2003-05-23;0;34,6;27,5;21,5;67,3;41;
2003-05-24;0;29,3;24,5;22,2;79;60;
2003-05-25;2;31,5;25;20,6;78,5;51;
2003-05-26;0;31,7;25,5;20,4;75,5;48;
2003-05-27;,2;30,4;25,1;21,8;78,6;56;
2003-05-28;,4;31,1;25,3;21,3;76,6;49;
