Nome: CAMPO NOVO DOS PARECIS
Codigo Estacao: A905
Latitude: -13.78583333
Longitude: -57.8386111
Altitude: 525.41
Situacao: Pane
Data Inicial: 2002-12-12
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2002-12-12;null;28,3;null;null;null;71;
2002-12-13;null;null;null;null;84,4;71;
2002-12-14;null;29,4;24,6;21,3;84;62;
2002-12-15;null;29,5;23,4;21,4;87,2;60;
2002-12-16;null;28,7;23,4;20,4;85,5;62;
2002-12-17;null;29,7;23,3;21,3;87,4;60;
2002-12-18;null;31,1;24,9;20,7;77,6;48;
2002-12-19;null;30,6;23,9;21,5;85,7;53;
2002-12-20;null;27,2;23,5;21,7;85,6;65;
2002-12-21;null;31,1;24,9;20,3;77;49;
2002-12-22;null;31,8;26,2;22,1;73,5;47;
2002-12-23;null;31,9;26,2;21,4;72,2;48;
2002-12-24;null;33;27;22,5;69,9;38;
2002-12-25;null;32,4;24,9;21,7;79,7;45;
2002-12-26;null;31,2;24,7;21,2;83,6;51;
2002-12-27;null;31,5;25,4;20,8;76,3;46;
2002-12-28;null;30,8;25,3;22,9;78,8;53;
2002-12-29;null;29,4;23,6;22,5;87,3;61;
2002-12-30;null;28;23,5;21,1;86,4;68;
2002-12-31;null;30,1;24,6;21,5;80;57;
2003-01-01;null;29,7;24,1;21,7;85,5;58;
2003-01-02;null;31,3;24,8;22,4;82,6;51;
2003-01-03;null;29,5;23,9;21,7;86,1;61;
2003-01-04;null;28,4;23,5;21,3;86,8;67;
2003-01-05;null;30,8;25,2;21,8;78,5;52;
2003-01-06;null;33,5;27,2;21,7;68,1;38;
2003-01-07;null;32;25,5;22,2;81,1;54;
2003-01-08;null;25,2;23,2;22,4;91,9;82;
2003-01-09;null;31;25,1;21,9;82,1;54;
2003-01-10;null;32,6;26,8;22;74;44;
2003-01-11;null;32,9;26,8;22,4;72,5;45;
2003-01-12;null;32,3;26,5;22,6;73,2;49;
2003-01-13;null;30;24,3;21;81,3;53;
2003-01-14;null;30,8;25,4;22,2;78,2;51;
2003-01-15;null;29,8;24,7;22,1;83,3;58;
2003-01-16;null;28;23,9;21,8;86,2;70;
2003-01-17;null;30,3;24,9;22;81,5;54;
2003-01-18;26,6;25;22,5;21,9;91,3;82;
2003-01-19;49,2;25,6;22,4;21,2;88,8;73;
2003-01-20;5,6;28,6;23,5;21,2;83,8;63;
2003-01-21;,4;28,5;23,8;21,1;79;57;
2003-01-22;,2;30;24,2;20,5;78,1;54;
2003-01-23;0;29,8;24,6;22;80,8;59;
2003-01-24;4,8;28,6;23,4;21,2;86;62;
2003-01-25;5,4;26,6;22,8;21,2;89,3;74;
2003-01-26;16,6;29,8;23,5;20,9;85,3;57;
2003-01-27;18,4;26,8;22,8;21,1;88,8;72;
2003-01-28;26,2;28,9;23;21,4;87,8;63;
2003-01-29;8,8;30,1;23,7;20,7;82;55;
2003-01-30;3,4;29,4;24,3;21,7;81,3;56;
2003-01-31;0;28,9;23,2;21,6;87,3;63;
2003-02-01;28,6;28,7;22,9;20,7;86,4;58;
2003-02-02;27,8;26;22,5;20,8;86,9;70;
2003-02-03;4,6;29,6;23,9;20,2;81,4;54;
2003-02-04;12,6;29,5;24,5;20,5;78,7;53;
2003-02-05;0;32,1;25,5;21,3;76,9;50;
2003-02-06;0;32,1;26;21,4;73,8;46;
2003-02-07;0;31,7;26,1;21,5;72,9;46;
2003-02-08;0;29,6;24,2;22,5;83,4;61;
2003-02-09;4,8;31,5;24,8;21;76;44;
2003-02-10;,6;32,4;24,7;20,6;76,1;45;
2003-02-11;0;32,1;25,6;21,6;73,8;44;
2003-02-12;0;31,5;25;20,7;77,8;50;
2003-02-13;,4;30,7;25,3;21,7;77,3;52;
2003-02-14;10;29,8;24,6;21,5;79,2;52;
2003-02-15;,6;25;22,8;21,9;89,2;80;
2003-02-16;10,6;28,9;23,7;20,5;81,9;59;
2003-02-17;0;31,2;24,9;22,1;79,3;51;
