Nome: COMODORO
Codigo Estacao: A913
Latitude: -13.70805555
Longitude: -59.7625
Altitude: 576.87
Situacao: Pane
Data Inicial: 2006-11-27
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2006-11-27;null;null;null;null;null;null;
2006-11-28;null;null;null;null;null;62;
2006-11-29;null;28,5;23,1;20,6;87,3;60;
2006-11-30;,2;29,9;23,8;18,6;84,7;57;
2006-12-01;,2;29,5;24,3;20,9;86,3;60;
2006-12-02;4;27,8;23,7;22;90,6;69;
2006-12-03;5,6;29,5;23,6;20,4;87,9;63;
2006-12-04;16,2;26,1;22,6;21,1;93,6;77;
2006-12-05;9,4;29;23,1;20,1;88,7;60;
2006-12-06;1,2;28,8;23,5;21,6;89,5;66;
2006-12-07;47,2;28;23,2;20,9;89,7;66;
2006-12-08;29,6;25,9;22,7;20,1;87,2;68;
2006-12-09;,4;27,6;23,1;20,9;89;69;
2006-12-10;4,4;28,9;23,6;20,3;86,4;64;
2006-12-11;3,6;28,1;23,2;19,3;85,1;62;
2006-12-12;3,8;28,7;22,8;19,4;90,4;63;
2006-12-13;5,2;25;22,7;20,5;93,4;81;
2006-12-14;4,4;25,8;22,7;21,4;92,3;80;
2006-12-15;12;25,3;22,7;21,7;92,6;78;
2006-12-16;2,2;27,8;22,8;20,7;92,1;65;
2006-12-17;5,2;30,3;24;20,5;85,6;57;
2006-12-18;47,4;28,3;23,6;20,7;89,4;68;
2006-12-19;0;29,3;23,2;21,3;90,3;58;
2006-12-20;15,6;29;23,4;19,7;87,4;63;
2006-12-21;8,4;28,8;23,3;20,7;89,4;64;
2006-12-22;14,8;30;24;21,3;86,1;61;
2006-12-23;11,2;26,3;null;19,8;92,4;72;
2006-12-24;null;29,8;23,7;19,6;83;57;
2006-12-25;null;null;null;18,1;null;83;
2006-12-26;null;null;null;null;76,7;53;
2006-12-27;9;30,6;22,9;20,4;89,8;56;
2006-12-28;18;29,6;22,5;19;90,5;58;
2006-12-29;7,6;29;23,4;20,3;87;61;
2006-12-30;0;29,4;22,6;20;90,6;59;
2006-12-31;8;27,5;22,8;19,9;88,8;68;
2007-01-01;0;26,9;22,5;19,9;90,7;71;
2007-01-02;3,4;26,7;22,4;19,3;92,2;74;
2007-01-03;7,4;29,2;23,8;21;86;61;
2007-01-04;4,2;29;23;20,2;91,5;64;
2007-01-05;21,4;27,7;23,2;21,3;91,8;68;
2007-01-06;10,2;27,9;22,9;19,9;88,8;68;
2007-01-07;1,8;28,6;23,8;21,7;89,8;65;
2007-01-08;36,4;28,2;22,9;21,3;90,9;65;
2007-01-09;1,2;28,8;23,6;18,7;85,7;60;
2007-01-10;5,6;29,3;23,2;20,2;90,6;63;
2007-01-11;1,6;31,4;23,4;20;86,6;53;
2007-01-12;27;30,6;23,6;18,5;86,3;54;
2007-01-13;0;29,6;24,1;19,4;86,8;64;
2007-01-14;9,6;27,9;23;21,8;91,7;70;
2007-01-15;4;29,3;22,9;19,7;89;63;
2007-01-16;5,6;27,6;22,8;21,1;90;70;
2007-01-17;4,2;30,4;23,4;18,4;84,7;56;
2007-01-18;0;30,1;23,8;18,7;84,3;57;
2007-01-19;0;31,5;24,5;19,7;84,8;54;
2007-01-20;0;32,1;24,8;19,6;84,3;53;
2007-01-21;28;31,2;23,9;21,1;86,9;52;
2007-01-22;5;31,1;23,7;20;87,8;59;
2007-01-23;7,8;31,6;23,8;20,8;88,2;55;
2007-01-24;20,6;30,9;24,4;21,7;83,4;53;
2007-01-25;,4;30,1;24,1;21;88;61;
2007-01-26;19,4;29,1;23,4;20,8;88,7;64;
2007-01-27;14,8;29,7;23,7;20,6;85,6;56;
2007-01-28;0;30,1;24;20,7;86,6;62;
2007-01-29;2,2;30;23,4;20,7;89,2;62;
2007-01-30;46,8;30,9;24,6;20,8;84;57;
2007-01-31;26,2;29;23,1;21,4;93,1;67;
2007-02-01;1;29,4;24;21;88,4;63;
2007-02-02;0;30,1;23,5;19,9;88,6;62;
2007-02-03;0;26;22,8;21,5;93,9;80;
2007-02-04;0;29,8;24,7;21,5;86;65;
2007-02-05;0;26,6;23,4;22,5;91,8;80;
2007-02-06;0;29,1;24;19,4;85,5;66;
2007-02-07;0;30;25,2;20,7;83,8;63;
2007-02-08;0;26,8;23,3;22,6;91,8;76;
2007-02-09;0;28,3;22,4;19,3;92;67;
2007-02-10;0;29;23,4;20,4;88,7;63;
2007-02-11;0;29,9;23,4;19,2;87,8;62;
2007-02-12;0;30,1;23,1;20;88,9;58;
2007-02-13;0;29,1;23,5;20,9;89;63;
2007-02-14;,4;26,9;23,6;21,4;89,6;77;
2007-02-15;0;27,3;22,5;20;91,1;72;
2007-02-16;0;29,5;24,3;21,5;84,1;58;
2007-02-17;0;24,2;22;20,6;91,8;82;
2007-02-18;0;29,2;21,7;18,7;89;59;
2007-02-19;0;25,4;21,1;19,2;92,4;72;
2007-02-20;0;28,2;21,7;17,3;87,8;60;
2007-02-21;0;29,5;22,9;17,1;80,7;47;
2007-02-22;0;30,4;22,1;16,7;86,7;47;
2007-02-23;0;28,7;22,9;20,7;89;63;
2007-02-24;0;31,1;23,8;19,9;86,2;52;
2007-02-25;0;28,9;22,9;18,2;89,8;65;
2007-02-26;0;30,8;23,1;18,4;88,1;57;
2007-02-27;0;28,1;22,4;18,3;91;70;
2007-02-28;0;30,9;24;20;81,3;52;
2007-03-01;0;28;22,4;18,2;90,3;66;
2007-03-02;0;29,4;22,9;19,8;88,5;60;
2007-03-03;0;29,5;23;20;87,6;59;
2007-03-04;0;31,3;22,8;17,7;85,1;46;
2007-03-05;0;29,2;22,3;17,3;86,8;55;
2007-03-06;0;30,9;23,6;18,4;83,5;49;
2007-03-07;0;29,5;23,9;20,4;82,8;57;
2007-03-08;0;29,4;21,6;16,7;90,3;59;
2007-03-09;0;30,3;22,4;18,3;88,5;55;
2007-03-10;0;30;22,7;17,5;86,7;59;
2007-03-11;0;30,1;23,7;18,6;82,3;46;
2007-03-12;0;29,6;23,1;19,7;88,6;53;
