Nome: PARANATINGA
Codigo Estacao: A915
Latitude: -14.42138888
Longitude: -54.0361111
Altitude: 476.91
Situacao: Operante
Data Inicial: 2006-12-18
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2006-12-18;null;null;null;null;null;null;
2006-12-19;null;null;null;null;75,3;52;
2006-12-20;0;30,6;24,8;21,5;81,2;51;
2006-12-21;0;30,2;25,6;21,6;78,9;58;
2006-12-22;0;31,8;24,5;22,6;86,5;54;
2006-12-23;1,8;30;null;21,1;88,4;56;
2006-12-24;null;33,2;25,8;20,3;75,1;34;
2006-12-25;null;null;null;null;null;72;
2006-12-26;null;null;null;null;74,8;39;
2006-12-27;,8;32,9;26,1;21,7;77,6;43;
2006-12-28;0;31,8;26,3;22,5;73,3;47;
2006-12-29;0;31,6;25,6;21,6;75,6;48;
2006-12-30;2,2;30,7;24,4;22,3;85,9;54;
2006-12-31;13;29,3;24,2;21,4;87,3;61;
2007-01-01;2,2;30,2;24,8;21,4;85,8;56;
2007-01-02;,2;29,7;24,3;22,4;85,8;58;
2007-01-03;0;30,9;24,4;22,2;86,2;54;
2007-01-04;9;31,4;24,9;22;82,8;51;
2007-01-05;3;26,1;23,6;22,3;88,8;74;
2007-01-06;4,2;24,3;22,4;21,8;94,1;80;
2007-01-07;43,2;29;23,8;20,7;86,8;60;
2007-01-08;1,2;30,9;25,1;21,3;81,3;54;
2007-01-09;0;30,9;25,9;22,3;80,6;56;
2007-01-10;3,2;32;25,8;21;79,3;45;
2007-01-11;,4;32;25,4;22,5;84,2;51;
2007-01-12;,4;31,5;24,7;21,1;84,5;57;
2007-01-13;0;32,1;25,3;22,4;83,8;50;
2007-01-14;,2;28,9;24,9;23,1;85,6;62;
2007-01-15;0;29,5;23,7;21,6;88,6;64;
2007-01-16;25,4;30,7;24,2;21,9;87,1;57;
2007-01-17;,4;33,1;26,6;22,1;75,5;40;
2007-01-18;0;34,6;26,6;22,2;79,2;41;
2007-01-19;,2;33,2;26,4;22,2;80,1;45;
2007-01-20;0;32,5;26,4;23;82,5;49;
2007-01-21;0;33,4;26,8;21,9;76;44;
2007-01-22;0;33,2;26,3;21,7;77,3;43;
2007-01-23;0;29,9;24,3;22,2;86,9;63;
2007-01-24;0;30,7;25,2;21,4;82,3;58;
2007-01-25;0;31,6;26;22,5;82,4;53;
2007-01-26;,4;29,4;24,5;21,7;87,7;60;
2007-01-27;0;28,3;24,7;22,5;85,2;67;
2007-01-28;0;31,7;25,2;22,6;84;52;
2007-01-29;0;26,1;23,6;22,1;90,7;77;
2007-01-30;0;29,6;24,5;22,3;85,7;61;
2007-01-31;0;31,7;25,1;21,9;84,4;52;
2007-02-01;0;27,6;24,1;22;90;71;
2007-02-02;0;26,5;23,6;22,3;91,9;77;
2007-02-03;0;30,5;24,2;22,3;87;57;
2007-02-04;0;29,2;24,1;21,8;88,4;65;
2007-02-05;0;26,4;23,5;21,9;90,1;76;
2007-02-06;0;31,5;25,4;22;84;56;
2007-02-07;0;29,4;25;21,5;88;67;
2007-02-08;0;30,9;25;21,6;85,6;55;
2007-02-09;0;31,1;25;22,6;85;54;
2007-02-10;0;31,1;25,7;22,1;81,5;52;
2007-02-11;0;33,3;25,9;22,6;81,3;44;
2007-02-12;0;30,3;25,1;22,8;83,7;59;
2007-02-13;0;28,9;24;22,5;89;68;
2007-02-14;0;28,8;24,4;22;86,5;67;
2007-02-15;0;31,3;25,1;21,1;79,2;52;
2007-02-16;0;30,3;24;20,9;87,8;55;
2007-02-17;0;23,7;22,2;20;93,6;83;
2007-02-18;0;27,5;23,3;20,8;88,1;68;
2007-02-19;0;27,6;22,7;21,3;91,5;67;
2007-02-20;0;28,5;22,9;20,9;89,1;58;
2007-02-21;0;29,4;23,2;21,3;89,3;60;
