Nome: CONFRESA
Codigo Estacao: A918
Latitude: -10.63944444
Longitude: -51.57138888
Altitude: 233.28
Situacao: Desativada
Data Inicial: 2008-06-06
Data Final: 2018-03-11
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2008-06-06;null;null;null;null;null;null;
2008-06-07;null;33,3;25,5;null;62,5;29;
2008-06-08;0;33,1;25,8;19,4;64,3;36;
2008-06-09;0;33;25,8;18,9;63,4;31;
2008-06-10;0;33,4;25,7;18,3;63,5;35;
2008-06-11;0;33,6;26;19,3;61,9;32;
2008-06-12;0;33,3;25,9;19,2;58,2;30;
2008-06-13;0;33,8;25,4;18,4;59;24;
2008-06-14;0;33,1;25,2;17,4;58,4;32;
2008-06-15;0;33,2;25,6;18,9;60,5;27;
2008-06-16;0;33,3;25,5;18,1;57,3;28;
2008-06-17;0;33,1;25,2;17,3;60;31;
2008-06-18;0;33,7;26,1;19,4;59,7;32;
2008-06-19;0;33,8;26,2;19,4;58,8;29;
2008-06-20;0;33,4;25,6;18,2;57,5;28;
2008-06-21;0;33,2;25,3;18;58,9;27;
2008-06-22;0;33,1;25,2;17,7;57,8;29;
2008-06-23;0;33,6;25,4;18,8;55,8;26;
2008-06-24;0;33,5;25;17,2;56,5;26;
2008-06-25;0;33,3;25,1;17,5;55,9;26;
2008-06-26;0;33,6;25,3;17,6;54,8;24;
2008-06-27;0;32,8;25,2;16,9;53,5;27;
2008-06-28;0;32,9;24,9;17,4;57,3;27;
2008-06-29;0;32;25,1;18,6;60,4;33;
2008-06-30;0;33,8;26,3;20,4;55,9;27;
2008-07-01;0;33;26,5;20,1;48;26;
2008-07-02;0;34;25,6;17,6;54,8;28;
2008-07-03;0;33,4;26;19,3;57;29;
2008-07-04;0;33,2;26;17,9;55,6;28;
2008-07-05;0;34,5;26;17,7;53,7;24;
2008-07-06;0;34,2;25,9;18,3;53,8;28;
2008-07-07;0;33,7;26,1;18,7;57,7;31;
2008-07-08;0;32,9;25,7;18,4;54,8;25;
2008-07-09;0;32,4;24,7;17,3;49,7;22;
2008-07-10;0;32,8;25,2;18,9;46,4;25;
2008-07-11;0;33;25,6;18,3;49,5;26;
2008-07-12;0;32,3;25,1;16,8;56,1;33;
2008-07-13;0;32,8;24,9;16,3;55,5;24;
2008-07-14;0;31,9;25,3;19,2;43,3;21;
2008-07-15;0;31,7;23,3;14,5;50,9;26;
2008-07-16;0;31,9;23,8;15,3;52;25;
2008-07-17;0;32,7;24;14,5;49,7;24;
2008-07-18;0;34,5;25,2;17,6;53;26;
2008-07-19;0;34,6;26,1;18;53,7;26;
2008-07-20;0;35,5;26,8;18,2;50,9;23;
2008-07-21;0;34,9;26,2;17,3;49,9;21;
2008-07-22;0;34;25,9;16,9;40,5;17;
2008-07-23;0;34,8;25,3;15;45,6;23;
2008-07-24;0;35;26,5;19,1;48,3;23;
2008-07-25;0;34,8;27,6;19,8;45,5;20;
2008-07-26;0;35,6;26,4;16,8;44,3;18;
2008-07-27;0;35,2;26,7;18,5;40,5;19;
2008-07-28;0;33,8;25,9;16,5;42,5;20;
2008-07-29;0;34,2;26,2;17,5;41,2;19;
2008-07-30;0;34,4;25,8;16,3;43,2;21;
2008-07-31;0;35,2;26,5;16,9;47,7;24;
2008-08-01;0;36,1;27,7;19,7;47,1;19;
2008-08-02;0;37,1;27,8;19,3;43;18;
2008-08-03;0;36,7;27,7;18,5;42;17;
2008-08-04;0;37,1;28,4;18,8;38,8;18;
2008-08-05;0;37,7;28,5;19,4;40;19;
2008-08-06;0;36,8;28,4;19,1;43,1;21;
2008-08-07;0;35;27,8;19,3;46,3;20;
2008-08-08;0;36,8;27,2;18;41,4;16;
2008-08-09;0;36,9;28,1;18,8;41,5;20;
2008-08-10;0;36,7;28,5;20,5;44,3;20;
2008-08-11;0;37,1;29;19,9;39,9;17;
2008-08-12;0;35,7;27,9;18;35,2;16;
2008-08-13;0;36,3;27,7;18,7;35,5;17;
2008-08-14;0;36,4;28,1;19,8;37,5;18;
2008-08-15;0;35,7;28;19,7;33,3;16;
2008-08-16;0;36;27,7;18,9;37,1;19;
2008-08-17;0;36,9;28,4;19,9;36,9;17;
2008-08-18;0;36,9;28,3;19,1;39,1;18;
2008-08-19;0;34,7;27;18,8;38,4;18;
2008-08-20;0;34,8;26,9;17,1;35,8;19;
2008-08-21;0;35;28,2;19,9;35,8;17;
2008-08-22;0;36,6;29,6;22,3;31,9;15;
2008-08-23;0;36,4;28,6;20,8;36,5;17;
2008-08-24;0;36,9;28,9;20,3;43,9;22;
2008-08-25;0;37,9;30;21,2;38,5;17;
2008-08-26;0;37,3;29,4;22;31,7;15;
2008-08-27;0;37,4;28;17,7;36,5;13;
2008-08-28;0;38,5;28,6;19,4;33,8;14;
2008-08-29;0;38,9;30,2;21;30,3;11;
2008-08-30;0;38,5;29,9;20,7;34,5;14;
2008-08-31;0;38,8;30,8;24;39,7;22;
2008-09-01;0;37;29,5;20,9;50;25;
2008-09-02;0;37;29,7;21,7;44,1;22;
2008-09-03;0;37,4;29,8;20,9;37,5;18;
2008-09-04;0;37,6;30,3;21,9;41,4;22;
2008-09-05;0;39,4;30,8;23,2;40,2;19;
2008-09-06;0;39,2;30,9;24,6;41,3;19;
2008-09-07;0;38,4;30,4;23,3;45,4;17;
2008-09-08;0;39;31;20,8;38;16;
2008-09-09;0;38,1;30,1;21,6;41,4;22;
2008-09-10;0;37,9;30,1;23;44,6;18;
2008-09-11;0;38,1;29,9;20,8;36,5;16;
2008-09-12;0;38,4;29,8;20,7;34;16;
2008-09-13;0;39;31,2;22,9;33,3;14;
2008-09-14;0;37,5;30,5;25,4;39;22;
2008-09-15;0;38,3;29,9;22,9;47;19;
2008-09-16;0;36,8;28,8;23,4;51;28;
2008-09-17;0;36,8;28,3;23,3;60,2;27;
2008-09-18;,4;37,8;29,6;22,4;52,3;22;
2008-09-19;0;38;30,9;24,5;42,6;25;
2008-09-20;0;31,5;25,3;24,3;71;37;
2008-09-21;2,6;33,1;25,9;21,2;72,7;42;
2008-09-22;0;35,5;27,9;21,4;59,5;29;
2008-09-23;0;37,7;29,3;21,4;46,6;21;
