Nome: COTRIGUACU
Codigo Estacao: A919
Latitude: -9.90638888
Longitude: -58.57222221
Altitude: 265
Situacao: Operante
Data Inicial: 2007-05-27
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2007-05-27;null;null;null;null;null;null;
2007-05-28;null;31,5;24,7;null;82;51;
2007-05-29;0;29,5;24,3;20,8;83;59;
2007-05-30;0;27,8;23,1;19,3;74,1;54;
2007-05-31;0;30,1;22,8;18;78,3;50;
2007-06-01;0;31,9;24;18,7;81,8;50;
2007-06-02;,2;32,6;24,4;20;83,8;46;
2007-06-03;0;30;23,4;20,2;88,7;65;
2007-06-04;0;29,2;23,1;19,3;80;56;
2007-06-05;0;31,7;23,5;17,9;80,7;43;
2007-06-06;0;31,8;24,5;19,5;79,6;47;
2007-06-07;0;32,3;24,5;19,2;82;47;
2007-06-08;0;33,1;24,8;18,4;76;37;
2007-06-09;0;32,7;24,5;18,2;76,7;40;
2007-06-10;0;32,7;24,8;19,9;74,7;39;
2007-06-11;0;32,7;24,3;18,5;73;35;
2007-06-12;0;33,4;24,3;17,7;75,7;40;
2007-06-13;0;32,6;24,1;17,4;75,6;40;
2007-06-14;0;33,5;24,2;17,8;76,4;39;
2007-06-15;0;33,5;25,3;19,2;75,8;39;
2007-06-16;0;33,3;25,2;19,1;73,4;34;
2007-06-17;0;32,9;23,7;16,9;68,8;25;
2007-06-18;0;33,3;23,5;16,8;71,6;31;
2007-06-19;0;33,5;24,4;17,5;72,2;33;
2007-06-20;0;33,2;24,8;18,4;70,1;32;
2007-06-21;0;32,4;23,8;17,4;72,8;32;
2007-06-22;0;32,2;23,9;18,1;68,5;29;
2007-06-23;0;32,3;22,7;15,4;67,8;31;
2007-06-24;0;32,1;22,7;15,5;69,5;29;
2007-06-25;0;32,7;23,6;17;66,6;26;
2007-06-26;0;32,3;22,6;14,7;66,5;25;
2007-06-27;0;32,5;22,8;15,3;64,8;22;
2007-06-28;0;32,7;23,3;16,2;66,2;29;
2007-06-29;0;32;23;16,8;73,7;39;
2007-06-30;0;32,6;23,8;17,2;72,8;34;
2007-07-01;0;32,3;24;18;71,3;34;
2007-07-02;0;33,6;24,3;17,9;68,1;29;
2007-07-03;0;33,3;23,8;16,2;67,7;31;
2007-07-04;0;33,3;23,7;16,3;66,6;28;
2007-07-05;0;33,3;23,9;16,6;68,8;33;
2007-07-06;0;33,5;24,2;16,8;69,5;33;
2007-07-07;0;33,3;23,8;16,5;69,1;33;
2007-07-08;0;33,5;23,7;16,5;69;32;
2007-07-09;0;34,1;24;16,1;65,5;26;
2007-07-10;0;33,9;24,1;16,4;67,8;30;
2007-07-11;0;29,9;22,8;17,8;72,9;44;
2007-07-12;null;null;null;null;57,8;40;
2007-07-13;0;33,9;24,2;16,9;69,8;33;
2007-07-14;0;33,6;25;19;72,6;37;
2007-07-15;0;33,6;25,5;19,5;72,3;35;
2007-07-16;0;33,7;25;19,5;74,4;36;
2007-07-17;0;33,8;25,6;19,5;73,6;40;
2007-07-18;0;33,8;25,5;21,4;77,5;43;
2007-07-19;10,2;31,5;24,5;20,8;83,8;54;
2007-07-20;0;31;24,9;21,1;83,2;55;
2007-07-21;0;33,2;25,1;19,8;80,6;43;
2007-07-22;,2;33;25,5;20,4;78,2;46;
