Nome: VILA BELA DA SANTISSIMA TRINDADE
Codigo Estacao: A922
Latitude: -15.06277777
Longitude: -59.87305554
Altitude: 213
Situacao: Operante
Data Inicial: 2006-11-30
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2006-11-30;3,4;33,4;27;22,6;79,3;48;
2006-12-01;0;33,1;27,1;23;79,7;49;
2006-12-02;0;33,4;26;24,2;87,5;53;
2006-12-03;6,2;30,8;25,1;22,7;89;64;
2006-12-04;16,8;26,5;24,4;22,9;92,1;80;
2006-12-05;1,2;32,4;25,9;22,8;84,7;54;
2006-12-06;,2;31,5;25,9;24,1;85,4;59;
2006-12-07;,4;31,7;25,4;22,7;87,2;59;
2006-12-08;22,4;27,9;24,9;23;88,5;75;
2006-12-09;11,8;27,4;24,7;23,3;89,9;76;
2006-12-10;10,2;31,4;25,2;23;86,1;59;
2006-12-11;,4;28,5;24,6;21,3;83,8;64;
2006-12-12;,8;31,3;25,9;22,8;84,4;60;
2006-12-13;3,8;28,7;25,6;23,8;89,1;74;
2006-12-14;14,4;31;25,5;23,9;88;64;
2006-12-15;2,6;24,9;24,2;23,6;94,5;89;
2006-12-16;14,8;30;24,9;22,6;90,2;66;
2006-12-17;8,2;33,5;27;23,2;80,2;50;
2006-12-18;0;32,1;26,4;23,7;84,2;58;
2006-12-19;7;32,2;26,4;23,9;81,4;57;
2006-12-20;2;31,3;25,9;23,1;83,5;60;
2006-12-21;4,8;30,8;26,2;23,9;82,3;60;
2006-12-22;0;33,9;27,2;24;76,8;49;
2006-12-23;5;26,8;null;23;90,6;71;
2006-12-24;null;33,5;26,2;22,7;80,7;54;
2006-12-25;null;null;null;null;null;54;
2006-12-26;null;null;null;null;68,2;51;
2006-12-27;0;33,1;26,6;23,2;80,3;53;
2006-12-28;0;34,6;27;23;75,3;42;
2006-12-29;0;30,5;25;23;86,3;63;
2006-12-30;8,8;28,3;24,4;22,8;92;71;
2006-12-31;22,8;30,4;24,6;22,1;89,6;63;
2007-01-01;8,8;30,4;25,3;23,3;88,4;66;
2007-01-02;12;31,4;25,7;22,9;85,1;59;
2007-01-03;1,6;31,5;26,1;23,1;82;55;
2007-01-04;0;30,7;25,8;23,2;86,5;65;
2007-01-05;13;32,3;26,5;23,5;85;58;
2007-01-06;,2;30,4;25,1;22;86;66;
2007-01-07;0;31,5;26,4;23,6;85,7;61;
2007-01-08;,6;31,5;25,4;23,8;89;59;
2007-01-09;8,8;32,9;26,5;23,3;82,5;51;
2007-01-10;8,4;31,8;25,6;23,2;86,8;57;
2007-01-11;2;32,5;25,8;23;84,3;59;
2007-01-12;2,2;32,3;26,9;24;81,3;57;
2007-01-13;,6;33,2;27,3;23,2;79,6;53;
2007-01-14;0;27,9;24,9;24,3;89,5;77;
2007-01-15;5,6;30,5;25;21,8;87,3;65;
2007-01-16;0;29,7;25,1;23;88,9;65;
2007-01-17;12,6;32,6;26;22,1;83;50;
2007-01-18;0;31,9;26,2;23,4;82,9;61;
2007-01-19;,8;33,6;26,7;23,2;82,1;52;
2007-01-20;,2;34,7;28,4;24,3;75,5;49;
2007-01-21;2,2;32,5;26,9;23,6;80,8;41;
2007-01-22;0;33,3;26,8;24;82,3;51;
2007-01-23;0;32,9;26,4;24;81,9;55;
2007-01-24;0;32,2;26,9;23,6;79,3;56;
2007-01-25;0;33;26,5;24,3;82,8;56;
2007-01-26;33,2;31,5;25,6;22,2;85,7;62;
2007-01-27;3,2;30,6;24,9;22,9;89,9;68;
2007-01-28;1,6;32,9;27,1;23,8;81,9;55;
