Nome: ALTA FLORESTA
Codigo Estacao: A924
Latitude: -10.07722221
Longitude: -56.17916666
Altitude: 291.85
Situacao: Pane
Data Inicial: 2007-05-22
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2007-05-22;null;null;null;null;null;null;
2007-05-23;null;null;null;null;null;null;
2007-05-24;null;null;null;null;null;null;
2007-05-25;null;null;null;null;null;null;
2007-05-26;null;null;null;null;null;null;
2007-05-27;null;null;null;null;null;null;
2007-05-28;null;null;null;null;null;null;
2007-05-29;null;null;null;null;null;null;
2007-05-30;null;null;null;null;null;null;
2007-05-31;null;null;null;null;null;null;
2007-06-01;null;null;null;null;null;null;
2007-06-02;null;null;null;null;null;null;
2007-06-03;null;null;null;null;null;null;
2007-06-04;null;null;null;null;null;null;
2007-06-05;null;null;null;null;null;null;
2007-06-06;null;null;null;null;null;null;
2007-06-07;null;null;null;null;null;null;
2007-06-08;null;null;null;null;null;null;
2007-06-09;null;null;null;null;null;null;
2007-06-10;null;null;null;null;null;null;
2007-06-11;null;null;null;null;null;null;
2007-06-12;null;null;null;null;null;null;
2007-06-13;null;null;null;null;null;null;
2007-06-14;null;null;null;null;null;null;
2007-06-15;null;null;null;null;null;null;
2007-06-16;null;null;null;null;null;null;
2007-06-17;null;null;null;null;null;null;
2007-06-18;null;null;null;null;null;null;
2007-06-19;null;null;null;null;null;null;
2007-06-20;null;null;null;null;null;null;
2007-06-21;null;null;null;null;null;null;
2007-06-22;null;null;null;null;null;null;
2007-06-23;null;null;null;null;null;null;
2007-06-24;null;null;null;null;null;null;
2007-06-25;null;null;null;null;null;null;
2007-06-26;null;null;null;null;null;null;
2007-06-27;null;null;null;null;null;null;
2007-06-28;null;null;null;null;null;null;
2007-06-29;null;null;null;null;null;null;
2007-06-30;null;null;null;null;null;null;
2007-07-01;null;null;null;null;null;null;
2007-07-02;null;null;null;null;null;null;
2007-07-03;null;null;null;null;null;null;
2007-07-04;null;null;null;null;null;null;
2007-07-05;null;null;null;null;null;null;
2007-07-06;null;null;null;null;null;null;
