Nome: NOVA MARINGA
Codigo Estacao: A928
Latitude: -13.0386111
Longitude: -57.09222221
Altitude: 334.36
Situacao: Operante
Data Inicial: 2008-04-15
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2008-04-15;null;null;null;null;null;null;
2008-04-16;null;null;null;null;null;null;
2008-04-17;null;null;null;null;null;58;
2008-04-18;null;30,6;24,6;21,4;83,6;56;
2008-04-19;14,2;32,4;25,4;20,2;79,8;48;
2008-04-20;2,8;31,6;24,4;21,6;87;52;
2008-04-21;4,4;31,5;24,8;21,9;83,8;52;
2008-04-22;,4;29,3;24;20,7;87,7;66;
2008-04-23;0;32,3;25,3;19,6;78,5;46;
2008-04-24;0;27,7;24,5;21,5;85,4;70;
2008-04-25;1;32,4;25,1;20;78,1;46;
2008-04-26;0;32,4;26,2;22,2;76,4;50;
2008-04-27;0;30,9;24,9;20,4;83,3;60;
2008-04-28;8,2;32,7;26,1;21,4;81,6;51;
2008-04-29;1;31,2;25,1;22,1;86,7;59;
2008-04-30;,2;27,4;23,8;22,5;87,3;71;
2008-05-01;0;25,8;21,2;18,1;86;71;
2008-05-02;0;24,9;20,9;19,2;81,2;61;
2008-05-03;0;24,3;18,9;14,5;70;51;
2008-05-04;0;26,4;20,6;16,4;64,8;49;
2008-05-05;0;27,9;21,8;17,2;69,6;54;
2008-05-06;0;31,8;24,8;19,3;69,2;42;
2008-05-07;0;32,6;25,3;19,2;74,3;44;
2008-05-08;0;28,7;24,2;20,2;83,2;63;
2008-05-09;0;29,6;24;21;85,3;54;
2008-05-10;0;31,8;24,8;20,3;81,1;47;
2008-05-11;2,4;30,8;25,4;21,5;76;48;
2008-05-12;0;29,6;24,4;20,4;80,2;53;
2008-05-13;0;30,4;24,7;21,4;78,4;50;
2008-05-14;0;29,7;24,3;21;80,3;50;
2008-05-15;0;31,1;24,6;18,9;76,5;45;
2008-05-16;0;31,4;24,4;19,6;76,8;44;
2008-05-17;0;32;24,3;18,3;75,1;47;
2008-05-18;0;33,3;25,3;18,5;74;38;
2008-05-19;0;32,8;25,7;19,9;75,3;43;
2008-05-20;0;33;25,7;19,6;72,9;42;
2008-05-21;0;33,3;25,1;17,8;69,3;30;
2008-05-22;0;32,5;24,4;17,6;70,1;29;
2008-05-23;0;32,6;24;15,7;64,3;22;
2008-05-24;0;31,4;23,1;19,2;71,9;31;
2008-05-25;0;32,1;22,5;14,7;70,4;32;
2008-05-26;0;32,6;23,4;14,7;68,8;31;
2008-05-27;0;32,4;24,4;17,5;74;44;
2008-05-28;0;32,7;24,8;19,4;77,4;46;
2008-05-29;0;31,2;24;18,7;80,1;51;
2008-05-30;35;24,8;19,4;17;83,7;69;
2008-05-31;0;25,1;17,4;13,5;82;61;
2008-06-01;0;23,1;17,9;13,9;85,9;69;
2008-06-02;0;28,1;20,4;15,4;83,9;59;
2008-06-03;0;31,5;23,3;16,3;75,5;37;
2008-06-04;0;29,7;23,3;19,7;78,1;43;
2008-06-05;,2;31;23,4;16,8;69,6;32;
2008-06-06;0;31,4;21,9;14,2;71;32;
2008-06-07;0;32,4;23,2;15;69,7;33;
2008-06-08;0;32,8;24,6;19;64,1;29;
2008-06-09;0;32,1;23,3;15,4;68,8;35;
2008-06-10;0;31;23,6;17,2;71,5;36;
2008-06-11;0;31,9;24;16,8;72;36;
2008-06-12;0;32,4;23,9;16,4;71,5;34;
2008-06-13;0;32,7;24,1;17,2;69,5;33;
2008-06-14;0;31,6;24;17,8;67,7;32;
2008-06-15;0;32,4;23,2;15,7;66,5;29;
2008-06-16;0;23;20,4;17,8;81,5;70;
2008-06-17;0;30,4;20,6;13,3;72,2;38;
2008-06-18;0;32,2;22,4;14,6;69,8;31;
2008-06-19;0;32,8;23,7;15,7;68,4;33;
2008-06-20;0;33,2;24,7;17,8;68,3;33;
2008-06-21;0;32;23,8;16,5;69,6;35;
2008-06-22;0;25,9;21,3;18,5;78,6;56;
2008-06-23;0;26,8;20,2;17,2;78,3;53;
2008-06-24;0;28,4;20,6;16,1;78,4;48;
2008-06-25;0;30,6;20,9;13,6;75,1;32;
2008-06-26;0;32,3;22;12,5;65,9;21;
2008-06-27;0;32,9;21,7;13,2;64,9;26;
2008-06-28;0;31,6;22,8;15,6;67,1;29;
2008-06-29;0;31,4;23;15,4;65,6;26;
2008-06-30;0;32,2;22,4;14,3;66,7;29;
2008-07-01;0;32,4;23,9;16,5;62,5;28;
2008-07-02;0;32,4;23,3;14,4;60,9;27;
2008-07-03;0;33,1;23;14,1;64,2;29;
2008-07-04;0;33,1;23,8;15,7;61,5;29;
2008-07-05;0;33,3;23,6;16,5;62;22;
2008-07-06;0;33,8;24,1;16,7;52,1;20;
2008-07-07;0;33,3;23,3;14,5;60;26;
2008-07-08;0;33,7;24;15,7;60,2;24;
2008-07-09;0;32,5;23,5;15,6;58,7;24;
2008-07-10;0;32,2;22;12,8;57,9;23;
2008-07-11;0;31,6;21,1;11;55,5;18;
2008-07-12;0;33,1;21,7;12,5;59,3;24;
2008-07-13;0;33,2;23,6;14,1;55;23;
2008-07-14;0;33,7;24,1;17,4;49,9;22;
2008-07-15;0;30,6;23,3;13,9;44,4;19;
2008-07-16;0;31,5;21,8;11,6;53,8;21;
2008-07-17;0;31,5;21,4;11,8;57,3;24;
2008-07-18;0;32,4;22;12,3;59,1;25;
2008-07-19;0;34,3;23,7;14,8;58,9;23;
2008-07-20;0;34,5;24,6;15,4;58;21;
2008-07-21;0;35,2;24,5;14,8;56,5;21;
2008-07-22;0;34,3;24,9;16,3;54;24;
2008-07-23;0;33,9;24,6;16,7;50,6;19;
2008-07-24;0;34,2;22,7;12,6;52,9;15;
2008-07-25;0;33,9;22,3;12,4;57,5;21;
2008-07-26;0;33,9;23,9;15,1;58,7;20;
2008-07-27;0;34,9;23,6;13,2;54,5;16;
2008-07-28;0;35,1;23,9;14,2;53,8;22;
2008-07-29;0;34,2;24,3;15,1;53,4;20;
2008-07-30;0;33,8;23,4;13,6;52,9;18;
2008-07-31;0;34;23,8;15,3;47,7;20;
2008-08-01;0;34,1;23,7;13,9;54,5;24;
2008-08-02;0;34,6;24,7;16,1;58;28;
2008-08-03;0;35,1;25,3;16,7;60,1;25;
2008-08-04;0;33,1;24,5;17;70,8;38;
2008-08-05;0;35,3;26,4;18,8;62,2;24;
2008-08-06;null;36;null;null;41,6;21;
2008-08-07;null;36,4;null;null;null;17;
2008-08-08;null;35,4;null;null;null;21;
2008-08-09;null;35,5;null;null;null;20;
2008-08-10;null;35,9;null;null;null;22;
2008-08-11;null;36;null;null;null;22;
2008-08-12;null;34;null;null;null;30;
2008-08-13;null;35,9;null;null;null;18;
2008-08-14;null;35,7;null;null;null;16;
2008-08-15;null;36,4;null;null;null;17;
2008-08-16;null;35,7;null;null;null;16;
2008-08-17;null;35,3;null;null;null;16;
2008-08-18;null;35,6;null;null;null;19;
2008-08-19;null;36,2;null;null;null;16;
2008-08-20;null;34,9;null;null;null;16;
2008-08-21;null;34,2;null;null;null;20;
2008-08-22;null;35,4;null;null;null;17;
2008-08-23;null;35,5;null;null;null;15;
2008-08-24;null;35,9;null;null;null;16;
2008-08-25;null;37,1;null;null;null;15;
2008-08-26;null;36,4;null;null;null;20;
2008-08-27;null;36,3;null;null;null;15;
2008-08-28;null;null;null;null;null;21;
2008-08-29;null;null;null;null;null;31;
2008-08-30;null;33,5;null;null;null;28;
2008-08-31;null;34,6;null;null;null;22;
2008-09-01;null;null;null;null;null;21;
2008-09-02;null;null;null;null;null;29;
2008-09-03;null;null;null;null;null;32;
2008-09-04;null;null;null;null;null;32;
2008-09-05;null;null;null;null;null;null;
2008-09-06;null;null;null;null;null;null;
2008-09-07;null;null;null;null;null;40;
2008-09-08;null;null;null;null;null;34;
2008-09-09;null;null;null;null;null;null;
2008-09-10;null;null;null;null;null;null;
2008-09-11;null;null;null;null;null;null;
2008-09-12;null;null;null;null;null;null;
2008-09-13;null;null;null;null;null;35;
2008-09-14;null;null;null;null;null;null;
2008-09-15;null;null;null;null;null;42;
2008-09-16;null;null;null;null;null;27;
2008-09-17;null;null;null;null;null;null;
2008-09-18;null;null;null;null;null;null;
2008-09-19;null;null;null;null;null;null;
2008-09-20;null;24,4;null;null;null;79;
2008-09-21;null;19,9;null;null;null;84;
2008-09-22;null;28,3;null;null;54,4;34;
2008-09-23;0;35;23,6;14,2;56,3;24;
2008-09-24;0;36,5;26;15,5;46,2;14;
2008-09-25;0;38,5;27;16,4;45,8;12;
2008-09-26;0;36,4;27,1;18,8;50,5;25;
2008-09-27;0;35;27,3;20,7;62,1;30;
2008-09-28;0;35,4;26,7;21,7;67;34;
2008-09-29;38,8;34,5;26,8;20,9;71,7;33;
2008-09-30;0;36,2;28,2;21,7;64,3;31;
2008-10-01;0;36,4;28,6;21,7;63,2;32;
2008-10-02;7,8;34,4;26,7;22,2;73,1;44;
2008-10-03;91,2;28,9;23,5;20,6;86,4;59;
2008-10-04;1;34,1;26,1;18,9;72,6;37;
2008-10-05;0;34,4;26,7;21,5;70,7;41;
2008-10-06;0;31;24,7;20,3;72,5;51;
2008-10-07;0;32,4;25,7;20,7;66,2;38;
2008-10-08;0;35,3;27;20,3;59,6;30;
2008-10-09;,2;36,2;27,8;20,8;62;27;
2008-10-10;0;34,7;28,1;22,2;61,8;36;
2008-10-11;0;34,9;27,1;21;63,7;33;
2008-10-12;1;33,1;26,3;21,1;70,4;38;
2008-10-13;0;34,9;27,4;21,3;66,6;33;
2008-10-14;0;37,8;28,3;20,8;60,2;20;
2008-10-15;0;37,6;28,4;20,1;57,3;22;
2008-10-16;0;37,9;28,9;21,1;60,2;27;
2008-10-17;0;35,8;28,8;22,4;60,6;37;
2008-10-18;0;29,6;25,7;22,2;70,4;52;
2008-10-19;0;32,4;26,4;21,6;68,7;43;
2008-10-20;0;34,1;27;21,7;68,8;40;
2008-10-21;4;27;23,4;22,3;87,8;68;
2008-10-22;23,6;28,4;24,3;20,9;84,3;63;
2008-10-23;0;35,3;28,2;22;67,2;34;
2008-10-24;29,6;32,8;25,2;22,2;79,7;46;
2008-10-25;7,6;34,1;25,9;20,4;75,6;46;
2008-10-26;0;33,6;26,6;22;73,8;45;
2008-10-27;2;35,1;27,6;21,7;70,5;35;
2008-10-28;0;35,7;28,6;22;66,2;35;
2008-10-29;0;32,7;25,1;23,2;79,1;51;
2008-10-30;,6;29,7;24,5;21,1;81,1;55;
2008-10-31;1;32,7;26,4;22,9;76,8;48;
2008-11-01;21,8;27,9;24,3;21,6;84,5;67;
2008-11-02;0;32,6;26,8;21,7;76,3;48;
2008-11-03;0;34,6;27,5;22,4;69,8;37;
2008-11-04;0;34,9;26,4;21,9;75,2;38;
2008-11-05;,4;35,3;26,9;20,9;72,1;35;
2008-11-06;8,2;27,1;23,8;22,8;86,4;74;
2008-11-07;12;32;25,9;21,4;77,2;51;
2008-11-08;0;34,6;28,1;22,2;69,7;39;
2008-11-09;0;35,5;28,7;22,2;67,9;37;
2008-11-10;15,6;28,9;24,5;22;83,8;68;
2008-11-11;,6;32,9;25,7;21,6;79,1;43;
2008-11-12;0;33,6;26,6;22,3;77,4;47;
2008-11-13;63;31;25;21,5;80,8;52;
2008-11-14;0;33,4;27,1;22,7;74,5;45;
2008-11-15;0;34,4;27,3;23,2;76;46;
2008-11-16;0;28,8;25,4;23,4;84,5;66;
2008-11-17;1,8;30,5;24,9;22,2;83,4;57;
2008-11-18;25,2;29,4;24,8;21,9;82,1;57;
2008-11-19;0;29,5;24,5;22,6;86,7;64;
2008-11-20;27;28;23,5;22,5;91,4;71;
2008-11-21;39,8;33;25,1;21,4;84,5;56;
2008-11-22;0;31,4;26,2;23,4;81,5;58;
2008-11-23;0;34,6;26,7;22,7;79,9;45;
2008-11-24;15;33,6;27,2;22,7;78,8;49;
2008-11-25;9,2;33,2;27,1;21,4;76,9;49;
2008-11-26;0;31,8;26,9;22,8;76;55;
2008-11-27;0;31,1;25,5;22,9;82,5;55;
2008-11-28;2,2;31,7;25,3;23;82,7;54;
2008-11-29;4,6;34,2;26,1;21,8;79,3;44;
2008-11-30;1,8;32,9;26,7;23,5;79,2;51;
2008-12-01;0;29,8;25;23,5;87,3;67;
2008-12-02;15,6;30,2;24,3;22,2;88,4;61;
2008-12-03;75;27,3;23,6;22;85,9;66;
2008-12-04;0;31,9;24,6;18,6;67,7;27;
2008-12-05;0;32,7;23,9;17,7;68,8;34;
2008-12-06;0;33,4;24,8;19,2;74,3;43;
2008-12-07;0;30,9;25,1;23,7;87,2;62;
2008-12-08;63,2;33,4;26,2;21,6;76,8;47;
2008-12-09;3,8;34;26,7;22,1;76,4;45;
2008-12-10;0;34,2;27,2;21,7;76,3;45;
2008-12-11;4,2;32,5;26,5;22,8;79,3;50;
2008-12-12;91,8;30,7;25,1;22,1;83,1;56;
2008-12-13;0;34,3;25,1;22,7;84,9;57;
2008-12-14;44,2;31,7;25,7;21,8;81,3;55;
2008-12-15;2,4;29,2;24,5;22,9;88,9;67;
2008-12-16;30,2;29,6;24,9;22,5;84,6;63;
2008-12-17;1;30,3;25,1;22,8;84,7;65;
2008-12-18;,6;35;26,2;21,6;83;53;
2008-12-19;0;33,9;27,5;23,6;78,5;48;
2008-12-20;0;34,4;27,6;22,5;76;49;
2008-12-21;0;31,5;26,1;22,7;81,7;58;
2008-12-22;10,8;29,4;25,4;22,3;83,8;63;
2008-12-23;,2;28,9;24,6;22,4;87,6;69;
2008-12-24;3,4;30,8;25,1;22;84,4;60;
2008-12-25;10,4;29,6;25,6;22,9;84,7;66;
2008-12-26;31,6;28,2;24,7;22,1;87,3;70;
2008-12-27;18,6;29,7;25;22,3;85,4;68;
2008-12-28;4;26,4;24,2;22,8;91,6;83;
2008-12-29;17,4;28,9;24,2;22,6;91;72;
2008-12-30;46,2;32,1;25,6;22,7;87,1;59;
2008-12-31;4,8;31,7;26,3;22,6;81,6;59;
2009-01-01;0;37,1;28;22,6;75,3;44;
2009-01-02;0;35,3;28,5;23,2;73,1;45;
2009-01-03;0;34,7;27,3;23,5;77;49;
2009-01-04;13,2;28;25,2;23,3;84;66;
2009-01-05;0;33,7;25,9;22,5;78;46;
2009-01-06;0;37,3;26,3;21;74,4;48;
2009-01-07;0;30,9;26,9;24,4;80,3;61;
2009-01-08;0;30,4;25,8;24;86,6;64;
2009-01-09;8,8;32,5;26,4;22,8;81,6;52;
2009-01-10;,2;34,2;27,7;22,8;77;47;
2009-01-11;0;36,6;28,6;23,5;70,6;35;
2009-01-12;12,4;41,4;28,2;24,3;79,4;47;
2009-01-13;3,2;36,2;28,8;23,4;75,4;45;
2009-01-14;0;36,8;28,9;22,6;71;35;
2009-01-15;0;35,3;26,5;23,1;79,9;54;
2009-01-16;,8;34,2;25,3;22,9;86,3;52;
2009-01-17;26,6;33,3;26,3;23;82;54;
2009-01-18;11,4;31,6;25,1;22,7;84,7;56;
2009-01-19;0;34,3;26,3;22,9;80,7;45;
2009-01-20;6,2;30,3;25,2;22,7;81,4;56;
2009-01-21;,2;35,3;26,2;22;73,1;43;
2009-01-22;0;33,7;26,8;20,5;69,5;37;
2009-01-23;0;34,1;26,3;22,4;79,5;57;
2009-01-24;0;34,1;27,7;23,4;78,1;50;
2009-01-25;1;35;27;24,1;81,3;50;
2009-01-26;55,2;30,8;25,8;22,3;84;63;
2009-01-27;,4;29,8;24,9;23,5;90;67;
2009-01-28;10,8;30;24,6;23,4;89,6;67;
2009-01-29;15,8;35,5;26,1;23,1;86,3;60;
2009-01-30;,4;31,3;26,2;23,3;84,7;60;
2009-01-31;7,2;32;25,7;22,4;84,3;58;
2009-02-01;,4;37,3;27,5;22;78,4;47;
2009-02-02;,2;37,2;27,7;23,6;77,4;47;
2009-02-03;11;33,2;26,9;23,7;81,7;57;
2009-02-04;1,6;30,2;25,8;24,1;86,6;67;
2009-02-05;10;32,5;27,1;23,8;81,3;56;
2009-02-06;,6;35,3;27,9;23,4;78;50;
2009-02-07;,8;37,7;27,8;23,5;77,1;47;
2009-02-08;19,8;31,7;25,3;22,6;85;65;
2009-02-09;7,6;37,1;26,9;22,5;81,5;52;
2009-02-10;,2;37,6;27,2;23,1;80,3;53;
2009-02-11;0;34,3;28,2;24,3;78,5;55;
2009-02-12;0;36;28,5;23,1;75,1;47;
2009-02-13;13;31,3;26,5;24;84,4;59;
2009-02-14;40,2;27,3;24,5;22,8;89,4;74;
2009-02-15;4,2;30,6;25,2;22,8;85,7;62;
2009-02-16;6,8;30,7;25;23,2;87,3;62;
2009-02-17;99,2;25,1;23,9;23,1;92,7;86;
2009-02-18;2,8;28,8;24,5;22,8;88,3;67;
2009-02-19;2,2;32,7;25,6;21,8;83,5;53;
2009-02-20;,8;35,3;26,8;20,7;77,8;49;
2009-02-21;0;31,2;26;21,5;78,5;53;
2009-02-22;0;38;28,8;23,4;78,7;51;
2009-02-23;0;32,6;26,8;22,9;86,5;65;
2009-02-24;31;29,8;25,4;23;85,5;63;
2009-02-25;,2;44,4;28,7;22,4;79,1;50;
2009-02-26;8;33,7;26,5;22,8;83,8;51;
2009-02-27;5,2;31,7;25,8;22,6;82,8;56;
2009-02-28;0;37,7;29,1;22,2;74;44;
2009-03-01;0;44,3;29,4;23,4;78,8;45;
2009-03-02;0;34,8;29,6;24,6;78,6;54;
2009-03-03;0;30,1;26,7;24,5;88;73;
2009-03-04;6,2;36,9;27,8;23,1;82,1;46;
2009-03-05;29,6;37,4;27,4;22,7;82;48;
2009-03-06;2,6;36,7;29;24,2;78;49;
2009-03-07;0;34,6;27,7;23,9;81,1;54;
2009-03-08;19,4;34,7;28;23,6;78,1;47;
2009-03-09;57,2;37;27,4;22,7;82,8;55;
2009-03-10;0;32,8;27;24,3;83,3;53;
