Nome: GUIRATINGA
Codigo Estacao: A932
Latitude: -16.34166666
Longitude: -53.76611111
Altitude: 525.43
Situacao: Pane
Data Inicial: 2008-01-23
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2008-01-23;null;null;null;null;null;null;
2008-01-24;null;null;null;null;null;null;
2008-01-25;null;null;null;null;null;65;
2008-01-26;null;29,6;23,1;21,2;89,1;60;
2008-01-27;3,2;28;23,2;21,5;91,2;66;
2008-01-28;7;28,4;22,9;21,5;92,7;63;
2008-01-29;27,6;28,3;23,2;21,4;92,3;68;
2008-01-30;45,4;25,5;22,5;21;94;78;
2008-01-31;4,6;30;24,6;21,4;85,4;56;
2008-02-01;0;30,2;24,9;22,8;85,8;63;
2008-02-02;,4;30,6;25,2;20,9;80,2;56;
2008-02-03;0;29,4;24,8;22,2;84,3;61;
2008-02-04;1,4;29,6;24,8;21,5;82,7;61;
2008-02-05;3,8;25,2;23;21,6;92,7;83;
2008-02-06;5,4;31,7;24,6;21;79,7;43;
2008-02-07;1,4;27,5;23,1;21;85;60;
2008-02-08;2,8;28,2;23,2;20,3;85,8;61;
2008-02-09;28,2;31,2;24,8;19,9;79,1;48;
2008-02-10;4,8;31,3;25;20,2;79,5;48;
2008-02-11;7,2;29,2;24,4;20,1;79,8;55;
2008-02-12;0;32,7;25,1;20,4;76,8;46;
2008-02-13;0;33,7;25,4;21;74,8;43;
2008-02-14;0;33,5;25,2;21,4;77,5;41;
2008-02-15;2;30,7;23,9;22;81,3;53;
2008-02-16;0;30,1;24,3;21,4;81,3;52;
2008-02-17;4,2;29,2;23,8;20,9;84,3;58;
2008-02-18;,8;31;24,6;20,6;78,2;49;
2008-02-19;,2;30,4;24,2;20,5;77,8;51;
2008-02-20;0;30,6;24,1;20,4;81,9;53;
2008-02-21;0;30,8;25,1;21;77,3;49;
2008-02-22;0;30,9;24,8;22;80,8;52;
2008-02-23;24,2;31,6;24,2;21,4;85,9;51;
2008-02-24;,4;30,3;24,1;21,9;86,6;59;
2008-02-25;3,2;32,6;25,2;21,3;79,9;41;
