Nome: ITIQUIRA
Codigo Estacao: A933
Latitude: -17.17499999
Longitude: -54.50166666
Altitude: 593.12
Situacao: Operante
Data Inicial: 2008-08-13
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2008-08-13;null;null;null;null;null;null;
2008-08-14;null;null;null;null;null;null;
2008-08-15;null;33,9;null;null;20,4;14;
2008-08-16;0;33,9;26,3;19,9;27;14;
2008-08-17;0;33,4;26,2;18,9;27,6;15;
2008-08-18;0;34,1;26,7;19,4;26,5;15;
2008-08-19;0;34,2;27,2;18,4;27;17;
2008-08-20;0;33,9;26,8;20,6;26,6;14;
2008-08-21;0;34;26,6;20,1;26,5;15;
2008-08-22;0;34;26,5;18,3;29,2;16;
2008-08-23;0;34,2;26,3;18,7;30,8;13;
2008-08-24;0;34,6;26,8;17,8;23,8;14;
2008-08-25;0;35,4;27,8;20;24,1;14;
2008-08-26;0;34,9;27,5;19,6;25,8;14;
2008-08-27;0;35;27,7;20,5;25;13;
2008-08-28;0;35,3;27,8;20,8;26;15;
2008-08-29;0;30,3;24,7;20;48,4;23;
2008-08-30;0;33,4;23,4;16,8;32,5;20;
2008-08-31;0;34,8;24,9;16,1;41,7;20;
2008-09-01;0;36,7;27,9;20,7;30,8;14;
2008-09-02;0;36,3;29,1;19,8;22,4;12;
2008-09-03;0;36;29,2;22,5;26,4;17;
2008-09-04;0;36,7;29,5;23,6;23,8;13;
2008-09-05;0;31,5;25,1;18,2;49,8;18;
2008-09-06;0;25,1;18,6;13,8;57,8;34;
2008-09-07;0;29,3;19,6;13,6;63,5;33;
2008-09-08;0;37,2;25,6;16,9;44,7;14;
2008-09-09;0;37,9;29,9;22,3;31,7;13;
2008-09-10;0;37,7;30,8;23,6;27,5;14;
2008-09-11;0;37,3;30,3;21,9;25,7;14;
2008-09-12;0;36,1;27,7;24;39,3;22;
2008-09-13;,2;29,6;22,3;17,5;73,5;44;
2008-09-14;0;31,1;23,3;18,1;69,8;38;
2008-09-15;0;33;25,5;19,7;56,2;33;
2008-09-16;0;32,7;24,9;20,1;44,1;27;
2008-09-17;0;35,3;26,6;18,2;39,5;21;
2008-09-18;0;36,2;25,9;20;51;21;
2008-09-19;,6;36,1;26,7;19,2;49,3;21;
2008-09-20;0;28,7;24,2;22,1;61,4;42;
2008-09-21;1,8;19,1;16,2;14,8;92,5;75;
2008-09-22;0;25,5;17,8;12,4;60,8;24;
2008-09-23;0;31,6;21,1;12;30,3;10;
2008-09-24;0;34,8;24,9;15,4;24,6;12;
2008-09-25;0;37,5;27,9;18,4;25,7;14;
2008-09-26;0;36,1;27,8;21,3;30,4;16;
2008-09-27;0;36,2;28,1;21,3;34,5;19;
2008-09-28;0;37,1;29,1;22;34,8;17;
2008-09-29;0;36,6;29,6;23,9;39,8;20;
2008-09-30;0;35,8;28,5;24;46,3;29;
2008-10-01;0;36,9;28,3;21,8;51,8;24;
2008-10-02;1,8;27,9;24;20,9;72,5;52;
2008-10-03;0;31,9;24,5;20,4;72;39;
2008-10-04;0;35,6;27;21,7;54,2;26;
2008-10-05;0;31,2;25,3;20,9;62,1;43;
2008-10-06;0;24,9;21,3;18,5;73,5;63;
2008-10-07;0;30,1;23,2;19,1;71,8;40;
2008-10-08;0;34,7;24,3;19,8;63,5;26;
2008-10-09;19,8;31,6;24,9;18,8;64,6;37;
2008-10-10;0;35,1;27,1;20,8;53,1;24;
2008-10-11;15;29;20,1;18,6;85,9;41;
2008-10-12;9,8;34,1;25,7;18,2;59,6;28;
2008-10-13;0;35,7;28,1;21,5;50,3;24;
2008-10-14;1,4;37,3;29,9;23,3;41,9;19;
2008-10-15;0;38,5;31;22,7;32,7;15;
2008-10-16;0;39,2;31,6;22,7;31,2;12;
2008-10-17;0;37,9;27,4;23,2;61,7;22;
2008-10-18;20,6;24,1;20,8;19,5;90,8;64;
2008-10-19;23,4;28,3;22,7;19,4;83,4;49;
2008-10-20;0;30,1;24,5;20,4;74;51;
2008-10-21;4;27,3;22,8;20,9;85,7;67;
2008-10-22;1,6;32,3;23,7;19,2;76,3;39;
2008-10-23;0;33,8;26,7;21,3;64;31;
2008-10-24;0;35,7;27,5;22,9;61,3;31;
2008-10-25;4,6;33,6;26,5;19,7;68;34;
2008-10-26;0;34,6;26,9;22,8;63,2;33;
2008-10-27;0;35,2;27,9;22,1;59;33;
2008-10-28;0;36,9;28;22,8;58,8;24;
2008-10-29;0;34,2;27,6;22,2;57;30;
2008-10-30;0;31,2;25;22;71,5;44;
2008-10-31;10,4;28,8;24,1;20,5;80,7;58;
2008-11-01;,2;33,2;25;22,1;74;37;
2008-11-02;8,4;30,9;24,7;20,6;77,9;47;
2008-11-03;0;33,7;25,8;20,5;69,1;34;
2008-11-04;0;34,2;27,2;22,5;65,7;35;
2008-11-05;1,6;33,6;26,9;21,4;66,1;35;
2008-11-06;0;31,8;24,3;21,6;77,3;51;
2008-11-07;49;29,9;25;19,8;79,6;58;
2008-11-08;0;32,9;26,9;22,6;70,4;46;
2008-11-09;0;33,7;27,1;22,8;68,5;41;
2008-11-10;,2;30,3;24,7;20,9;75,4;42;
2008-11-11;0;29,4;25,4;22,3;74,5;56;
2008-11-12;,2;30,2;24,8;22,6;77,7;53;
2008-11-13;36;27,4;22,9;19,4;84;57;
2008-11-14;0;32,1;25,4;20,7;75,2;40;
2008-11-15;0;33,8;26,9;21,9;68,3;41;
2008-11-16;,4;29;25;22,5;75,6;54;
2008-11-17;,6;32,2;24,1;20,2;78,2;38;
2008-11-18;5,2;29,7;23,2;21,3;86,3;59;
2008-11-19;,6;31,4;24,9;19,7;74,3;42;
2008-11-20;,4;32,9;25,7;20,9;69,5;37;
2008-11-21;1;31,3;24,4;20,4;76,1;48;
2008-11-22;5,6;32,2;25,2;20,1;71,7;42;
2008-11-23;0;32,5;25,1;21;74,8;47;
2008-11-24;9,6;32,8;26,6;20,5;65,7;37;
2008-11-25;0;32,9;26,5;21,2;60,2;37;
2008-11-26;0;31,1;25,5;21,4;69,8;54;
2008-11-27;0;31,6;24,9;21,2;75,4;50;
2008-11-28;13,6;30,7;24,4;20,5;77;49;
2008-11-29;12,6;30,5;23,1;19,4;81,2;54;
2008-11-30;6,4;31,2;24,3;18,7;76,1;44;
2008-12-01;0;31,9;25,5;21,6;76;50;
2008-12-02;3;28,8;23,3;20,8;87,3;69;
2008-12-03;7,2;27,1;22;19,1;77,1;47;
2008-12-04;0;29;22;15,2;55,6;28;
2008-12-05;0;31,4;24,6;18,9;50,8;30;
2008-12-06;0;33,7;26,8;19,4;51,6;36;
2008-12-07;0;31,2;25,9;22,1;70,5;49;
2008-12-08;0;32,4;24,6;20,9;78,2;46;
2008-12-09;39;32,6;26,5;20,6;74,3;46;
2008-12-10;0;32,9;27,6;22,8;67,5;46;
2008-12-11;18,4;28,5;24,1;20,5;83,4;63;
2008-12-12;0;31,9;25,1;21,2;78,3;50;
2008-12-13;,4;29,3;24,1;21,7;84,8;62;
2008-12-14;1,4;25,5;22,8;21,3;90,3;77;
2008-12-15;2;25,8;22,6;21,4;91;79;
2008-12-16;8,2;30,8;24,7;20,5;82;46;
2008-12-17;0;32;25,9;21;71,6;44;
2008-12-18;0;31,5;25,7;22,1;73,5;49;
2008-12-19;,8;32,3;25;20,1;74,4;43;
2008-12-20;11,6;31,2;25,3;21,3;74,5;45;
2008-12-21;0;30,4;25,7;21,2;74;54;
2008-12-22;19,2;29;23,5;19,7;83,6;57;
2008-12-23;2,4;28,2;23,6;20,5;85,5;62;
2008-12-24;6;29,5;23,7;21,2;89,2;60;
2008-12-25;5,2;26,8;23,1;21,7;92,3;79;
2008-12-26;15,8;26,6;22,8;20,6;90,2;70;
2008-12-27;12,6;29,3;24,5;21,6;85,6;62;
2008-12-28;0;31,7;24,6;21,9;85,4;54;
2008-12-29;10,2;29,3;24,7;21,2;84,8;61;
2008-12-30;0;29,3;24,6;22,2;86;64;
2008-12-31;,4;31,4;24,5;20,8;82,9;52;
2009-01-01;0;32,3;26,1;21,7;75,7;49;
2009-01-02;0;32,4;26;21,5;74;48;
2009-01-03;0;27,6;23,3;22;86;72;
2009-01-04;19,4;25,5;21,3;19,3;86,7;62;
2009-01-05;,2;27,7;21,4;15,9;68,6;43;
2009-01-06;0;29,3;22,8;15,2;55,9;35;
2009-01-07;0;30,6;24,2;18,7;56;31;
2009-01-08;0;32,7;26,4;19;53,8;27;
2009-01-09;0;32,9;26,5;21;66,3;42;
2009-01-10;,4;33,1;25,9;21,2;72,3;37;
2009-01-11;0;34;27,3;22,6;64,7;31;
2009-01-12;7,6;33,6;27,5;21,8;65,4;37;
2009-01-13;0;34,4;28,3;23;55,2;29;
2009-01-14;0;34,3;28,5;23,8;56;34;
2009-01-15;0;29,4;25,2;24,1;74,5;51;
2009-01-16;6;29;22,7;21,1;88;63;
2009-01-17;15,2;27,2;23;20,2;86,8;63;
2009-01-18;10,2;25,5;22,4;20,5;88,1;74;
