Nome: SALTO DO CEU
Codigo Estacao: A936
Latitude: -15.12472221
Longitude: -58.12722221
Altitude: 300.83
Situacao: Operante
Data Inicial: 2008-01-23
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2008-01-23;null;null;null;null;null;null;
2008-01-24;null;null;null;null;null;null;
2008-01-25;null;null;null;null;null;null;
2008-01-26;null;null;null;null;null;null;
2008-01-27;null;null;null;null;null;null;
2008-01-28;null;null;null;null;78,4;57;
2008-01-29;5;28,1;24,8;22,6;85,4;67;
2008-01-30;,6;27,6;23,9;22,7;85,9;69;
2008-01-31;20,6;30,8;25,4;22,5;84,5;58;
2008-02-01;5;30,9;25,7;22,6;82,5;59;
2008-02-02;0;30,9;24,4;22,1;89,3;60;
2008-02-03;3,2;32;25,5;21,7;80;46;
2008-02-04;0;31,2;25,1;20,1;79,5;48;
2008-02-05;0;33;25,5;19,6;73,9;33;
2008-02-06;0;33,2;25;21;80,5;43;
2008-02-07;20,2;31,2;24,9;21;83,3;54;
2008-02-08;29,4;31,2;25;21,1;78,8;45;
2008-02-09;2,6;32,3;25,5;21,3;78,4;50;
2008-02-10;0;30,7;25,3;22,2;81,5;54;
2008-02-11;0;27,6;24,5;23;85,5;68;
2008-02-12;,2;30,1;24,9;22,1;81,8;58;
2008-02-13;0;33;25,4;20,6;82,2;49;
2008-02-14;8,4;31,2;26;22,4;79;48;
2008-02-15;0;32,3;25,4;21,3;80,2;50;
2008-02-16;7;32,3;26,3;21,3;79;49;
2008-02-17;10;31,6;25,2;21,3;82,6;50;
2008-02-18;0;31,8;25;21,3;83,3;53;
2008-02-19;1;31,1;24,8;22,7;85,8;59;
2008-02-20;12;30,8;24,6;20,5;84,3;60;
2008-02-21;69,8;30,7;25,2;21,7;84,2;56;
2008-02-22;7;31,6;25;22,3;86,3;53;
2008-02-23;1,2;31,3;25,2;22,4;80,9;52;
2008-02-24;0;30,3;25,2;22,6;86,3;59;
2008-02-25;7,6;28,7;23,8;22,7;92;68;
2008-02-26;16,2;30,2;23,7;21,9;90,4;62;
