Nome: CACERES
Codigo Estacao: A941
Latitude: -16.07472221
Longitude: -57.69305555
Altitude: 123.53
Situacao: Fechada
Data Inicial: 2012-03-29
Data Final: 2021-01-07
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2012-03-29;null;null;null;null;null;null;
2012-03-30;null;null;null;null;54,4;39;
2012-03-31;9,2;34,6;27,5;22,1;70,5;39;
2012-04-01;0;34,4;27,3;21,8;74,7;45;
2012-04-02;0;34,7;27;22,7;73,1;43;
2012-04-03;,2;33,5;27;20,7;70,9;47;
2012-04-04;2,8;33,7;27,7;22,3;71,6;47;
2012-04-05;0;34,9;29,4;24,9;67,5;44;
2012-04-06;0;33,8;27,3;21,5;77,9;52;
2012-04-07;,2;34;27,8;23,4;77,7;38;
2012-04-08;,4;34,5;27,9;23,3;74,7;48;
2012-04-09;0;31,8;26,7;24,1;76,7;54;
2012-04-10;0;32,9;27,1;23,6;77;51;
2012-04-11;0;34;27,9;24,1;73,5;40;
2012-04-12;0;33;27,1;24,4;80,8;60;
2012-04-13;0;33,2;27,2;22,9;77,7;52;
2012-04-14;0;32,7;27,1;24,8;79,6;55;
2012-04-15;0;28,9;25,7;24;84,8;65;
2012-04-16;0;32,5;26,5;22,4;80;52;
2012-04-17;0;31,5;25,7;23;85,2;55;
2012-04-18;0;32,7;26,2;23,1;85,6;55;
2012-04-19;0;34,2;27,6;22,9;77,5;50;
2012-04-20;0;34,7;28,4;24,2;77,3;44;
2012-04-21;0;32,3;27,4;23,7;78,8;57;
2012-04-22;0;30,7;25,8;23,2;81,8;57;
2012-04-23;0;32,9;26,6;22,8;79,8;49;
2012-04-24;0;33,6;27;22,5;76,7;47;
2012-04-25;0;33,1;28,2;24,7;72,2;48;
2012-04-26;0;33,7;27,7;24,9;74,3;50;
2012-04-27;0;29,7;25,2;22,6;83,6;65;
2012-04-28;0;30,7;26,1;23,8;83;64;
2012-04-29;0;26,8;23,7;23,8;88,8;75;
2012-04-30;0;22,7;19;17,1;79;59;
2012-05-01;0;27;19,3;14;70,1;30;
2012-05-02;0;29,4;20,6;13,8;67,8;33;
2012-05-03;0;31,4;22,5;15,7;71,2;36;
2012-05-04;0;33;23,4;16,8;70,9;33;
2012-05-05;0;33,6;23,8;16,4;69,7;27;
2012-05-06;0;33,7;23,6;15,1;69,9;26;
2012-05-07;,2;34,6;24,1;17,2;70,3;26;
2012-05-08;,2;34,3;25,1;18,3;65,7;26;
2012-05-09;0;34;25,6;19,2;71;30;
2012-05-10;0;34,2;27,3;21,9;66,4;43;
2012-05-11;0;34,4;27,5;24,4;72;44;
2012-05-12;0;34,1;27,2;23,1;73,6;43;
2012-05-13;0;26,6;23,9;23,5;88,8;72;
2012-05-14;0;28,3;23,6;20,7;88;66;
2012-05-15;0;28;23,5;21,3;86;66;
2012-05-16;0;30,7;24,8;20,8;78,7;49;
2012-05-17;0;28,3;24,2;22;84,3;62;
2012-05-18;,2;31,1;24,6;19,5;79,4;47;
2012-05-19;0;31,1;24,5;20,3;82,8;53;
2012-05-20;0;31,3;25;21,6;82,5;54;
2012-05-21;0;30;24,5;22,2;82,9;58;
2012-05-22;0;29,4;24,2;21,2;83,4;61;
2012-05-23;0;31,8;25,7;21,4;76,5;50;
2012-05-24;0;27;23;22,1;91,2;72;
2012-05-25;0;28,6;23,9;21,4;83,3;62;
2012-05-26;0;31,1;25,3;21,2;81,5;58;
2012-05-27;0;32,7;27,1;22,8;76,7;52;
2012-05-28;0;33,1;27,3;23,1;74,3;49;
2012-05-29;0;32,1;26,4;22,3;73;45;
2012-05-30;,2;32,9;26,4;21,2;74,5;48;
2012-05-31;,4;33,1;26,2;21;76,9;47;
2012-06-01;0;32,8;26,7;21,8;76,4;49;
2012-06-02;,4;33,1;26,6;21,7;76,1;47;
2012-06-03;0;33;26,7;22;74,8;46;
2012-06-04;0;30,7;25,6;22,7;78,7;60;
2012-06-05;0;22,7;19,7;18,1;89,6;82;
2012-06-06;0;25;19,9;16,7;86,2;72;
2012-06-07;0;22,2;15,4;13,1;82,3;64;
2012-06-08;0;22,5;16;12;77,3;55;
2012-06-09;0;24,9;17,6;13,2;77;54;
2012-06-10;0;29,6;20,9;14,6;82,3;55;
2012-06-11;0;31,4;24,2;18,6;81,8;54;
2012-06-12;0;33;25,1;20,2;81,3;47;
2012-06-13;0;32,3;25,9;20,8;74,1;43;
2012-06-14;,4;32;24,6;19,4;75,2;42;
2012-06-15;0;32,1;24,9;19,8;75,8;40;
2012-06-16;0;32;25,1;20,6;75,3;44;
2012-06-17;0;32,5;25,7;20,2;71,6;43;
2012-06-18;0;32,5;25,9;19,9;64,5;42;
2012-06-19;0;33,4;26,6;22,7;68,4;45;
2012-06-20;0;33,2;26,8;21,7;72,4;46;
2012-06-21;0;33,3;26,3;21,9;79,3;50;
2012-06-22;0;27,2;23,3;21,6;83,3;71;
2012-06-23;0;27,2;20,7;15,5;77,5;51;
2012-06-24;0;29,8;21,9;16,8;80,4;51;
2012-06-25;,4;31,5;23,8;17,9;77,4;46;
2012-06-26;,4;29,8;23,4;16,5;70,2;47;
2012-06-27;,6;32,2;23,4;17,9;77,2;37;
2012-06-28;0;31,9;24,5;19,3;65,2;32;
2012-06-29;0;32,2;25;19,2;61,5;34;
2012-06-30;0;32,5;24,4;17,4;62,5;30;
2012-07-01;0;32,7;24,3;18,2;69,4;39;
2012-07-02;0;33,7;26,1;19,3;64,6;30;
2012-07-03;0;33,1;24,3;17,2;63,9;27;
2012-07-04;0;32;23,8;17;61,6;30;
2012-07-05;0;32,6;24,8;17,3;60,4;36;
2012-07-06;0;33,2;25,2;19,5;68,9;38;
2012-07-07;0;25,3;18,2;16,4;75,4;62;
2012-07-08;0;22,2;16,5;14,1;76,5;58;
2012-07-09;0;28,5;18,5;12,7;81,8;46;
2012-07-10;0;32,2;22,8;13,7;76,2;39;
2012-07-11;0;31,4;24,1;19,1;75,8;46;
2012-07-12;0;30,5;23,5;19;77,3;49;
2012-07-13;0;30,3;22,4;16,3;70,7;41;
2012-07-14;,2;32,7;23;16,2;71,3;31;
2012-07-15;0;33,4;23,9;16,4;65,1;24;
2012-07-16;0;25,9;21,2;16,7;61,5;41;
2012-07-17;,2;20;15,9;13,9;78,4;60;
2012-07-18;,2;25;16,6;9,8;66,1;27;
2012-07-19;0;27,3;16,7;7,7;63,5;26;
2012-07-20;0;30,8;18,2;9,5;68,4;23;
2012-07-21;0;33,4;22,4;13,7;62,4;30;
2012-07-22;0;34,4;25,4;17,8;63,4;34;
2012-07-23;0;35,1;26,6;20,2;65,8;34;
2012-07-24;0;35,6;27,1;20,9;63,8;30;
2012-07-25;0;34,3;26,7;20,9;65,2;36;
2012-07-26;0;35,1;26,5;20,1;67,7;27;
2012-07-27;0;34,3;25,4;18,2;65;36;
2012-07-28;0;34,4;25,7;19,1;68,2;28;
2012-07-29;0;35,5;24,9;16,1;52;20;
2012-07-30;0;30,4;23,2;17,8;70,9;46;
2012-07-31;0;32,1;22,7;14,9;74;40;
2012-08-01;0;34,3;24,4;16,5;66,2;21;
2012-08-02;0;34,4;26,1;18,8;46,5;21;
2012-08-03;0;34,1;25,5;18,1;48,1;21;
