Nome: S.J. DO RIO CLARO
Codigo Estacao: A903
Latitude: -13.45388888
Longitude: -56.67722221
Altitude: 339.59
Situacao: Operante
Data Inicial: 2003-02-24
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2003-02-24;null;null;null;null;null;null;
2003-02-25;null;null;null;null;79,1;57;
2003-02-26;null;31,3;null;20,3;88,3;58;
2003-02-27;14,8;32;25,3;21,3;82,3;55;
2003-02-28;0;33,9;26;20,3;78,5;45;
2003-03-01;23,4;32,6;25;21,7;84,3;50;
2003-03-02;20;32;25,8;21,6;80,2;50;
2003-03-03;19,2;31,4;24,5;21,3;86,8;57;
2003-03-04;4;32,1;25,8;21,5;79,6;49;
2003-03-05;0;32,9;26;21,2;78,4;46;
2003-03-06;0;33,8;26,6;20,7;76,8;42;
2003-03-07;22,6;32,6;24,5;20,3;84,4;49;
2003-03-08;1,2;32,8;25,8;20,9;78,7;41;
2003-03-09;14;31;24,5;21,7;87,5;60;
2003-03-10;0;32,1;25,5;21,7;85,3;56;
2003-03-11;16,6;30,3;25,4;22,3;86;60;
2003-03-12;0;30,8;24,8;21,2;85,1;57;
2003-03-13;8,4;25,6;23,4;21,9;93,1;83;
2003-03-14;5,6;30,8;25,3;22;85,1;60;
2003-03-15;0;32,5;25,5;22;83,7;51;
2003-03-16;17,6;31;25,1;22;87,2;58;
2003-03-17;27,2;29,9;24,4;21,4;86,5;64;
2003-03-18;37,6;27,2;23,6;21,4;91,1;72;
2003-03-19;6,4;29,3;24,5;21,8;87,8;66;
2003-03-20;,2;29,8;24,7;21,3;85,6;60;
2003-03-21;0;25,8;23,8;23;93;81;
2003-03-22;8,8;30,7;24,2;21,2;86,1;60;
2003-03-23;1,4;29,4;23,9;21,1;88,4;66;
2003-03-24;5,2;29,9;24,4;22,3;89,1;60;
