Nome: ALTO ARAGUAIA
Codigo Estacao: A909
Latitude: -17.33944444
Longitude: -53.22444443
Altitude: 753.28
Situacao: Operante
Data Inicial: 2011-09-21
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2011-09-21;null;null;null;null;null;null;
2011-09-22;null;null;null;null;null;null;
2011-09-23;null;null;null;null;null;null;
2011-09-24;null;null;null;null;null;null;
2011-09-25;null;null;null;null;null;null;
2011-09-26;null;null;null;null;45,5;32;
2011-09-27;,4;33,6;24,7;15,6;51,3;18;
2011-09-28;0;33,8;26,8;19;43,7;24;
2011-09-29;0;35;27,3;19,5;44,2;19;
2011-09-30;0;33,9;25,3;20;49,1;23;
2011-10-01;0;32,2;24,6;19,5;56,8;27;
2011-10-02;5,8;25,2;20,6;17,3;80,7;58;
2011-10-03;1;30,9;23,2;17;65,4;28;
2011-10-04;0;32,1;24,6;17,9;53,6;30;
2011-10-05;8,8;26,7;21,4;19,4;84,3;51;
2011-10-06;,2;30,6;22,8;19,4;76,6;37;
2011-10-07;9,2;32;23,1;17,7;73,5;35;
2011-10-08;,2;32,6;24,6;19,2;68,7;35;
2011-10-09;0;34,1;26,5;19,9;60;29;
2011-10-10;1;29,3;22,1;20,6;82,6;39;
2011-10-11;9,8;31;23,8;18,6;76,1;42;
2011-10-12;0;31,9;24,9;21,3;73,6;42;
2011-10-13;,6;32,2;26,2;20,8;65,8;35;
2011-10-14;0;30,4;24;20,7;77,4;50;
2011-10-15;1,2;28,8;23;20,4;83,1;50;
2011-10-16;18;28,2;22,9;20,2;85,5;56;
2011-10-17;3;26,5;22,3;18,8;81,3;60;
2011-10-18;0;29,8;23,5;18,5;65;33;
2011-10-19;0;31,7;24,3;18,5;55,5;31;
2011-10-20;0;31,2;24,2;18,4;64,7;32;
2011-10-21;2,4;30,4;23,7;18,6;62,1;33;
2011-10-22;5,6;23,1;19,8;18;88,4;75;
2011-10-23;0;26,1;21,8;18,7;79,3;60;
2011-10-24;0;31,6;24,6;17,7;66;34;
2011-10-25;0;27;22;20,9;79,4;54;
2011-10-26;18,2;28,6;22,8;18,7;78,9;49;
2011-10-27;0;30,4;24,5;20;76;47;
2011-10-28;,6;33,1;25,6;20,1;70,3;29;
2011-10-29;0;33,8;27;20,3;58,9;31;
2011-10-30;55,2;26,1;20,4;18,5;88,7;60;
2011-10-31;19,4;26,9;21,6;18,2;81,5;57;
2011-11-01;0;28,7;22,4;18,4;72,6;45;
2011-11-02;0;30,8;23;15,4;55,4;30;
2011-11-03;0;30,5;23,7;17,5;61,1;40;
2011-11-04;0;31,1;23,8;19,4;65,2;37;
2011-11-05;1,4;28,6;22,6;18,1;68,8;41;
2011-11-06;0;30;24,3;19,8;63,9;36;
2011-11-07;0;24,5;20,7;19,2;78,9;56;
2011-11-08;,2;27,8;21;15;76,3;48;
2011-11-09;0;28,8;23;19,5;74,8;45;
2011-11-10;0;30,3;23,9;19,2;71,6;38;
2011-11-11;20,8;29,3;23,9;19,4;74,1;44;
2011-11-12;0;31,5;25;19,2;68,1;38;
2011-11-13;0;29;24,7;20;70,9;54;
2011-11-14;0;28,8;22,3;20,1;82,7;54;
2011-11-15;21,8;23,8;20,9;19,5;93,1;80;
2011-11-16;1,2;28,8;22,8;18;71,5;39;
2011-11-17;,2;31,7;24,1;16,2;56,4;28;
2011-11-18;0;33;25,6;18,9;52,1;29;
2011-11-19;0;31,4;24,2;19,3;64;33;
2011-11-20;10,2;31,2;23,7;19,8;75,5;47;
2011-11-21;,4;30,8;24,9;20,5;74,8;48;
2011-11-22;3,2;27,8;22,6;20;82,7;53;
2011-11-23;,8;30,1;23,3;17,2;67,6;30;
2011-11-24;0;31,1;24,2;17,1;55,1;25;
