Nome: SAPEZAL
Codigo Estacao: A911
Latitude: -13.30388888
Longitude: -58.76333333
Altitude: 105
Situacao: Operante
Data Inicial: 2017-10-19
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2017-10-19;null;null;null;null;null;null;
2017-10-20;null;29,3;23,7;null;80,2;59;
2017-10-21;4,4;32,2;24,1;19;79;47;
2017-10-22;0;28,2;23,5;20,5;78;50;
2017-10-23;0;28,9;24,1;20,6;76,6;55;
2017-10-24;0;32,2;24,7;20,3;76;44;
2017-10-25;0;34,1;25,8;21,2;70,5;37;
2017-10-26;,2;35,1;25,7;21,3;71,5;34;
2017-10-27;0;33,8;25,6;21,1;71;33;
2017-10-28;0;32,6;25,6;22;75,3;45;
2017-10-29;,2;32,5;24,8;21,6;77,9;44;
2017-10-30;,8;33,2;25,5;20,8;74,9;41;
2017-10-31;0;33,9;24,6;20,4;78,1;40;
2017-11-01;40;31,2;24,1;20,2;82,6;47;
2017-11-02;8,4;31,7;25,9;22,7;78,8;52;
2017-11-03;1,8;31,9;25,1;22,1;81,7;51;
2017-11-04;,2;32,8;25,1;21,9;79,6;42;
2017-11-05;5,8;32,2;25,5;21,3;76,3;46;
2017-11-06;0;27,9;23,4;21;84;59;
2017-11-07;0;32;25,3;20,2;74,3;41;
2017-11-08;0;32,4;24,8;20,7;80,2;47;
2017-11-09;4,8;30,3;24,1;20,9;84,7;56;
2017-11-10;9,2;31,3;23,9;21,6;87,2;51;
2017-11-11;20,6;25,7;22,7;21;91,1;70;
2017-11-12;,2;30,5;25,3;21,1;77,8;53;
2017-11-13;0;30;25;20,5;80,3;58;
2017-11-14;2,4;30,6;25;22,1;84,4;56;
2017-11-15;0;26,8;23,5;21,8;89,5;70;
2017-11-16;0;30,2;23,8;20,2;86,7;57;
2017-11-17;24,4;28,7;24,2;20,2;86,7;65;
2017-11-18;0;30,4;24,7;20,6;83,3;57;
2017-11-19;0;29,7;23,2;21,8;90;62;
2017-11-20;5,2;29,2;23,7;20,5;84,7;56;
2017-11-21;0;28,3;23;19,9;89,9;65;
2017-11-22;3,8;29,1;22,8;20,8;92,1;66;
2017-11-23;12,8;30,8;24,8;20,4;85,9;58;
2017-11-24;9,4;31;24,7;20,6;83,5;54;
2017-11-25;3,8;29,4;24,5;22,1;87,9;64;
2017-11-26;1;29,8;24;21,8;88,3;61;
2017-11-27;,8;30,7;24,2;19,8;85,9;55;
2017-11-28;0;30,4;23,8;21,3;87,9;61;
2017-11-29;6;30,5;24;20,4;88;58;
2017-11-30;6;30;24,2;20,6;87,1;60;
2017-12-01;1,6;25,6;23;21,4;92,8;82;
2017-12-02;2;26,4;22,8;21,3;92,3;78;
2017-12-03;11,2;30,3;25;21,5;84,5;55;
2017-12-04;10;29,6;24,5;20,9;84,7;50;
2017-12-05;,2;28,4;24,2;21,4;87,7;70;
2017-12-06;1;29,8;23,8;21,2;90;64;
2017-12-07;13;30,6;24,7;21,1;84,4;57;
2017-12-08;7,6;30,7;24,5;21,9;86,3;57;
2017-12-09;,4;29,8;24;21,3;89,5;67;
2017-12-10;,2;27,1;22,5;21,7;93;77;
2017-12-11;15,2;26,9;21,6;19,4;90,8;69;
2017-12-12;7,4;29,1;23,4;18,6;85,3;62;
2017-12-13;0;28,5;23,8;21,4;88,9;69;
2017-12-14;3;29,1;23,9;20,8;86,4;61;
2017-12-15;1,6;28,4;23,6;20,5;90,5;69;
2017-12-16;2,8;29;24,1;21,4;88,8;64;
2017-12-17;2,8;29,7;24,3;20,7;88,2;64;
2017-12-18;34,8;28,5;23,3;19,5;89,5;62;
2017-12-19;,2;28,2;23,5;21;90,2;67;
2017-12-20;0;27,1;22,8;20,1;90,8;68;
2017-12-21;4,2;29,7;23,4;19,8;87,9;61;
2017-12-22;1,4;28,5;22,9;20,8;90,9;68;
2017-12-23;15,6;28,4;23,1;20,6;89,5;65;
2017-12-24;,8;28,6;23;21,3;91;68;
2017-12-25;4;28,6;23;21;91,1;61;
2017-12-26;26;26,2;22,8;21,4;92,7;79;
2017-12-27;1,4;27,7;23,2;20,3;89,5;70;
2017-12-28;,6;30,2;24,4;20,4;85,2;55;
2017-12-29;3,8;29;23,2;20,3;88,8;67;
2017-12-30;null;27,9;null;20,9;86,8;70;
2017-12-31;,8;29,6;24,2;21,2;87,7;64;
2018-01-01;,2;30,2;24,3;21,5;87,5;60;
2018-01-02;,2;30,2;24;20,7;85,7;60;
2018-01-03;63;28,9;22,2;19,4;92;67;
2018-01-04;23,6;28,4;22,7;19,7;90,3;66;
2018-01-05;0;27;23,4;20,4;90,5;74;
