Nome: CAMPO VERDE
Codigo Estacao: A912
Latitude: -15.55888888
Longitude: -55.17944443
Altitude: 747
Situacao: Operante
Data Inicial: 2006-11-20
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2006-11-20;null;null;null;null;null;null;
2006-11-21;null;null;null;null;59,7;38;
2006-11-22;2,4;30;25,2;22;67,3;45;
2006-11-23;0;31,1;24,1;20,1;75,8;39;
2006-11-24;0;31,2;24,7;20,2;74,3;46;
2006-11-25;0;30,8;24,1;21;79,3;48;
2006-11-26;20,6;30,8;24,3;20,8;81,1;50;
2006-11-27;2;29;23,5;20,8;85,5;59;
2006-11-28;10,4;28,9;23,2;20,3;85,4;57;
2006-11-29;3,6;28,5;23,1;20,6;88,1;61;
2006-11-30;,8;28,7;23,6;20,3;84,4;56;
2006-12-01;0;26,8;23,3;21,2;90,1;72;
2006-12-02;4,4;29,2;22,6;20,5;92,1;61;
2006-12-03;1,6;27,5;22,7;20,6;90,3;69;
2006-12-04;2,4;26,2;22,3;21,2;93,7;75;
2006-12-05;48;24,8;22,3;19,8;89;71;
2006-12-06;2,4;28,8;23;20,1;86;55;
2006-12-07;4,8;28,2;23,3;20,4;85,4;57;
2006-12-08;79,2;22;20,2;19,3;97,2;92;
2006-12-09;48,2;25,5;21,1;18,7;91,4;72;
2006-12-10;1,6;28,8;22,5;19,6;86,7;58;
2006-12-11;,6;24,7;21,7;20;91,6;76;
2006-12-12;5,6;27,4;22,3;19,3;89,5;68;
2006-12-13;15,2;27,7;22,8;20,1;89,1;67;
2006-12-14;0;26,5;22,6;20,8;90,2;72;
2006-12-15;3,4;25,7;21,9;20,4;92;75;
2006-12-16;1,4;28,6;22,8;19,6;86,6;59;
2006-12-17;0;29,9;24,3;20,1;81,2;56;
2006-12-18;0;28,5;22,8;21,8;88,2;63;
2006-12-19;6,2;28,8;23,1;20,1;86,1;59;
2006-12-20;0;29,3;23,9;20,7;79,7;50;
2006-12-21;0;30,2;24,3;21,3;78,9;52;
2006-12-22;0;29,4;22,3;20,6;90;55;
2006-12-23;13;29,1;null;20,7;85;60;
2006-12-24;null;30,9;24;18,6;77,5;47;
2006-12-25;null;null;null;null;null;41;
2006-12-26;null;null;null;null;76,7;54;
2006-12-27;7,6;30,1;23,7;20,6;82,3;54;
2006-12-28;4;30,5;23,5;20,9;82,3;46;
2006-12-29;,2;29,9;23,2;20,5;85,6;54;
2006-12-30;14;29,2;23,2;20,2;83,8;53;
2006-12-31;3,8;26,2;22,7;20,8;89,9;74;
2007-01-01;1;27,2;23,3;20,8;86,8;70;
2007-01-02;3,8;26,6;22,5;20,5;87,5;65;
2007-01-03;7,4;29,5;23,7;20,3;83,5;53;
2007-01-04;,6;28,5;23,4;20,3;86,4;64;
2007-01-05;,4;26;21,8;21,2;94,1;75;
2007-01-06;24,4;25,3;21,3;20,3;94,5;78;
2007-01-07;9,4;27,9;22,8;19,2;88;65;
2007-01-08;4,2;28,1;23,1;20,5;84,7;64;
2007-01-09;,2;31,7;23,7;20,7;84;52;
2007-01-10;4;30,6;24,3;19,7;79,2;48;
2007-01-11;0;31;25,3;21,2;75,7;42;
2007-01-12;0;30,5;24,6;20,5;81,1;55;
2007-01-13;0;29,2;24,2;21;85;61;
2007-01-14;,4;25,7;22,8;21,4;91,1;76;
2007-01-15;5,4;26,8;22,3;20,9;92,8;74;
2007-01-16;,2;28,7;23,1;19,9;84,5;56;
2007-01-17;,2;31,1;24,5;20,8;80,1;48;
2007-01-18;0;32,3;25,5;21,6;76,1;46;
2007-01-19;,6;28,9;23,9;21,6;85,8;65;
2007-01-20;2,8;30,2;24;21,9;85,1;54;
2007-01-21;6,6;31,6;23,6;19,5;85,7;49;
2007-01-22;15;31,5;24,5;20,4;79,8;46;
2007-01-23;0;29,1;23,9;20,9;82,8;63;
2007-01-24;,4;29,4;23,6;20,5;84,9;59;
2007-01-25;1,4;29,7;23,6;20,5;85,6;54;
2007-01-26;20,6;27;22,9;19,4;88,3;68;
2007-01-27;0;28;23;20,3;84,7;59;
2007-01-28;0;28,8;23,2;20,5;86,1;62;
2007-01-29;0;28,5;23,1;20,3;88,5;65;
2007-01-30;,8;27,5;22,8;21,2;87,9;60;
2007-01-31;2;30,3;23,4;20,5;82,5;54;
2007-02-01;0;28;22,6;20,6;91,1;70;
2007-02-02;27,8;27,1;22,8;21,4;92,4;70;
2007-02-03;4,8;26,5;22,4;20,9;92,5;72;
