Nome: QUERENCIA
Codigo Estacao: A916
Latitude: -12.60305555
Longitude: -52.1625
Altitude: 355
Situacao: Pane
Data Inicial: 2007-07-17
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2007-07-17;null;null;null;null;null;null;
2007-07-18;null;null;null;null;null;null;
2007-07-19;null;null;null;null;null;null;
2007-07-20;null;null;null;null;null;25;
2007-07-21;0;34,7;25,7;17,7;56,8;27;
2007-07-22;0;33,6;25,7;18,3;65,1;33;
2007-07-23;0;34;25,3;18,6;67,5;30;
2007-07-24;0;31,9;23,9;19;77,4;43;
2007-07-25;0;34,7;24,8;19,6;75,6;31;
2007-07-26;0;30,2;22,8;17,2;61,3;33;
2007-07-27;0;33,8;24;15,1;42,5;26;
2007-07-28;0;34,4;25,8;17,6;49;26;
2007-07-29;0;32;25,3;21,2;56,2;33;
2007-07-30;0;33,2;26,1;19,6;55,8;27;
2007-07-31;0;32,8;25,4;18,5;50,8;26;
2007-08-01;0;32,8;24,2;15,4;46,8;15;
2007-08-02;0;32,5;23,1;12,4;42,4;20;
2007-08-03;0;33,7;24,4;13,1;42,2;18;
2007-08-04;0;34,5;24,6;14;45,7;20;
2007-08-05;0;34,8;26,1;17,7;42,1;19;
2007-08-06;0;34,8;25;15,7;46,8;17;
2007-08-07;0;35,1;25,9;15,3;41,1;17;
2007-08-08;0;34,6;26,2;16,9;38;17;
2007-08-09;0;34,5;25,2;14,6;41,2;16;
2007-08-10;0;33,6;25,5;15,7;40;16;
2007-08-11;0;34,4;25,4;15,1;41,1;20;
2007-08-12;0;33,7;25,4;16,4;38,1;20;
2007-08-13;0;34,1;25,4;16;47;23;
2007-08-14;0;32,9;25,2;17,1;43,7;22;
2007-08-15;0;32,4;24,6;16,4;43,8;22;
2007-08-16;0;32,8;24,5;15,4;37,2;19;
2007-08-17;0;32,8;23,8;12,8;41,8;20;
2007-08-18;0;33,5;25,1;15,1;41,7;20;
2007-08-19;0;34,8;25,1;16;42,5;17;
2007-08-20;0;35,6;25,7;16,4;40,6;17;
