Nome: ALTO TAQUARI
Codigo Estacao: A934
Latitude: -17.8411111
Longitude: -53.28944444
Altitude: 862.42
Situacao: Operante
Data Inicial: 2008-01-28
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2008-01-28;null;null;null;null;null;null;
2008-01-29;null;null;null;null;null;null;
2008-01-30;null;null;null;null;90,8;76;
2008-01-31;3,2;28,9;21,8;18,6;90,2;59;
2008-02-01;19;29,8;23;20,2;87,3;51;
2008-02-02;31,6;29;21,8;18,8;87,7;52;
2008-02-03;46;27,9;22,6;19,7;86,6;57;
2008-02-04;13;28,7;22,6;20;86,1;56;
2008-02-05;30,6;26;20,6;18,9;93,7;72;
2008-02-06;37;27,6;21,7;16,5;84,5;53;
2008-02-07;0;25,7;21,3;18,6;86,5;61;
2008-02-08;6,2;27,1;21,4;18,3;85,6;58;
2008-02-09;3;29,3;21,3;17,7;86,9;51;
2008-02-10;,8;28,3;22,3;19,1;83,3;56;
2008-02-11;3,6;28,2;21,8;18,8;84,3;51;
2008-02-12;2,4;29,3;21,4;17,7;86,6;52;
2008-02-13;28,4;29,2;22,2;18,8;85,3;55;
2008-02-14;,8;27,4;22,1;19,7;87,8;69;
2008-02-15;16,4;27,6;21,5;17,4;85,8;56;
2008-02-16;2,2;26,8;21;18,4;89;58;
2008-02-17;36,6;26,6;21,6;17,8;87,5;62;
2008-02-18;0;28,9;22,9;18,9;80,4;50;
2008-02-19;0;28,4;22,9;18,4;78,9;52;
2008-02-20;,8;28,8;22;18,8;84;52;
2008-02-21;7,2;28,8;22,5;18,1;80,6;49;
2008-02-22;4,4;28,6;22,9;19,7;83,5;54;
2008-02-23;18,4;26,9;21,2;19,3;92,5;65;
2008-02-24;29,6;26,5;21,2;18,9;92;70;
2008-02-25;4,6;28,2;22,4;19,2;86,6;57;
2008-02-26;10;27,3;21,5;19,5;89,1;63;
2008-02-27;,2;28,7;22,4;18,5;85,5;56;
2008-02-28;0;28,2;21,9;19,1;89;60;
2008-02-29;7;26,8;21,7;19,3;90,2;67;
2008-03-01;26,4;26,2;21,9;19,5;88,7;65;
2008-03-02;0;28,4;22,5;18;79,9;48;
2008-03-03;0;29,6;22,2;19,2;84,9;50;
2008-03-04;33,2;27,8;21,9;17,6;86,8;58;
2008-03-05;32,4;26,6;21,3;18,3;87,2;64;
2008-03-06;26,6;28,4;22,2;19,2;86,3;56;
2008-03-07;1,6;24,6;null;19,3;94,1;74;
2008-03-08;null;null;null;null;null;null;
2008-03-09;null;null;null;null;null;null;
2008-03-10;null;null;null;null;85,6;64;
2008-03-11;9,4;27,9;21,6;18,5;85,7;57;
2008-03-12;7,6;28,1;22;18,7;86,4;57;
2008-03-13;1,2;25;21;18,5;90,3;75;
2008-03-14;89,2;20,2;18,9;17,8;97;91;
2008-03-15;22,6;27;21,1;16,8;83,3;50;
2008-03-16;0;27,6;20,8;16,2;81;48;
2008-03-17;,4;27,5;21,4;16,1;77,3;38;
2008-03-18;0;27,3;21;17,5;84,7;58;
2008-03-19;3;27,6;21,4;18,6;86,4;55;
2008-03-20;43;26,3;19,9;18,4;94,5;66;
2008-03-21;28;28,5;21,4;17,5;85,3;51;
2008-03-22;3,4;28;21,6;18,2;87,3;55;
2008-03-23;2,4;29,4;23;18,6;79,3;52;
2008-03-24;0;30,3;23,4;17,7;74,4;36;
2008-03-25;,6;30,1;23,1;18,3;79;48;
2008-03-26;1,6;29,3;22,9;18,9;83,6;56;
2008-03-27;4,4;29,5;23,1;19,9;83,8;53;
2008-03-28;,4;30,9;22,9;18;79,6;38;
2008-03-29;21,4;29,6;24;18;72,7;44;
2008-03-30;0;30,1;24,2;19,7;66,9;39;
2008-03-31;0;30,6;23,8;18,9;69,1;40;
2008-04-01;2;28,9;22,6;19,2;81,1;52;
2008-04-02;23,8;25,5;20,8;18,5;90,3;67;
2008-04-03;,8;22,6;20,5;19,4;92,8;80;
2008-04-04;11,8;24,6;20,4;18,9;92,4;70;
2008-04-05;20,8;26,7;20,8;18,8;89,8;63;
