Nome: PONTES E LACERDA
Codigo Estacao: A937
Latitude: -15.23444444
Longitude: -59.3461111
Altitude: 272.53
Situacao: Pane
Data Inicial: 2008-01-29
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2008-01-29;null;null;null;null;null;null;
2008-01-30;null;null;null;null;null;null;
2008-01-31;null;null;null;null;80,7;56;
2008-02-01;,4;28,7;25;22,8;88;64;
2008-02-02;3;29,1;24,6;23,1;89,6;65;
2008-02-03;9,2;32,9;26,1;22,4;78;36;
2008-02-04;0;33;26,3;20,6;71,3;41;
2008-02-05;0;33,9;26,7;20,6;69,1;34;
2008-02-06;0;33,6;26,8;21,8;74;37;
2008-02-07;0;31,1;25,9;22;79,4;57;
2008-02-08;10,8;29,2;24,7;22;81,9;56;
2008-02-09;2,2;31,6;25,1;21,1;80,7;56;
2008-02-10;0;31,6;25,4;21,9;80,1;55;
2008-02-11;5,8;25,9;23,6;22,7;85,8;69;
2008-02-12;0;30,7;25,1;21,1;76,1;56;
2008-02-13;0;33,1;25,8;20,7;78,9;47;
2008-02-14;33,4;28,7;24,7;22,2;87,8;67;
2008-02-15;,2;32;25,6;21,6;80,8;54;
2008-02-16;0;30,5;25,5;22,6;83,3;60;
2008-02-17;0;32,3;25,8;22,3;80,3;53;
2008-02-18;5,4;31,8;25,8;21,6;80,9;54;
2008-02-19;,6;31,7;26;22,4;79,5;56;
2008-02-20;0;31,2;25,3;22,1;81;56;
2008-02-21;0;31,9;25,9;23;80,9;53;
2008-02-22;1,2;31,7;26;22,4;78,5;50;
2008-02-23;1,8;30,9;25,2;22,4;83,9;57;
2008-02-24;,2;32,2;26;22,5;80,2;52;
2008-02-25;2,6;28,4;25;23,2;87,7;71;
2008-02-26;8;29,8;24;21,9;90;63;
2008-02-27;7,6;30,9;25,4;21,9;83;52;
2008-02-28;,6;31,8;25,4;22,5;84,6;54;
2008-02-29;10,2;29,8;24,6;22,4;88;63;
