Nome: SAO JOSE DO XINGU
Codigo Estacao: A942
Latitude: -10.48416666
Longitude: -52.37249999
Altitude: 300
Situacao: Pane
Data Inicial: 2019-02-18
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2019-02-18;null;null;null;null;null;null;
2019-02-19;null;null;null;null;null;43;
2019-02-20;null;28,1;23,5;21,1;92,8;72;
2019-02-21;16,6;33,3;26,3;20,7;79,7;45;
2019-02-22;0;31,8;25,2;23,4;87,6;57;
2019-02-23;8,6;32;24,8;20,5;84,4;50;
2019-02-24;,4;32,8;26,5;21,9;78,8;51;
2019-02-25;0;29;23,7;22,3;90,8;66;
2019-02-26;20,2;31,2;25,1;21,6;81,8;55;
2019-02-27;2,4;28,3;24,6;22,1;84,7;67;
2019-02-28;5,8;25,5;23,6;20,7;90,3;77;
2019-03-01;2;30,3;24,4;20,8;84;57;
2019-03-02;0;32,4;25,9;22;77,9;49;
2019-03-03;39,8;26,1;23,8;22,5;90,6;77;
2019-03-04;12,2;31,1;25,5;21,7;83,9;57;
2019-03-05;,2;30;25,5;22,3;82,7;58;
2019-03-06;59,4;30,3;24,5;21,2;83,7;56;
2019-03-07;1,8;30,1;25,2;23;86,1;61;
2019-03-08;1,2;32,7;26;22,5;84,4;54;
2019-03-09;0;25,8;23,6;22,4;92,3;78;
2019-03-10;8,8;32;24,7;21,1;85;51;
2019-03-11;4,2;32,5;24,8;20,7;85,3;46;
2019-03-12;5,2;29,8;23,7;22,4;90,4;64;
2019-03-13;5,2;28,4;23,4;20,9;88,8;64;
2019-03-14;0;32,1;25,6;21,9;82,8;54;
2019-03-15;,2;34,2;27,7;22,3;77,5;47;
2019-03-16;0;31,8;25,7;22,7;85;54;
2019-03-17;3;31,2;24,8;21,1;86;59;
2019-03-18;,2;33,3;27;21,6;79,2;53;
2019-03-19;0;32,4;27,2;23,2;83,6;60;
2019-03-20;0;32,7;26,1;22,9;83,8;52;
2019-03-21;9,8;30,7;25,3;22,7;88,7;67;
2019-03-22;,2;29,9;26;22,9;86;63;
2019-03-23;27,6;26,6;23,9;22;94,3;85;
2019-03-24;9,6;30,9;25,4;22,3;89,8;59;
2019-03-25;12,2;30,8;24,9;22,9;91,1;65;
2019-03-26;15,4;30,7;25;22,9;88,6;65;
2019-03-27;,2;31,3;25,8;22,9;86;61;
2019-03-28;0;30,4;25,3;23,4;89,4;64;
2019-03-29;21,6;26,6;24,6;23,2;94;83;
2019-03-30;8,4;30,1;25,1;22,3;90,9;66;
2019-03-31;1,6;33,2;25,7;21,8;86;53;
2019-04-01;3,8;33;26,6;21,9;81,4;52;
2019-04-02;,2;33,6;26,9;23,9;83,7;52;
2019-04-03;18,6;31,8;26,7;23,7;84;56;
2019-04-04;10,4;31,3;25,7;22,8;85,5;59;
2019-04-05;22,2;30,8;25,5;24,1;88,8;63;
2019-04-06;2,2;30;25;21,3;86;61;
2019-04-07;0;31,6;25,9;22,9;87;57;
2019-04-08;12;30,5;25,2;21,7;86,3;58;
2019-04-09;0;30,2;25,5;24;89,7;64;
2019-04-10;0;28,4;24,6;23,3;91;70;
2019-04-11;2,8;29,5;24,7;22,2;87;62;
2019-04-12;0;32;26,5;22,1;81,5;53;
2019-04-13;30,2;29,2;25,5;23,3;87,6;61;
2019-04-14;,2;29,9;25;22,3;88,2;62;
2019-04-15;2,2;31,2;25,3;22,7;88,8;59;
2019-04-16;1,6;31,7;26;22,6;84,2;56;
2019-04-17;,2;32;26,2;22,4;84;58;
2019-04-18;0;32,7;26,6;22,1;83;51;
2019-04-19;0;32,8;26,4;23,1;84,2;53;
2019-04-20;0;32,4;26,6;22,8;82,1;51;
2019-04-21;5,2;28,8;24,6;21,1;88,6;69;
2019-04-22;1,4;32,3;26,1;21,1;84,3;51;
2019-04-23;0;29,3;25,4;22,7;88,5;66;
2019-04-24;7,2;32;25,8;21,1;85,4;57;
2019-04-25;0;32,2;26,7;22,1;83,1;59;
2019-04-26;0;32,9;27,4;23,8;80;54;
2019-04-27;0;33,2;27,4;22,6;77,4;48;
2019-04-28;0;33,7;27,1;22;77,8;47;
2019-04-29;0;32,5;26,6;22,4;81,6;52;
2019-04-30;0;33;26,4;22,5;84,7;53;
2019-05-01;,2;30,7;25;23,4;90,6;63;
2019-05-02;1,8;32,2;26,2;21,5;83,9;57;
2019-05-03;0;32,6;26,7;22,8;83,4;57;
2019-05-04;15,6;31,7;25,8;22,1;85,5;59;
2019-05-05;0;33;26,9;22,4;82,1;53;
2019-05-06;0;33,5;27,5;22,2;77,9;49;
2019-05-07;2;33;27,5;22,7;77,9;51;
2019-05-08;0;33,7;27,6;22,4;77,5;48;
2019-05-09;0;33,5;27,2;21,9;78,4;49;
2019-05-10;0;33,8;27,5;22,4;76,9;49;
2019-05-11;0;34,4;27,7;23,1;76,7;46;
2019-05-12;0;33,9;27,7;22,7;75,7;47;
2019-05-13;0;32,7;27,2;22;79,4;53;
2019-05-14;0;33,2;26,9;22,9;78,9;50;
2019-05-15;,2;30,7;24,7;22;87;61;
2019-05-16;1,2;25,3;23,3;22;90,3;76;
2019-05-17;1;30,5;25,2;22,2;83,6;55;
2019-05-18;,2;31,9;25,8;20,7;80,9;53;
2019-05-19;0;32,7;26,7;22,3;75,8;50;
2019-05-20;0;33;26,6;21,1;73,3;47;
2019-05-21;0;33,5;26,9;22,8;78,3;50;
2019-05-22;0;33,9;27,4;22,5;76,8;48;
2019-05-23;0;34,2;27,1;21,3;76,3;46;
2019-05-24;0;30,6;25,5;23,3;85,4;60;
2019-05-25;,4;31,4;26,2;22,5;81,9;54;
2019-05-26;0;33,2;26,7;21,6;78,1;49;
2019-05-27;0;34,1;27,3;22,3;74,4;45;
2019-05-28;,2;34,2;27,3;22,1;73,8;39;
2019-05-29;0;34,1;26,7;20,4;68,7;34;
2019-05-30;0;34;26,1;19,1;69,8;38;
2019-05-31;0;33,7;26,3;20,2;71,9;43;
2019-06-01;0;34,6;26,9;20,3;71;38;
2019-06-02;0;34,8;27,3;21,1;69,7;35;
2019-06-03;0;34,7;27,4;20,7;68,4;37;
2019-06-04;0;34,6;26,8;20,2;67,8;39;
2019-06-05;0;34,5;26,6;21,3;69;38;
2019-06-06;0;33,2;25,8;20;71,8;39;
2019-06-07;0;32,9;25,1;18,3;68,8;35;
2019-06-08;0;32;25;18,1;70,8;43;
2019-06-09;0;33,7;25,7;19,2;68,2;35;
2019-06-10;0;34,2;25,8;18;66,7;31;
2019-06-11;0;33,8;25,5;18,5;66,9;38;
2019-06-12;0;32,7;25,5;19,9;66,8;38;
2019-06-13;0;33,5;25,4;18,7;68,6;41;
2019-06-14;0;34,1;25,9;18,5;67,4;37;
2019-06-15;0;33,7;25,9;18,5;66,8;37;
2019-06-16;0;33,3;24,8;17,2;63,2;29;
2019-06-17;0;32,8;24,4;16,9;62,3;32;
2019-06-18;0;33,8;25;16,6;63,6;35;
2019-06-19;0;33,8;26,1;18,4;65,8;40;
2019-06-20;0;34,6;26,5;19,8;65,6;33;
2019-06-21;0;34,4;25,7;18,1;61,8;30;
2019-06-22;0;33,6;25,7;18,1;60;34;
2019-06-23;0;33,5;25,1;17,3;60,9;29;
2019-06-24;0;33,2;24,6;16,3;57,7;26;
2019-06-25;0;33,7;24,4;14,6;59,6;24;
2019-06-26;0;34,2;25,1;16,9;62;31;
2019-06-27;0;34,6;25,6;17,4;59,3;25;
2019-06-28;0;34,6;25,3;16,5;61,3;30;
2019-06-29;0;34,3;25,4;16,9;61,2;30;
2019-06-30;0;34;25,3;17,4;61;32;
2019-07-01;0;34,1;25,4;17,4;61;30;
2019-07-02;0;33,8;24,7;16,6;62,1;28;
2019-07-03;0;33,9;25;16,8;63,3;32;
2019-07-04;0;34,6;26,6;18,4;63,3;35;
2019-07-05;0;35,5;26,9;19,6;66,8;29;
2019-07-06;0;32,6;25,9;19,7;69,5;45;
2019-07-07;0;32,6;24,3;17;56,8;27;
2019-07-08;0;33,7;24,1;16,2;53,6;25;
2019-07-09;0;32,7;24,9;18,4;65;40;
2019-07-10;0;33;24,6;17,3;63,3;28;
2019-07-11;0;33,5;24,1;15,3;57,3;28;
2019-07-12;0;34,1;26,1;19;54,7;31;
2019-07-13;0;35,6;26,1;17,6;57,3;27;
2019-07-14;0;35,7;26;16,2;52;23;
2019-07-15;0;35,5;26,2;17,4;51,1;25;
2019-07-16;0;35,6;26,2;17,1;50,3;21;
2019-07-17;0;35,5;25,4;14,6;48,8;20;
2019-07-18;0;35,9;25,6;15,3;50,3;20;
2019-07-19;0;34;25,3;16,7;57,2;30;
