Nome: SERRA NOVA DOURADA
Codigo Estacao: A943
Latitude: -11.98777777
Longitude: -51.4261111
Altitude: 441
Situacao: Pane
Data Inicial: 2019-03-28
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2019-03-28;null;null;null;null;null;null;
2019-03-29;null;null;null;null;null;null;
2019-03-30;null;null;null;null;null;null;
2019-03-31;null;null;null;null;null;null;
2019-04-01;null;null;null;null;null;null;
2019-04-02;null;null;null;null;null;null;
2019-04-03;null;null;null;null;null;null;
2019-04-04;null;null;null;null;null;null;
2019-04-05;null;29,6;null;null;null;null;
2019-04-06;3,2;28,2;24,2;21,8;null;null;
2019-04-07;0;30,6;25,8;23;null;60;
2019-04-08;,4;31,2;25,2;21,6;86,7;54;
2019-04-09;0;30,9;25,5;23,4;null;null;
2019-04-10;3,6;27;22,8;23,4;null;95;
2019-04-11;62,8;29,1;23,4;20,4;87,7;65;
2019-04-12;0;31,6;26,6;22,5;null;64;
2019-04-13;0;29,9;25,5;23,4;null;null;
2019-04-14;2,4;30,1;25,1;21,8;null;null;
2019-04-15;0;29,8;25;22,8;null;null;
2019-04-16;3;30,7;25,3;21,9;null;null;
2019-04-17;1,4;31,3;25,6;21,7;null;null;
2019-04-18;0;32,4;27,2;22,1;null;null;
2019-04-19;0;32,7;26,9;23,4;null;null;
2019-04-20;,2;32,8;26,9;22,4;null;null;
2019-04-21;28,4;30,1;24,6;20;null;null;
2019-04-22;,2;31,2;26,8;22,4;null;null;
2019-04-23;0;28,3;24,3;22,3;null;null;
2019-04-24;7,4;26,6;23,1;21,1;null;null;
2019-04-25;2,2;30,8;25,9;21;null;null;
2019-04-26;0;31,1;26,8;23,1;null;null;
2019-04-27;0;31,6;27,2;23,5;null;null;
2019-04-28;0;32,2;28;24,9;null;null;
2019-04-29;0;33;28,6;24,2;null;null;
2019-04-30;0;32,1;27,4;25,1;null;null;
2019-05-01;16,4;30,7;25,6;22,8;null;null;
2019-05-02;,2;31,4;25,5;21,8;null;null;
2019-05-03;0;29,8;25,4;24;null;null;
2019-05-04;2,2;31;25,4;21,8;null;null;
2019-05-05;0;31,9;26,9;23,1;null;null;
2019-05-06;0;32,2;27,7;24,8;null;null;
2019-05-07;0;32,1;27,5;23;null;null;
2019-05-08;0;33;28;24,5;null;null;
2019-05-09;0;32,2;27,5;23;null;null;
2019-05-10;0;32,3;28;24;null;null;
2019-05-11;0;32,8;28,2;23,9;null;null;
2019-05-12;0;32,6;27,9;23,3;null;null;
2019-05-13;0;32,6;27,6;22,7;null;null;
2019-05-14;0;32,1;26,9;22,1;null;null;
2019-05-15;0;31,1;25,3;21,6;null;null;
2019-05-16;,2;26,8;22,8;20,2;null;null;
2019-05-17;,2;29,2;24;20,5;null;null;
2019-05-18;0;30,1;24,8;20,9;null;null;
2019-05-19;0;31,3;25,9;21,8;null;null;
2019-05-20;0;31,7;26,4;22;null;null;
2019-05-21;0;32,1;27;21,8;null;null;
2019-05-22;0;32,6;27,2;23;null;null;
2019-05-23;0;32,6;28;23,4;null;null;
2019-05-24;0;31,5;26,4;23,9;null;null;
2019-05-25;0;30,9;25,7;21,5;null;null;
2019-05-26;0;32,6;27;22,6;null;null;
2019-05-27;0;32,8;27,7;24,1;null;null;
2019-05-28;0;32;27,4;24,3;null;null;
2019-05-29;0;32,3;27,1;22,5;null;null;
2019-05-30;0;32,1;27,9;24,5;null;null;
2019-05-31;0;32,3;28,2;24,5;null;null;
2019-06-01;0;32,4;28;22,7;null;null;
2019-06-02;0;32,7;28,2;23,6;null;null;
2019-06-03;0;33,4;28;23,6;null;null;
2019-06-04;0;31,7;26;21,6;null;null;
2019-06-05;0;31,7;25,5;21;null;null;
2019-06-06;7,8;30,4;25,2;20,8;null;null;
2019-06-07;0;29,9;24,8;21,1;null;null;
2019-06-08;0;30,7;25;19,8;null;null;
2019-06-09;0;31,5;26,3;20,2;null;null;
2019-06-10;0;31;26,2;22,9;null;null;
2019-06-11;0;30,9;25,9;21,3;null;null;
2019-06-12;0;31,9;26;21,8;null;null;
2019-06-13;0;31,2;26;21,3;null;null;
2019-06-14;0;31,5;26,1;22;null;null;
2019-06-15;0;31;25,6;21,9;null;null;
2019-06-16;0;31,1;25,3;21,3;null;null;
2019-06-17;0;30,9;25,2;19,6;null;null;
2019-06-18;0;31,3;26,3;21,4;null;null;
2019-06-19;0;31,7;26,8;22,5;null;null;
2019-06-20;0;32,8;27;22;null;null;
2019-06-21;0;32,3;26,5;21,3;null;null;
2019-06-22;0;31,1;25,9;21,7;null;null;
2019-06-23;0;30,7;25,1;20,4;null;null;
2019-06-24;0;31,6;25,7;22;null;null;
2019-06-25;0;32;27,4;23,1;null;null;
2019-06-26;0;32,6;26,9;22,5;null;null;
2019-06-27;0;33,2;26,9;21,3;null;null;
2019-06-28;0;32,1;25,9;20,6;null;null;
2019-06-29;0;31,5;26,4;22,1;null;null;
2019-06-30;0;31,7;25,9;22;null;null;
2019-07-01;0;31,5;26,7;22,4;null;null;
2019-07-02;0;32,1;26,8;20,6;null;null;
2019-07-03;0;32;27,1;18,5;null;null;
2019-07-04;0;33,3;27,8;22,9;null;null;
2019-07-05;0;34,6;28,7;22,8;null;null;
2019-07-06;0;30,1;25;21,1;null;null;
2019-07-07;0;29,4;22,2;16,4;null;null;
2019-07-08;null;null;null;null;null;null;
2019-07-09;null;null;null;null;null;null;
2019-07-10;null;null;null;null;null;null;
2019-07-11;null;null;null;null;null;null;
2019-07-12;null;null;null;null;null;null;
2019-07-13;null;null;null;null;null;null;
2019-07-14;null;null;null;null;null;null;
2019-07-15;null;null;null;null;null;null;
2019-07-16;null;null;null;null;null;null;
2019-07-17;null;null;null;null;null;null;
2019-07-18;null;null;null;null;null;null;
2019-07-19;null;null;null;null;null;null;
2019-07-20;null;null;null;null;null;null;
2019-07-21;null;null;null;null;null;null;
2019-07-22;null;null;null;null;null;null;
2019-07-23;null;null;null;null;null;null;
2019-07-24;null;null;null;null;null;null;
2019-07-25;null;null;null;null;null;null;
2019-07-26;null;null;null;null;null;null;
2019-07-27;null;null;null;null;null;null;
2019-07-28;null;null;null;null;null;null;
2019-07-29;null;null;null;null;null;null;
2019-07-30;null;null;null;null;null;null;
2019-07-31;null;null;null;null;null;null;
2019-08-01;null;null;null;null;null;null;
2019-08-02;null;null;null;null;null;null;
2019-08-03;null;null;null;null;null;null;
2019-08-04;null;null;null;null;null;null;
2019-08-05;null;null;null;null;null;null;
2019-08-06;null;null;null;null;null;null;
2019-08-07;null;null;null;null;null;null;
2019-08-08;null;null;null;null;null;null;
2019-08-09;null;null;null;null;null;null;
2019-08-10;null;null;null;null;null;null;
2019-08-11;null;null;null;null;null;null;
2019-08-12;null;null;null;null;null;null;
2019-08-13;null;null;null;null;null;null;
2019-08-14;null;null;null;null;null;null;
2019-08-15;null;null;null;null;null;null;
2019-08-16;null;null;null;null;null;null;
2019-08-17;null;null;null;null;null;null;
2019-08-18;null;null;null;null;null;null;
2019-08-19;null;null;null;null;null;null;
2019-08-20;null;null;null;null;null;null;
2019-08-21;null;null;null;null;null;null;
2019-08-22;null;null;null;null;null;null;
2019-08-23;null;null;null;null;null;null;
2019-08-24;null;null;null;null;null;null;
2019-08-25;null;null;null;null;null;null;
2019-08-26;null;null;null;null;null;null;
2019-08-27;null;null;null;null;null;null;
2019-08-28;null;null;null;null;null;null;
2019-08-29;null;null;null;null;null;null;
2019-08-30;null;null;null;null;null;null;
2019-08-31;null;null;null;null;null;null;
2019-09-01;null;null;null;null;null;null;
2019-09-02;null;null;null;null;null;null;
2019-09-03;null;null;null;null;null;null;
2019-09-04;null;null;null;null;null;null;
2019-09-05;null;null;null;null;null;null;
2019-09-06;null;null;null;null;null;null;
2019-09-07;null;null;null;null;null;null;
2019-09-08;null;null;null;null;null;null;
2019-09-09;null;null;null;null;null;null;
2019-09-10;null;null;null;null;null;null;
2019-09-11;null;null;null;null;null;null;
2019-09-12;null;null;null;null;null;null;
2019-09-13;null;null;null;null;null;null;
2019-09-14;null;null;null;null;null;null;
2019-09-15;null;null;null;null;null;null;
2019-09-16;null;null;null;null;null;null;
2019-09-17;null;null;null;null;null;null;
2019-09-18;null;null;null;null;null;null;
2019-09-19;null;null;null;null;null;null;
2019-09-20;null;null;null;null;null;null;
2019-09-21;null;null;null;null;null;null;
2019-09-22;null;null;null;null;null;null;
2019-09-23;null;null;null;null;null;null;
2019-09-24;null;null;null;null;null;null;
2019-09-25;null;null;null;null;null;null;
2019-09-26;null;null;null;null;null;null;
2019-09-27;null;null;null;null;null;null;
2019-09-28;null;null;null;null;null;null;
2019-09-29;null;null;null;null;null;null;
2019-09-30;null;null;null;null;null;null;
2019-10-01;null;null;null;null;null;null;
2019-10-02;null;null;null;null;null;null;
2019-10-03;null;null;null;null;null;null;
2019-10-04;null;null;null;null;null;null;
2019-10-05;null;null;null;null;null;null;
2019-10-06;null;null;null;null;null;null;
2019-10-07;null;null;null;null;null;null;
2019-10-08;null;null;null;null;null;null;
2019-10-09;null;null;null;null;null;null;
2019-10-10;null;null;null;null;null;null;
2019-10-11;null;null;null;null;null;null;
2019-10-12;null;null;null;null;null;null;
2019-10-13;null;null;null;null;null;null;
2019-10-14;null;null;null;null;null;null;
2019-10-15;null;null;null;null;null;null;
2019-10-16;null;null;null;null;null;null;
2019-10-17;null;null;null;null;null;null;
2019-10-18;null;null;null;null;null;null;
2019-10-19;null;null;null;null;null;null;
2019-10-20;null;null;null;null;null;null;
2019-10-21;null;null;null;null;null;null;
2019-10-22;null;null;null;null;null;null;
2019-10-23;null;null;null;null;null;null;
2019-10-24;null;null;null;null;null;null;
2019-10-25;null;null;null;null;null;null;
2019-10-26;null;null;null;null;null;null;
2019-10-27;null;null;null;null;null;null;
2019-10-28;null;null;null;null;null;null;
2019-10-29;null;null;null;null;null;null;
2019-10-30;null;null;null;null;null;null;
2019-10-31;null;null;null;null;null;null;
2019-11-01;null;null;null;null;null;null;
2019-11-02;null;null;null;null;null;null;
2019-11-03;null;null;null;null;null;null;
2019-11-04;null;null;null;null;null;null;
2019-11-05;null;null;null;null;null;null;
2019-11-06;null;null;null;null;null;null;
2019-11-07;null;null;null;null;null;null;
2019-11-08;null;null;null;null;null;null;
2019-11-09;null;null;null;null;null;null;
2019-11-10;null;null;null;null;null;null;
2019-11-11;null;null;null;null;null;null;
2019-11-12;null;null;null;null;null;null;
2019-11-13;null;null;null;null;null;null;
2019-11-14;null;null;null;null;null;null;
2019-11-15;null;null;null;null;null;null;
2019-11-16;null;null;null;null;null;null;
2019-11-17;null;null;null;null;null;null;
2019-11-18;null;null;null;null;null;null;
2019-11-19;null;null;null;null;null;null;
2019-11-20;null;null;null;null;null;null;
2019-11-21;null;null;null;null;null;null;
2019-11-22;null;null;null;null;null;null;
2019-11-23;null;null;null;null;null;null;
2019-11-24;null;null;null;null;null;null;
2019-11-25;null;null;null;null;null;null;
2019-11-26;null;null;null;null;null;null;
2019-11-27;null;null;null;null;null;null;
2019-11-28;null;null;null;null;null;null;
2019-11-29;null;null;null;null;null;null;
2019-11-30;null;null;null;null;null;null;
2019-12-01;null;null;null;null;null;null;
2019-12-02;null;null;null;null;null;null;
2019-12-03;null;null;null;null;null;null;
2019-12-04;null;null;null;null;null;null;
2019-12-05;null;null;null;null;null;null;
2019-12-06;null;null;null;null;null;null;
2019-12-07;null;null;null;null;null;null;
2019-12-08;null;null;null;null;null;null;
2019-12-09;null;null;null;null;null;null;
2019-12-10;null;null;null;null;null;null;
2019-12-11;null;null;null;null;null;null;
2019-12-12;null;null;null;null;null;null;
2019-12-13;null;null;null;null;null;null;
2019-12-14;null;null;null;null;null;null;
2019-12-15;null;null;null;null;null;null;
2019-12-16;null;null;null;null;null;null;
2019-12-17;null;30,2;24,9;22,9;null;null;
2019-12-18;6,6;31,8;25;20,2;null;null;
2019-12-19;0;30,7;25,2;22,7;null;null;
2019-12-20;38,6;31,6;25,4;21;null;null;
2019-12-21;0;33,2;27,5;23,2;null;null;
2019-12-22;0;30,4;23,9;21,7;null;null;
2019-12-23;11,8;30;25,1;20,5;null;null;
2019-12-24;0;32,2;27,1;23,7;null;null;
2019-12-25;,2;31,4;25,4;22,3;null;null;
2019-12-26;0;29;24,1;20,5;null;null;
2019-12-27;0;33,6;27,2;22,7;null;null;
2019-12-28;0;30,6;25,3;22,1;null;null;
2019-12-29;3,6;31,7;24,2;20,2;null;null;
2019-12-30;1,8;28,6;24,6;22,4;null;null;
2019-12-31;0;30,5;25,2;21,2;null;null;
2020-01-01;0;29,6;24,5;21,7;null;null;
2020-01-02;2;28,1;24;21,8;null;null;
2020-01-03;15,2;25,1;23,6;21,9;null;null;
2020-01-04;36,6;25,6;23,2;21,3;null;null;
2020-01-05;4,8;27,2;23,6;22,4;null;null;
2020-01-06;65,4;28;23,5;21,2;null;null;
2020-01-07;1;28,9;24,4;21,9;null;null;
2020-01-08;0;29;24,7;21,8;null;null;
2020-01-09;14,6;30,2;24,9;21,5;null;null;
2020-01-10;,4;32,5;26,7;23;null;null;
2020-01-11;0;28,5;25;22,9;null;null;
2020-01-12;1,8;32,1;25,8;20,5;null;null;
2020-01-13;7,8;27,2;23,3;20,2;null;null;
2020-01-14;5,8;33,4;26,4;20,2;null;null;
2020-01-15;0;33,5;27,4;23,6;null;null;
2020-01-16;2,4;30,8;26,4;23,8;null;null;
2020-01-17;0;29,2;25,5;22,2;null;null;
2020-01-18;0;32,5;27,8;23;null;null;
2020-01-19;0;31,3;26,7;23,9;null;null;
2020-01-20;0;31,2;26,1;21,6;null;null;
2020-01-21;0;31,5;26,4;22,8;null;null;
2020-01-22;0;28,9;24,1;22;null;null;
2020-01-23;19,4;28,5;23,5;21,9;null;null;
2020-01-24;23,6;26,8;23,3;21,7;null;null;
2020-01-25;22,8;29,1;23,7;21,5;null;null;
2020-01-26;18,8;29,6;25,1;21,8;null;null;
2020-01-27;,2;30;24,2;22,6;null;null;
2020-01-28;28,6;28,4;23,7;21,2;null;null;
2020-01-29;0;26,8;23,7;22,6;null;null;
2020-01-30;8,6;30,7;25,3;21;null;null;
2020-01-31;0;31,5;25,3;22,5;null;null;
2020-02-01;,4;33,1;27,8;22,8;null;null;
2020-02-02;0;32,2;27,1;22,8;null;null;
2020-02-03;0;30;26,1;22,6;null;null;
2020-02-04;0;29,7;24,5;22;null;null;
2020-02-05;27,2;29,6;24,4;21,3;null;null;
2020-02-06;29,8;28,4;24;22;null;null;
2020-02-07;52,2;28,2;23,6;21,7;null;null;
2020-02-08;3,2;26,8;23,1;21,6;null;null;
2020-02-09;67,8;27,1;22,5;20,5;null;null;
2020-02-10;1;29,6;24,3;21,1;null;null;
2020-02-11;0;33;27,5;23,4;null;null;
2020-02-12;,2;26,2;23,5;21,7;null;null;
2020-02-13;12,8;30,5;24,6;20,5;null;null;
2020-02-14;9,4;32,8;27,5;23,1;null;null;
2020-02-15;20,4;31,9;27,2;22,2;null;null;
2020-02-16;,4;31,2;25,6;22,5;null;null;
2020-02-17;0;30,7;26,2;23;null;null;
2020-02-18;7,2;30,6;25,5;22,7;null;null;
2020-02-19;,4;31,5;26,4;22,4;null;null;
2020-02-20;31,4;27,7;23,8;21,1;null;null;
2020-02-21;3,8;29;25,2;22,1;null;null;
2020-02-22;1;30,6;25,2;21,5;null;null;
2020-02-23;0;31,5;26,4;22,8;null;null;
2020-02-24;75,8;30,5;24,8;21,2;null;null;
2020-02-25;0;31,3;25,8;23,5;null;null;
2020-02-26;0;30,4;24,7;22,1;null;null;
2020-02-27;,6;32,1;26,6;22,9;null;null;
2020-02-28;0;29,5;25;22,9;null;null;
2020-02-29;7,8;28,2;24,9;23;null;null;
2020-03-01;5,8;31;25,2;21,8;null;null;
2020-03-02;2;29,1;25,4;23,2;null;null;
2020-03-03;13;31,2;25,4;22,6;null;null;
2020-03-04;2,4;30,4;25,1;22,4;null;null;
2020-03-05;0;30,6;25,1;22,4;null;null;
2020-03-06;3,2;28,8;24,3;22,4;null;null;
2020-03-07;3,6;31,2;25,2;22,6;null;null;
2020-03-08;10;29,1;24;22,7;null;null;
2020-03-09;54,4;30,4;24,4;22,1;null;null;
2020-03-10;3,2;30,3;25,6;23,5;null;null;
2020-03-11;3,4;29,1;25,3;23,3;null;null;
2020-03-12;8,4;28,1;23,8;22;null;null;
2020-03-13;1,8;30,4;25,3;22,3;null;null;
2020-03-14;6,2;30,8;25,5;20,7;null;null;
2020-03-15;,2;28,8;23,9;22,9;null;null;
2020-03-16;20,2;30,6;24,4;21;null;null;
2020-03-17;1,4;30,8;26,1;22,5;null;null;
2020-03-18;0;32,3;27,6;24,8;null;null;
2020-03-19;1,6;31,8;25,8;21,8;null;null;
2020-03-20;8,6;29,4;24,7;22,3;null;null;
2020-03-21;0;28,5;24,2;21,9;null;null;
2020-03-22;1,4;30;25,1;22,3;null;null;
2020-03-23;0;30,9;25,7;23,6;null;null;
2020-03-24;4,2;30,4;25;22,7;null;null;
2020-03-25;25,8;28,6;23,6;21,1;null;null;
2020-03-26;8,4;29,6;25,2;21,3;null;null;
2020-03-27;0;31,2;25,7;22,5;null;null;
2020-03-28;7,2;26,2;23,5;21,5;null;null;
2020-03-29;1;32,3;25,8;21,7;null;null;
2020-03-30;0;32,7;27,5;23,5;null;null;
2020-03-31;null;33,1;28;24,2;null;null;
2020-04-01;0;33,6;28,4;24,4;null;null;
2020-04-02;3,4;32,7;27,8;21,8;null;null;
2020-04-03;,2;33,3;28,5;24,4;null;null;
2020-04-04;0;33,7;28,6;22,9;null;null;
2020-04-05;0;33,7;29,4;26,1;null;null;
2020-04-06;0;33,8;29,6;26,2;null;null;
2020-04-07;,2;32,2;26,1;22,6;null;null;
2020-04-08;0;31,6;25,8;21,9;null;null;
2020-04-09;0;32,8;25,7;23,2;null;null;
2020-04-10;23,2;32,9;25,4;21,8;null;null;
2020-04-11;0;31,7;25,3;22,7;null;null;
2020-04-12;116,4;29,8;24,6;21,6;null;null;
2020-04-13;,4;29,7;25,5;22,5;null;null;
2020-04-14;7,6;29,2;25,3;21,9;null;null;
2020-04-15;28,6;26,6;22;19,9;null;null;
2020-04-16;11,8;28,1;23,5;21,4;null;null;
2020-04-17;,2;30;24,6;21,6;null;null;
2020-04-18;18;25,7;22,6;20,3;null;null;
2020-04-19;8,2;29,5;24,4;20,3;null;null;
2020-04-20;0;25,6;23,2;22,8;null;null;
2020-04-21;5,4;29,5;23,8;21;null;null;
2020-04-22;,2;30,1;25;21,4;null;null;
2020-04-23;0;31,5;24,6;21,9;null;null;
2020-04-24;67;27,5;23,9;21,3;null;null;
2020-04-25;,2;30;25,7;22,8;null;null;
2020-04-26;0;30,6;26,2;23,3;null;null;
2020-04-27;0;30,4;25,8;21,5;null;null;
2020-04-28;0;30,8;25,7;22,7;null;null;
2020-04-29;0;30,3;25,6;21,9;null;null;
2020-04-30;0;30,8;26,1;22,3;null;null;
2020-05-01;0;31,1;26,3;22,3;null;null;
2020-05-02;0;31,2;26,3;22,2;null;null;
2020-05-03;0;31;26,4;21,9;null;null;
2020-05-04;0;31,8;26,4;22,3;null;null;
2020-05-05;0;31,2;26,9;24,3;null;null;
2020-05-06;0;30,3;26,6;24;null;null;
2020-05-07;72,8;26,4;23,4;20,2;null;null;
2020-05-08;0;28,1;24,2;21,3;null;null;
2020-05-09;0;29,6;24,8;21,8;null;null;
2020-05-10;5,2;29;24,5;21,6;null;null;
2020-05-11;0;29,4;24,9;21,7;null;null;
2020-05-12;0;29,7;25;21,6;null;null;
2020-05-13;0;30,9;25,7;21,8;null;null;
2020-05-14;0;32;26,4;23,1;null;null;
2020-05-15;0;30,6;25;22,4;null;null;
2020-05-16;0;30,4;25,5;22,4;null;null;
2020-05-17;0;31,5;26;22,8;null;null;
2020-05-18;0;27,4;23,6;22,2;null;null;
2020-05-19;24,8;27,6;23,6;21,5;null;null;
2020-05-20;7,2;29,8;25,1;21,9;null;null;
2020-05-21;0;29,4;25,3;22,4;null;null;
2020-05-22;0;30,4;25,4;22,4;null;null;
2020-05-23;0;30,9;26,5;22,9;null;null;
2020-05-24;0;29;23,4;18,3;null;null;
2020-05-25;0;29,5;23,6;18,7;null;null;
2020-05-26;0;28,5;24;20,7;null;null;
2020-05-27;0;28,9;23,2;18,5;null;null;
2020-05-28;0;29,6;24,1;19,5;null;null;
2020-05-29;0;29,9;24,5;19,9;null;null;
2020-05-30;0;29;24,1;19,9;null;null;
2020-05-31;0;29,4;23,9;18,9;null;null;
2020-06-01;0;30,1;24,5;19,4;null;null;
2020-06-02;0;30,8;24,9;19,6;null;null;
2020-06-03;0;30,8;25,5;21,3;null;null;
2020-06-04;0;31,3;26,1;22,7;null;null;
2020-06-05;0;31,6;26,6;22,7;null;null;
2020-06-06;0;31,5;26,4;22,8;null;null;
2020-06-07;0;31,2;26,4;22,8;null;null;
2020-06-08;0;31,2;26,5;22,6;null;null;
2020-06-09;0;31,2;26,1;21,9;null;null;
2020-06-10;0;31,8;26;21,6;null;null;
2020-06-11;0;32,3;25,9;20,8;null;null;
2020-06-12;0;31,8;25,9;21,4;null;null;
2020-06-13;0;32,4;26,4;21,3;null;null;
2020-06-14;0;31,7;26,2;21,3;null;null;
2020-06-15;0;31,2;25,2;20,9;null;null;
2020-06-16;0;30,1;24,5;20,2;null;null;
2020-06-17;0;30,4;24,1;19,9;null;null;
2020-06-18;0;30,7;24,4;20,5;null;null;
2020-06-19;0;30,6;24,5;20,7;null;null;
2020-06-20;0;31,3;24,9;20,3;null;null;
2020-06-21;0;31,4;25,4;19,4;null;null;
2020-06-22;0;30,9;24,9;20,7;null;null;
2020-06-23;0;30,5;25;20,3;null;null;
2020-06-24;0;31,2;25,4;21,5;null;null;
2020-06-25;0;32,1;25,8;21,2;null;null;
2020-06-26;0;31,4;25,8;21,5;null;null;
2020-06-27;0;31,5;26,3;23,1;null;null;
2020-06-28;0;32,1;26,3;21,4;null;null;
2020-06-29;0;31,9;25,3;20;null;null;
2020-06-30;0;31,2;25;20,8;null;null;
2020-07-01;0;32,6;26,4;20,8;null;null;
2020-07-02;0;31,8;26,3;20,2;null;null;
2020-07-03;0;32,2;26,1;21,4;null;null;
2020-07-04;0;33,3;27;22,1;null;null;
2020-07-05;0;31,5;26,2;23;null;null;
2020-07-06;0;32;25,6;21,2;null;null;
2020-07-07;0;31,3;25,6;20,3;null;null;
2020-07-08;0;32,1;25,9;20,5;null;null;
2020-07-09;0;32,6;25,7;20,3;null;null;
2020-07-10;0;32,3;25,6;20,7;null;null;
2020-07-11;0;31,5;26,9;23,5;null;null;
2020-07-12;0;32,6;26,6;23;null;null;
2020-07-13;0;33,3;27;22,3;null;null;
2020-07-14;0;33,2;27,8;22;null;null;
2020-07-15;0;32,7;26,9;21,3;null;null;
2020-07-16;0;32,5;26,9;23,1;null;null;
2020-07-17;0;32,9;26,6;22,2;null;null;
2020-07-18;0;31,1;25,6;21,3;null;null;
2020-07-19;0;31,2;25,1;20,6;null;null;
2020-07-20;0;30,7;25,2;20,9;null;null;
2020-07-21;0;31,7;25,5;20;null;null;
2020-07-22;0;31,6;26;21,9;null;null;
2020-07-23;0;32,5;26,5;21,6;null;null;
2020-07-24;0;31,7;26,3;22,4;null;null;
2020-07-25;0;32,4;26,6;21,8;null;null;
2020-07-26;0;31,6;25,6;21,4;null;null;
2020-07-27;0;31,6;25,3;21;null;null;
2020-07-28;0;31,8;26,5;21,4;null;null;
2020-07-29;0;32,7;26,6;21,7;null;null;
2020-07-30;0;33,1;27,1;20,6;null;null;
2020-07-31;0;32,1;26,5;20,5;null;null;
2020-08-01;0;30,9;24,8;19,2;null;null;
2020-08-02;0;31,6;25,9;21,6;null;null;
2020-08-03;0;31,7;26,3;21,6;null;null;
2020-08-04;0;30,8;25,3;20,2;null;null;
2020-08-05;0;31,3;25,2;20,6;null;null;
2020-08-06;0;30,6;24,5;19,1;null;null;
2020-08-07;0;31,3;24,7;18,2;null;null;
2020-08-08;0;31;25,6;21,1;null;null;
2020-08-09;0;31,5;25,9;20,4;null;null;
2020-08-10;0;32,7;26,8;21,9;null;null;
2020-08-11;0;33,4;27,3;22,3;null;null;
2020-08-12;0;34,1;27,8;21,8;null;null;
2020-08-13;0;34,7;28,3;22;null;null;
2020-08-14;0;33,8;28;23,2;null;null;
2020-08-15;0;35,3;28,7;23;null;null;
2020-08-16;0;35,4;29,5;22,3;null;null;
2020-08-17;0;36,8;30,7;23,1;null;null;
2020-08-18;0;37;31,1;25,7;null;null;
2020-08-19;0;35,9;30,6;25,2;null;null;
2020-08-20;0;36,9;30,5;24,8;null;null;
2020-08-21;0;32,2;27,6;22,3;null;null;
2020-08-22;0;33,5;25,7;19,6;null;null;
2020-08-23;0;34,4;27,2;20,2;null;null;
2020-08-24;0;34,5;27,8;23,3;null;null;
2020-08-25;0;34,9;29,2;24,4;null;null;
2020-08-26;0;34,6;29,5;24,9;null;null;
2020-08-27;0;36,2;30,4;26,6;null;null;
2020-08-28;0;35,9;29,7;24,1;null;null;
2020-08-29;0;35,9;29,2;23,7;null;null;
