Nome: ROSARIO OESTE
Codigo Estacao: A944
Latitude: -14.82888888
Longitude: -56.44194444
Altitude: 195
Situacao: Operante
Data Inicial: 2019-05-29
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2019-05-29;null;null;null;null;null;null;
2019-05-30;null;null;null;null;null;33;
2019-05-31;null;34;23,9;16,9;79,7;40;
2019-06-01;0;35,3;24,4;17,9;82,1;35;
2019-06-02;0;33,2;24,6;18,2;81,7;42;
2019-06-03;0;26,1;23;20,5;82,6;67;
2019-06-04;0;23,8;21,1;19,9;87,4;73;
2019-06-05;0;29,9;22,4;18;82,7;52;
2019-06-06;0;32,1;22,3;15,9;81,4;39;
2019-06-07;0;29,2;22,4;18;86,5;58;
2019-06-08;0;32,6;23,1;16,6;90,5;23;
2019-06-09;0;32,3;22,2;15,8;null;null;
2019-06-10;0;33,6;22,5;15,8;null;null;
2019-06-11;0;33,4;23,7;17,3;null;null;
2019-06-12;0;33,4;23,2;17;null;null;
2019-06-13;0;33,3;22,5;15,9;null;null;
2019-06-14;0;33,6;23,5;16,8;null;null;
2019-06-15;0;33,9;24,1;17;null;null;
2019-06-16;0;33,5;23,4;17,1;null;null;
2019-06-17;0;33,2;22,8;15,6;null;null;
2019-06-18;0;33,6;21,7;13,8;null;null;
2019-06-19;0;33;22,1;14,8;null;null;
2019-06-20;0;30,8;21,6;15,8;null;null;
2019-06-21;0;33,2;22,9;16;null;null;
2019-06-22;0;33,4;22,2;14,2;null;null;
2019-06-23;0;32,5;21,1;13;null;null;
2019-06-24;0;32,7;21;12,7;null;null;
2019-06-25;0;33,1;22,2;13;null;null;
2019-06-26;0;29,4;21,4;15,1;null;null;
2019-06-27;0;34,5;22,9;15,9;null;null;
2019-06-28;0;34,8;22,9;14,3;null;null;
2019-06-29;0;34,4;22,9;15;null;null;
2019-06-30;0;34,4;23,1;15,4;null;null;
2019-07-01;0;34,2;22,8;14,9;null;null;
2019-07-02;0;34,6;22,8;14,6;null;null;
2019-07-03;0;34,5;25,4;16,4;null;null;
2019-07-04;0;34,8;25,3;16,9;null;null;
2019-07-05;2,4;26,4;21,2;21,5;null;null;
2019-07-06;,4;23,6;18,1;13,5;null;null;
2019-07-07;0;25,7;16,3;9,5;null;null;
2019-07-08;0;30,9;17,7;8,5;null;null;
2019-07-09;0;33,6;19,9;10,6;null;null;
2019-07-10;0;34,4;21,7;14,1;null;null;
2019-07-11;0;33,7;22,1;14;null;null;
2019-07-12;0;34,1;21,1;11,9;null;null;
2019-07-13;0;34,4;22,2;14,3;null;null;
2019-07-14;0;35,3;22,8;14,8;null;null;
2019-07-15;0;36;23,2;14,8;null;null;
2019-07-16;0;32,3;23,3;16,9;null;null;
2019-07-17;0;33,8;24,2;18,1;null;null;
2019-07-18;0;35,7;24,4;17,1;null;null;
2019-07-19;0;35,8;23,4;15,3;null;null;
2019-07-20;0;34,7;23;15,3;null;null;
2019-07-21;0;33,1;22,4;14,4;null;null;
2019-07-22;0;34,5;23,1;14,8;null;null;
2019-07-23;0;34,5;22,5;13,8;null;null;
2019-07-24;0;34,1;23;13,5;null;null;
2019-07-25;0;26,5;18,5;15,2;null;null;
2019-07-26;0;25,5;17,8;13,7;null;null;
2019-07-27;0;28,6;20,2;13,9;null;null;
2019-07-28;0;32,5;22;15,3;null;null;
2019-07-29;0;33,9;21,3;11,8;null;null;
2019-07-30;0;34,7;21,9;12,7;null;null;
2019-07-31;0;35,5;22,9;14,2;null;null;
2019-08-01;0;37;23,9;13,8;null;null;
2019-08-02;0;35,2;23,7;16;null;null;
2019-08-03;0;23;17,5;12,5;null;null;
2019-08-04;0;25,3;17,4;11,3;null;null;
2019-08-05;0;30,4;18,6;8,9;null;null;
2019-08-06;0;35;22,7;13,4;null;null;
2019-08-07;0;36,4;24,3;15,4;null;null;
2019-08-08;0;36,3;23,6;13,6;null;null;
2019-08-09;0;36;23;13,1;null;null;
2019-08-10;0;35,3;22,5;12,1;null;null;
2019-08-11;0;37,4;24,2;14;null;null;
2019-08-12;null;null;null;null;null;null;
2019-08-13;0;34,9;24,6;16;null;null;
2019-08-14;0;28,3;22,1;16,6;null;null;
2019-08-15;0;35,4;22,2;12,7;null;null;
2019-08-16;0;37,6;23,9;13,9;null;null;
2019-08-17;0;37,4;26;16,4;null;null;
2019-08-18;0;37,7;26,6;17,9;null;null;
2019-08-19;0;33,2;26,3;22,1;null;null;
2019-08-20;0;33,4;25,9;19,9;null;null;
2019-08-21;0;35;25,1;19;null;null;
2019-08-22;0;38,4;27,2;19,3;null;null;
2019-08-23;0;37,7;28,1;20;null;null;
2019-08-24;0;38,1;27;17,8;null;null;
2019-08-25;0;38,4;26,9;18,9;null;null;
2019-08-26;0;37,4;26,3;18,7;null;null;
2019-08-27;0;30,6;25,6;23,1;null;null;
2019-08-28;0;37;25,6;17,6;null;null;
2019-08-29;0;38,6;26,6;17,4;null;null;
2019-08-30;0;39;27,7;17,9;null;null;
2019-08-31;0;39;27,5;18,2;null;null;
2019-09-01;0;35,9;26,7;19,4;null;null;
2019-09-02;0;36;26,8;19,4;null;null;
2019-09-03;0;38,8;27,6;18,7;null;null;
2019-09-04;0;39,9;28,7;20,4;null;null;
2019-09-05;0;40;29,3;21,3;null;null;
2019-09-06;0;40,8;28,8;20;null;null;
2019-09-07;0;40,2;28;17,8;null;null;
2019-09-08;0;39,6;26,8;16,2;null;null;
2019-09-09;0;39,8;27,9;17,5;null;null;
2019-09-10;0;39,6;27,6;16,5;null;null;
2019-09-11;0;40,5;27,9;18,2;null;null;
2019-09-12;0;39,5;27,5;18;null;null;
2019-09-13;0;33,8;25,5;19,1;null;null;
2019-09-14;0;39,6;27,2;19,3;null;null;
2019-09-15;0;41,4;29;20,4;null;null;
2019-09-16;0;41,5;29,8;20,9;null;null;
2019-09-17;0;40,8;29,8;21,1;null;null;
2019-09-18;0;40,7;30,4;20,6;null;null;
2019-09-19;0;39,1;32,8;25,3;null;null;
2019-09-20;0;40,5;31,6;23,3;null;null;
2019-09-21;0;37,3;30,6;25,2;null;null;
2019-09-22;,8;33,8;28,7;23,3;null;null;
2019-09-23;0;39;28,1;21,6;null;null;
2019-09-24;25,2;37,6;28,7;22,7;null;null;
