Nome: GLEBA CELESTE
Codigo Estacao: 83264
Latitude: -12.2886111
Longitude: -55.29416666
Altitude: 384
Situacao: Desativada
Data Inicial: 2000-01-01
Data Final: 2014-05-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);
2000-01-01;7,8;31,8;24,8;22,4;92;78;
2000-01-02;17,5;29,6;24,6;22,5;91;81;
2000-01-03;22,5;29,7;24,6;22,4;90,3;76;
2000-01-04;,7;31,1;24,6;22,3;90,5;79;
2000-01-05;1,6;32,4;24,8;21,5;91,5;76;
2000-01-06;8;31,5;25,5;21,9;90;75;
2000-01-07;3,8;32,1;24,9;21,3;89,3;76;
2000-01-08;,4;32,5;24,5;20,7;90;75;
2000-01-09;2,2;30,9;24,4;22,1;93,3;86;
2000-01-10;7,8;27,3;23,5;21,7;93,5;87;
2000-01-11;0;31,9;24,8;20,7;94;87;
2000-01-12;33;33,1;25,3;21,8;89,3;73;
2000-01-13;8,1;32,8;24,8;22,2;87,5;75;
2000-01-14;10,5;32,4;25,9;21,2;87;69;
2000-01-15;,2;34;26,3;21,1;88,5;69;
2000-01-16;1,9;32,7;25,8;22;90,5;85;
2000-01-17;4,2;35,4;26,8;20,5;87,5;74;
2000-01-18;21,9;30,9;25,3;21,9;89,3;79;
2000-01-19;0;35,5;27,7;20,8;85,5;68;
2000-01-20;0;35,8;28,2;22,4;82,3;61;
2000-01-21;0;33,2;25,1;22,1;93,3;88;
2000-01-22;19,8;32,1;24,2;21,1;94,3;92;
2000-01-23;1,9;30,5;25,1;21,2;90,3;78;
2000-01-24;0;27,9;24,1;22,5;95;89;
2000-01-25;0;31;25,7;22,3;90,3;87;
2000-01-26;35,6;31,3;24,7;21,6;90,8;75;
2000-01-27;,5;31,5;24,5;22;90;74;
2000-01-28;14,8;32,4;24,8;21,1;92;78;
2000-01-29;3,6;32,7;25,2;22,3;90,8;83;
2000-01-30;12,3;33,7;24,4;21,6;90,3;78;
2000-01-31;6;34,3;26,5;20,5;85,5;72;
2000-02-01;0;36,2;27,9;21,8;88,3;72;
2000-02-02;0;34;27,1;23;84,5;65;
2000-02-03;,2;35;27,9;22,5;98;95;
2000-02-04;0;32,5;25,5;22,1;93,5;88;
2000-02-05;5,9;32,5;25,3;21,8;88;72;
2000-02-06;39,6;28,3;24,1;21,4;95,5;92;
2000-02-07;39,2;25,6;23,1;21,4;96,8;95;
2000-02-08;95,8;31,6;25,3;21,5;91;77;
2000-02-09;8,8;27,2;23,9;21,8;93,5;94;
2000-02-10;1,8;31,2;25,3;21,8;87,8;75;
2000-02-11;24,8;30,9;24,6;21,6;92,8;85;
2000-02-12;29,1;28,7;23,3;21,2;95,3;91;
2000-02-13;46,9;29,5;24,2;20,7;92,5;86;
2000-02-14;7,2;31,3;25;21,3;91,5;80;
2000-02-15;14;33,9;26;21,4;83,8;72;
2000-02-16;0;33;24,6;20,8;92,3;85;
2000-02-17;12,6;32;25,4;20,3;85,3;76;
2000-02-18;6,6;33,3;25,4;21,3;89,5;72;
2000-02-19;0;32,6;25;21,3;90,5;77;
2000-02-20;0;32,5;25,5;21,3;91,3;83;
2000-02-21;18,5;32,2;25,8;21;88,5;77;
2000-02-22;1,3;30,7;24,6;22,3;93,8;90;
2000-02-23;1,3;34,4;26,2;20,1;86,8;71;
2000-02-24;,1;33,8;26,6;20,5;98,5;95;
2000-02-25;0;33,7;25,9;21,2;88;78;
2000-02-26;67,1;33,6;25,9;20,6;88;72;
2000-02-27;7;33,9;26,7;22,2;86,3;73;
2000-02-28;9,4;32,4;25,8;22;87,8;79;
2000-02-29;36,4;31,6;25,2;21,1;95;88;
2000-03-01;9,5;30,4;25;21,9;89,5;78;
2000-03-02;0;31,5;25,1;22,4;93,8;90;
2000-03-03;47,3;32,7;25,1;21,4;91;74;
2000-03-04;15,1;29,4;25,4;21,5;88,8;78;
2000-03-05;24,8;30,4;24,7;21;91;81;
2000-03-06;0;33,6;25,4;21,6;90;76;
2000-03-07;9,8;33,9;26,5;20,7;87,3;75;
2000-03-08;9,8;28,8;24,5;21,9;92,3;82;
2000-03-09;0;30,5;24,9;23,2;93,5;83;
2000-03-10;1,8;30;24,4;21,2;97,5;95;
2000-03-11;26,8;30,4;23,8;20,6;91,5;77;
2000-03-12;2;30,6;24,6;20,9;93,3;88;
2000-03-13;2,4;32,3;25,3;22,2;92,5;81;
2000-03-14;24,6;32,1;24,3;20,9;92,5;80;
2000-03-15;52;31,8;24,1;20,8;90,3;77;
2000-03-16;8,6;29;24,7;21,8;94,5;90;
2000-03-17;0;31;24,7;22,5;92,5;80;
2000-03-18;10,5;30,5;24,5;21,5;92,8;79;
2000-03-19;21,2;31,5;25,6;22;90;74;
2000-03-20;0;33,2;26,1;22,6;88,3;70;
2000-03-21;0;33,3;25,1;21,6;92,5;85;
2000-03-22;69,8;33,6;25,9;19,6;87,5;66;
2000-03-23;0;32,3;26,1;21,3;87,8;76;
2000-03-24;0;34,5;25,7;19;86,8;63;
2000-03-25;0;35,9;27,1;19,9;80,5;58;
2000-03-26;0;35,1;27,5;20,9;81,3;59;
2000-03-27;0;35,1;26,7;20,1;85,3;65;
2000-03-28;0;34,1;26,1;20,9;84,3;69;
2000-03-29;0;33;25,5;22,2;90;77;
2000-03-30;0;34,1;26,4;20,7;85,3;71;
2000-03-31;0;33,7;24,6;21;94;87;
2000-04-01;8,4;30,8;24;20,7;90;76;
2000-04-02;0;33,2;24,8;20,5;85,5;69;
2000-04-03;3,7;33,5;26,1;21,2;82,8;70;
2000-04-04;0;34,8;26,2;21;87,5;79;
2000-04-05;11,7;34,8;24,9;21,7;96;94;
2000-04-06;10,4;34;25,7;20,8;86,5;69;
2000-04-07;0;34,8;27,5;21,8;83,3;73;
2000-04-08;0;34,3;27,3;21,4;82,8;63;
2000-04-09;0;35,1;27,4;21,4;79;63;
2000-04-10;0;35,1;27;20,7;83,5;64;
2000-04-11;0;35,8;26,4;20,8;82,3;65;
2000-04-12;0;34,7;26,3;19,6;87;72;
2000-04-13;0;34,8;26,7;21,3;86,8;68;
