Nome: SAO JOSE DO RIO CLARO
Codigo Estacao: 83267
Latitude: -13.45388888
Longitude: -56.67722221
Altitude: 339.59
Situacao: Desativada
Data Inicial: 2000-01-01
Data Final: 2016-01-29
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);
2000-01-01;2;31,2;24,9;22,1;92,3;80;
2000-01-02;10;30,2;26,3;22,5;85,5;85;
2000-01-03;0;33,6;26,4;22,3;83;67;
2000-01-04;0;32,4;24,5;20;81;57;
2000-01-05;0;33,4;26,4;19,9;79;75;
2000-01-06;0;30,2;25;21,7;89,8;77;
2000-01-07;0;31;24,2;21,6;93;87;
2000-01-08;0;32;26,3;21,3;81,5;60;
2000-01-09;6;30,4;24,7;22,1;89,8;76;
2000-01-10;0;30;24,6;22,1;91;80;
2000-01-11;0;31,4;25,4;21,9;85;74;
2000-01-12;0;31;25,7;20,9;88,5;81;
2000-01-13;0;31;24,8;22,7;92;79;
2000-01-14;8;31;24,6;21,1;93;78;
2000-01-15;4;33,6;26,1;19,5;87;73;
2000-01-16;48;31,8;25,9;21,5;89,8;78;
2000-01-17;0;34,6;26,6;20,7;84,3;65;
2000-01-18;0;31,2;25,8;22,7;90;72;
2000-01-19;0;34,6;26,8;20,7;82,3;67;
2000-01-20;0;34,2;27,1;22,5;82,3;66;
2000-01-21;0;33,6;25,9;23,1;84,8;64;
2000-01-22;2;30,4;23,7;21,7;96,8;92;
2000-01-23;4;31;25;21,7;88,3;76;
2000-01-24;2;30;24,4;22,5;96,8;90;
2000-01-25;46;32,8;25;22,1;90,8;75;
2000-01-26;36;30;24,8;21,8;90,8;81;
2000-01-27;0;30,4;25,5;21,9;87,5;74;
2000-01-28;1;28,6;24,1;22,5;94,3;89;
2000-01-29;16;30;24,2;22,3;93,3;80;
2000-01-30;2;33,4;26,2;21,5;84,3;67;
2000-01-31;8;32,4;25,5;21,3;89;78;
2000-02-01;0;34,4;26,4;21,7;89,3;63;
2000-02-02;0;34;27;21,9;83,5;64;
2000-02-03;0;33,6;26,8;22,1;83,5;60;
2000-02-04;0;33,4;26,4;22,1;85,8;79;
2000-02-05;4;31,8;25,4;21,7;93,3;83;
2000-02-06;0;29,2;24;22,3;92,5;82;
2000-02-07;6;29,2;23,8;22,1;93;82;
2000-02-08;30;29,8;23,7;21,9;95,8;91;
2000-02-09;0;28;24,8;22,3;90,3;89;
2000-02-10;7;27,8;24,3;21,9;93;90;
2000-02-11;7;30,6;24,6;21,7;91,5;84;
2000-02-12;0;27,8;23,8;21,9;90;82;
2000-02-13;0;28;24,1;21,7;93,8;90;
2000-02-14;21;29;23,6;21,5;95;82;
2000-02-15;10;30,8;24,2;20,7;93,3;80;
2000-02-16;3;32,6;24,8;21,3;88;77;
2000-02-17;0;32,4;25,1;21,1;88,5;75;
2000-02-18;6;29,2;23,8;21,1;93,5;88;
