Nome: CANARANA
Codigo Estacao: 83270
Latitude: -13.47083332
Longitude: -52.2711111
Altitude: 430
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);
2000-01-01;21,8;30,4;24,2;21,2;93;89;
2000-01-02;15,5;26,3;23,2;21,5;93,3;91;
2000-01-03;4,3;26,3;22,2;20,4;92;85;
2000-01-04;33,4;26,6;22,7;20,5;90;85;
2000-01-05;3,9;27,5;23,5;21,1;92;88;
2000-01-06;22,4;28,4;23,5;21,1;91,5;83;
2000-01-07;8,9;30,1;24,3;20,3;86,3;65;
2000-01-08;0;30,3;23,6;19,9;93;85;
2000-01-09;56,2;28,1;23,2;20,3;84,8;79;
2000-01-10;7,7;29,2;23,8;20,3;80;66;
2000-01-11;1,1;30,2;24,3;20,5;84;77;
2000-01-12;0;31;24,9;20,7;81,3;62;
2000-01-13;0;31,4;24,5;21,3;81,5;59;
2000-01-14;3,8;31,9;24,8;19,1;81,3;59;
2000-01-15;0;33,4;26,8;21,5;72;51;
2000-01-16;0;33;25,3;21,6;77;57;
2000-01-17;0;33,6;26,1;19,1;72,5;45;
2000-01-18;0;32,4;25,9;19,7;74,5;55;
2000-01-19;0;34,5;27,6;21,7;72;52;
2000-01-20;0;33,4;26,5;22,7;76,8;53;
2000-01-21;15;29;24,5;20,9;86,3;75;
2000-01-22;7,4;30,4;25,3;21,3;82,5;73;
2000-01-23;0;28,6;24,2;20,7;91,3;86;
2000-01-24;21,9;24,5;22,4;21;96,3;92;
2000-01-25;102,1;28,4;23,9;21,1;93;89;
2000-01-26;18;29,7;24,2;20,9;85,3;70;
2000-01-27;0;28,7;24,1;21,1;87,3;74;
2000-01-28;0;30,4;24,7;21,3;85,5;76;
2000-01-29;0;29,8;24,5;21,5;90,5;87;
2000-01-30;12,2;28,2;24,2;20,7;86,3;82;
2000-01-31;2,4;32,2;24,9;20,6;82,8;63;
2000-02-01;18,8;33,4;27,1;21,3;73,5;54;
2000-02-02;0;31;25,1;21,7;86;75;
2000-02-03;3,2;30,7;24,5;21,5;92;86;
2000-02-04;,9;31,4;24,6;19,9;85,3;66;
2000-02-05;3;30,4;24,7;22,6;85,3;66;
2000-02-06;15,7;24,8;22,6;21,3;93,3;90;
2000-02-07;24,7;27,4;23,2;21,3;92,5;85;
2000-02-08;11,4;29,7;24,2;21,5;87,8;68;
2000-02-09;9,6;28,8;23,9;21,5;87;69;
2000-02-10;10,8;29,8;23,7;20,9;90,8;80;
2000-02-11;51,4;27,1;23,3;20,1;90,5;86;
2000-02-12;4,4;29;23,8;21,5;86,8;66;
2000-02-13;10,6;28,2;23,3;21,1;92,5;88;
2000-02-14;10,6;28,8;23,9;21,1;89,5;85;
2000-02-15;0;29,4;24,4;20,1;86,5;78;
2000-02-16;22,8;28,4;22,1;19,2;94,3;89;
2000-02-17;15,4;31,6;24,2;18,5;80,3;59;
2000-02-18;0;31;23,7;20,5;84,3;61;
2000-02-19;12,2;29,4;23,5;19,9;88,8;72;
2000-02-20;1,4;29,6;24,3;20,5;89;85;
2000-02-21;8,4;28,9;23;20,6;92,5;89;
2000-02-22;4,2;31,4;24,5;19,5;81,3;60;
2000-02-23;0;31,4;25;20,7;79;63;
2000-02-24;0;31,8;25,3;21,1;77,5;57;
2000-02-25;0;32;24,7;21,3;90,8;79;
2000-02-26;7,2;31,3;25,5;21,7;81;61;
2000-02-27;2,2;32,9;26,6;21,1;72,3;53;
2000-02-28;0;32,4;24,8;21,4;83;58;
2000-02-29;42,2;31,2;24,9;20,7;82;63;
2000-03-01;0;28,4;24,2;22,5;89,3;82;
2000-03-02;3,4;33,4;25;21,5;91,8;93;
2000-03-03;11,8;28,8;24,3;20,9;89;85;
2000-03-04;0;32,2;25,5;21,1;81;59;
2000-03-05;3,4;27,8;23,9;21,5;88;77;
2000-03-06;0;32,1;24,7;21;82,8;58;
2000-03-07;1,6;33,1;25,4;20,3;77;55;
2000-03-08;0;36,7;25,7;21,5;87,8;82;
2000-03-09;1,8;30,2;24,4;21;84,5;65;
2000-03-10;0;31,4;24,9;20,1;80,3;58;
2000-03-11;2,6;26,4;23,3;21,6;91,8;82;
2000-03-12;25,1;30,4;24,2;21,6;84,8;62;
2000-03-13;17,7;26;23,2;21,7;93;88;
2000-03-14;19,8;29,4;24,3;21,1;85,8;70;
2000-03-15;4,6;31,2;25,4;21,9;82,5;60;
2000-03-16;12,8;27,4;23,3;21,5;86,8;71;
2000-03-17;2,3;29,2;24,7;21,3;87,5;81;
2000-03-18;0;30,8;24,8;21,4;88;71;
2000-03-19;3,6;29;23,3;21;88,5;73;
2000-03-20;30,5;31;25,1;21,3;84,3;71;
2000-03-21;2,6;29,1;23,5;20,2;92;83;
2000-03-22;23,7;31,2;24,4;18,3;81,8;62;
2000-03-23;0;32;26,1;21,7;71,8;52;
2000-03-24;1,8;30,3;24,8;21,5;81,8;70;
2000-03-25;0;33,5;26,6;21,5;72,5;48;
2000-03-26;0;32,6;26,1;21;64,3;50;
2000-03-27;0;32,4;25,5;19,7;69,3;52;
2000-03-28;0;33,2;26;20,9;74,8;58;
2000-03-29;0;31,4;24,7;20,9;87,3;78;
2000-03-30;0;32,2;25,4;20,4;75,8;54;
2000-03-31;7,6;31;24,1;20,5;85,8;60;
2000-04-01;24;24,8;21,8;20,2;92,3;86;
2000-04-02;10;31,4;23,5;18,4;87,5;84;
2000-04-03;0;31,8;24,8;20,3;86,8;79;
2000-04-04;4,6;30,1;24,1;20,7;91,3;83;
2000-04-05;2;30,6;24;20,1;85;64;
2000-04-06;0;31,2;24,3;20,3;78,3;60;
2000-04-07;0;32,5;25,2;20,3;75,5;52;
2000-04-08;0;31,7;25,6;20,3;80;78;
2000-04-09;3,2;32,2;25;20,7;78,5;56;
2000-04-10;0;32,8;25,6;20,7;76,3;48;
2000-04-11;0;31;23,2;19,4;91;81;
2000-04-12;59,5;31,4;24,3;18;78,3;58;
2000-04-13;0;31,8;24,3;19,5;83,3;61;
2000-04-14;0;32,1;25,9;20,5;75,8;64;
2000-04-15;0;31;24,8;21,3;85,5;73;
2000-04-16;0;31,4;25,1;20,6;78;62;
2000-04-17;0;31,6;24,5;20,9;88;81;
2000-04-18;23,9;29,7;24,2;21,7;87,8;67;
2000-04-19;2,1;31,5;24,8;20,7;82,5;62;
2000-04-20;0;31;25,4;21,5;81,3;58;
2000-04-21;0;27,6;23,8;21,8;91,8;84;
2000-04-22;16,9;30,6;24,1;20,5;76,3;57;
2000-04-23;0;30,4;23,3;19,3;73,3;54;
2000-04-24;0;33;25,2;18,9;72,5;51;
2000-04-25;0;33;25,3;21,3;82;57;
2000-04-26;4,1;30,1;24,4;21,5;87;64;
2000-04-27;0;31,9;25;20,9;80;54;
2000-04-28;0;31,8;24,7;19,2;71;47;
2000-04-29;0;31,8;24,1;19;71,8;46;
2000-04-30;0;32,1;24,6;18,9;68;46;
2000-05-01;0;32,8;25,3;18,9;69;47;
2000-05-02;0;32,8;25,4;20,3;72,3;48;
2000-05-03;0;32;25;20,1;74,5;49;
2000-05-04;0;32,2;25,4;20,5;70,5;48;
2000-05-05;0;32,1;24,7;19,9;70,8;48;
2000-05-06;0;33,1;25;19,5;70,8;49;
2000-05-07;0;33,4;25;19,8;71;48;
2000-05-08;0;32,8;25,1;19,5;72;48;
2000-05-09;0;33,6;25,7;20,3;73,5;50;
2000-05-10;0;33,3;25,2;19,7;68,8;46;
2000-05-11;0;32,2;24,5;19,2;71,3;47;
2000-05-12;0;33,2;24,9;19,5;71,3;52;
2000-05-13;0;32,8;25,3;19,5;70,3;53;
2000-05-14;0;31,8;24,3;19,6;65,5;46;
2000-05-15;0;31,9;24,1;18,6;59,3;37;
2000-05-16;0;31,8;24;17,9;62,8;41;
2000-05-17;0;33,2;24,3;16,9;61,5;42;
2000-05-18;0;30;23,1;18,9;73,5;56;
2000-05-19;0;30;23,2;16,3;71,5;48;
2000-05-20;0;30,2;21,9;16,3;69,8;45;
2000-05-21;0;31,4;23;16,3;65;43;
2000-05-22;0;32,5;24;17,7;63,3;46;
2000-05-23;0;31,6;24,3;19,7;68,3;52;
2000-05-24;0;31,9;24,4;19,3;68;48;
2000-05-25;0;31,6;23,4;18,9;63,3;39;
2000-05-26;0;32,7;24,4;18,9;57,8;36;
2000-05-27;0;33;23,2;16,5;60,3;34;
2000-05-28;0;33,1;23,5;16;51;36;
2000-05-29;0;33;23,7;16,2;55,8;35;
2000-05-30;0;34;23,7;16,2;60;32;
2000-05-31;0;33,6;23,9;15,9;53,5;31;
2000-06-01;0;32,9;23,9;16,2;58;32;
2000-06-02;0;32,4;23,3;16,5;58,8;27;
2000-06-03;0;31,5;24;17,4;61;39;
2000-06-04;0;33,4;23,8;17,6;62;39;
2000-06-05;0;32;23,2;17,3;61,8;37;
2000-06-06;0;31,8;23,3;16,1;62,8;41;
2000-06-07;0;31,8;23,2;17,1;61,3;40;
2000-06-08;0;32;24,2;17,1;59;41;
2000-06-09;0;31,9;23;16,5;62;39;
2000-06-10;0;32,4;23,1;15,9;null;71;
2000-06-11;0;32,4;23,2;16,9;59,3;41;
2000-06-12;0;32,9;23,8;16,4;51,3;31;
2000-06-13;0;33,2;24,5;17,2;58;36;
2000-06-14;0;34,1;25;18,4;55,8;36;
2000-06-15;0;33,2;25,1;19,7;56;35;
2000-06-16;0;32,6;24,2;17,5;54,5;33;
2000-06-17;0;31,8;22,4;15,7;56,3;32;
