Nome: DIAMANTINO
Codigo Estacao: 83309
Latitude: -14.40611111
Longitude: -56.44694444
Altitude: 274.02
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);
2000-01-01;0;30,9;25,6;23,2;94,3;85;
2000-01-02;6,6;30,7;25,4;22,7;94;83;
2000-01-03;19,8;33,5;26,4;22,7;87,8;68;
2000-01-04;0;34,8;26,4;21,8;83,8;74;
2000-01-05;0;33,8;27,1;22,2;85,8;78;
2000-01-06;0;30,8;25,7;24;94,5;89;
2000-01-07;13;31,6;25,6;22,7;89,5;81;
2000-01-08;,3;32,4;26,4;23;87;79;
2000-01-09;0;31;26,2;22,6;91,8;87;
2000-01-10;0;30,6;25,8;23,2;88;80;
2000-01-11;,3;32,6;26,7;23;89,5;77;
2000-01-12;0;33,3;26,3;23,6;91,3;80;
2000-01-13;1,1;28,8;24,7;23;96,3;93;
2000-01-14;24,2;32,5;26,2;22,1;89;78;
2000-01-15;0;35;27,4;21,6;84,8;74;
2000-01-16;9,6;33,7;26,6;22,7;88,5;76;
2000-01-17;0;34,5;27,9;22,8;89,3;79;
2000-01-18;,3;32,2;26,9;24;91;93;
2000-01-19;0;34,5;27,7;21,8;88,3;76;
2000-01-20;0;33;26,4;23,7;91,8;85;
2000-01-21;10,2;33,4;27,5;24;88,8;85;
2000-01-22;0;25,9;24,7;23;94;88;
2000-01-23;41,3;29,9;25,3;22,8;95,3;94;
2000-01-24;17,8;32,3;26,6;23,2;94;83;
2000-01-25;0;31,6;26,5;23,3;95,8;90;
2000-01-26;9,3;30,7;26,5;23,1;95,3;88;
2000-01-27;7,6;31;24,8;22,4;97,8;93;
2000-01-28;5;30,6;24,9;22,2;96,5;91;
2000-01-29;2,8;32,4;25,6;23,1;88,8;80;
2000-01-30;15,6;31;26,3;22,7;97;89;
2000-01-31;6;34,2;26,9;22,4;91,8;78;
2000-02-01;0;31,8;27,2;23,2;93;87;
2000-02-02;2;34;26;23;94,8;87;
2000-02-03;6,8;34,4;27,6;23,4;89,8;77;
