Nome: NOVA XAV.(XAVANTINA)
Codigo Estacao: 83319
Latitude: -14.69805555
Longitude: -52.35027777
Altitude: 305.33
Situacao: Operante
Data Inicial: 2000-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);
2000-01-01;15,6;29,2;24,9;22,2;92,8;83;
2000-01-02;45,5;27,2;23,6;21,2;95,5;89;
2000-01-03;5,8;26,6;23;20;94,8;88;
2000-01-04;13,3;27,4;23,8;20,2;93,8;89;
2000-01-05;0;30,6;24,7;22,2;91,5;74;
2000-01-06;13,5;29,6;24;21,8;93,8;85;
2000-01-07;29,8;31;24,8;21,6;89,5;74;
2000-01-08;0;25,4;23;20,4;94,5;92;
2000-01-09;,9;26,4;23,2;20,2;93,3;85;
2000-01-10;2,5;29,4;24;21,6;90,5;80;
2000-01-11;0;32,2;25,5;20,6;88,5;73;
2000-01-12;,6;32;26,2;22;83,5;70;
2000-01-13;0;32,4;26,4;21,2;79,8;64;
2000-01-14;0;33,2;25,6;18,9;82,8;61;
2000-01-15;0;34,2;26,4;20,4;79;55;
2000-01-16;0;34,6;26,2;20,8;77;54;
2000-01-17;0;34,4;26,5;20,4;76,8;59;
2000-01-18;6;33,4;25,9;20,8;83;60;
2000-01-19;0;34,8;27,3;22,2;81,8;59;
2000-01-20;0;31,6;26,6;22,4;79,8;51;
2000-01-21;2,7;29,4;24;22;84,8;70;
2000-01-22;3,4;31,2;25,1;22;87,5;75;
2000-01-23;0;31,6;25,3;21,2;86;67;
2000-01-24;0;31;24,3;20,6;98;94;
2000-01-25;61,6;30;24,9;20,6;94,8;94;
2000-01-26;6,7;29,4;25,3;21,8;86,3;78;
2000-01-27;13;27,4;24,1;22;91;78;
2000-01-28;7,7;29,4;25,1;21,6;91,5;78;
2000-01-29;6,8;28,6;24,7;22,2;90,5;81;
2000-01-30;3,2;31,4;24,9;21,4;91,3;80;
2000-01-31;0;32,2;25,6;21,2;81,3;69;
2000-02-01;0;33;26,1;22,2;80,8;58;
2000-02-02;0;31,8;25,1;21,8;90,5;77;
2000-02-03;,7;29,2;24,2;21,2;97,5;93;
2000-02-04;15,3;30,6;24,7;20,6;95;89;
2000-02-05;2,1;32,8;25,9;22,8;90,5;76;
2000-02-06;0;27,2;24,1;22,6;95,8;89;
2000-02-07;14,1;28,6;24,4;22,6;97;94;
2000-02-08;29,3;28;24,6;22,6;94;84;
2000-02-09;17,9;28,6;24,2;21,8;94;86;
2000-02-10;38,4;27,8;23,9;21,8;96,8;95;
2000-02-11;22,8;28,4;24;21,2;94,8;85;
2000-02-12;11,2;28,2;23,9;21,4;96,8;93;
2000-02-13;8,9;29,8;24;22;94,3;83;
2000-02-14;15,5;30,6;24,6;21,8;92,5;74;
2000-02-15;0;31,2;23,8;18,7;90,8;75;
2000-02-16;,6;32,4;24,6;20,4;90,8;73;
2000-02-17;5,6;31,2;24,8;20,2;87,8;69;
2000-02-18;0;30,2;24,3;21,2;94,5;91;
2000-02-19;9,7;28;23,6;21,4;95,8;92;
2000-02-20;12,1;30,2;24;20;94;89;
2000-02-21;6,8;27,2;22,9;20,8;94,5;92;
2000-02-22;2;31,8;24,3;19,3;90,3;74;
2000-02-23;0;33,2;25,3;19,3;87,5;71;
2000-02-24;0;32,2;25,3;20,8;91,3;76;
2000-02-25;0;33;25,2;21,2;92,8;85;
2000-02-26;1,6;32,4;25,4;19,3;87,8;72;
2000-02-27;0;33,6;26,5;21,8;89,3;71;
2000-02-28;0;29,8;24,9;22,6;91,5;84;
2000-02-29;,6;32;25,8;21,6;90;76;
2000-03-01;8,1;26,3;23,5;22;98;96;
2000-03-02;29,9;30,8;25,1;21,6;96,5;94;
2000-03-03;1,2;30,4;24,3;21,6;98,8;96;
2000-03-04;9,8;31,2;24,6;18,7;95,3;86;
2000-03-05;25,4;30,6;24,3;20,8;93;83;
2000-03-06;4,7;33;25,6;20,6;87,5;73;
2000-03-07;0;34,4;25,8;20,6;88,8;67;
2000-03-08;2,7;31,2;25,2;22;89;80;
2000-03-09;0;31;24,3;21,6;89;79;
2000-03-10;1,8;31,8;25,8;22;87,5;70;
2000-03-11;29,8;30,2;23,9;21,4;98;92;
2000-03-12;7,6;29,2;23,6;21,2;93,8;81;
2000-03-13;16,6;26,4;23,7;21,4;94,5;92;
2000-03-14;10,7;30,6;25,4;21,4;90,5;76;
2000-03-15;0;31,8;25,8;22,4;93,3;83;
2000-03-16;4,6;26;23,8;22,4;96;89;
2000-03-17;50,9;30,6;24,8;22,2;94,3;79;
2000-03-18;21,4;29;24,4;22,2;94,5;86;
2000-03-19;37,5;26,6;23,2;21,4;97,3;90;
2000-03-20;0;32,4;25,1;21,2;92;73;
2000-03-21;3,6;29,8;23,4;20,4;95,8;92;
2000-03-22;13,4;32,2;24,6;18,7;90,8;74;
2000-03-23;0;32,6;25,9;20,2;86,3;67;
2000-03-24;0;32,8;25,8;21,8;82,5;68;
2000-03-25;0;33,8;26,1;21;83,3;61;
2000-03-26;0;33,8;25,7;21,6;88,5;72;
2000-03-27;0;33,2;25;18,5;88,3;71;
2000-03-28;0;33,8;26,3;20,2;80,5;77;
2000-03-29;0;33,2;25,4;20;88;68;
2000-03-30;0;33,4;26,3;21,8;89,3;81;
2000-03-31;0;30;25,3;21,2;88;83;
2000-04-01;0;28,6;22,8;19,5;96,8;89;
2000-04-02;54,2;31,6;24,1;18,3;92,3;82;
2000-04-03;0;33,2;25,7;20;90,5;76;
2000-04-04;0;33,2;26;20,8;87,3;73;
2000-04-05;3,9;31,6;25,2;21,6;90,3;77;
2000-04-06;0;32,6;25;20,2;88,3;70;
2000-04-07;0;33,6;25,4;20,2;84,3;69;
2000-04-08;0;32,6;24,9;19,3;87;65;
2000-04-09;0;33,2;25,3;20,2;85,5;67;
2000-04-10;0;34,2;25,3;19,1;85,8;63;
2000-04-11;0;31,4;23,7;19,3;91,5;78;
2000-04-12;0;33,6;24,6;18,1;88;72;
2000-04-13;0;32;24,3;19,5;90,8;74;
2000-04-14;0;34;25,8;22,6;88,3;72;
2000-04-15;0;34;25,1;19,3;85,5;70;
2000-04-16;0;33;25,2;20,4;89,5;77;
2000-04-17;0;33,4;25,5;21,2;90,8;78;
2000-04-18;1,9;30,2;24,5;22;93,5;82;
2000-04-19;25,4;30,6;24,4;21;90,3;74;
2000-04-20;0;31,6;25,1;21,2;95,3;90;
2000-04-21;0;31,2;25,1;20,8;88,8;74;
2000-04-22;0;30,6;24,1;20,4;76,8;67;
2000-04-23;0;29,6;22,3;16,7;79,5;69;
2000-04-24;0;33;23;15,3;85;67;
2000-04-25;0;33,6;24,5;17,9;88,3;72;
2000-04-26;1;32,2;24,6;19,1;91,8;76;
2000-04-27;0;32,6;24,8;20,2;90,8;81;
2000-04-28;0;30,4;24,4;19,5;85,8;71;
2000-04-29;0;32,2;22,9;17,1;88,3;67;
2000-04-30;0;32,2;23,5;15,7;84;69;
2000-05-01;0;33;23,5;16,7;84,3;59;
2000-05-02;0;33,2;25,4;17,9;79,3;63;
2000-05-03;0;33,2;25;19,1;82,8;61;
2000-05-04;0;33,2;24,9;18,9;82,5;63;
2000-05-05;3;33;24;18,1;83;60;
2000-05-06;0;34,2;24,7;17,3;77;57;
2000-05-07;0;33,2;24,8;20,4;78,8;54;
