Nome: SAO VICENTE
Codigo Estacao: 83363
Latitude: -15.82305554
Longitude: -55.41888888
Altitude: 786.99
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);
2000-01-01;5;28,6;24,2;21,4;87,8;76;
2000-01-02;15,2;27;23;21;94,8;91;
2000-01-03;null;28,9;23,6;19,6;74;63;
2000-01-04;null;30,4;24,1;20,4;74,5;58;
2000-01-05;null;29;23,7;20,2;83;71;
2000-01-06;5,4;27,2;22,5;20;92,5;90;
2000-01-07;null;28,8;23,1;20,4;85,8;70;
2000-01-08;null;28;22,8;20,6;86,5;70;
2000-01-09;null;29,2;23,1;19,2;82,5;67;
2000-01-10;null;29,8;23;20,2;82,8;59;
2000-01-11;null;29,2;23,4;19,8;81,3;66;
2000-01-12;null;29,6;24;21,4;84;75;
2000-01-13;null;29,6;23,4;20,8;84,5;66;
2000-01-14;null;30,4;24,4;19,8;71,3;61;
2000-01-15;null;30,5;24,9;20,4;72,8;57;
2000-01-16;20,6;28,2;23,6;20,2;86,3;75;
2000-01-17;0;30,6;24,6;20;80,3;63;
2000-01-18;0;30,4;24,6;21;79,5;68;
2000-01-19;3;30,2;25;21;86,8;82;
2000-01-20;0;29,6;24,6;22,4;83,5;71;
2000-01-21;null;27,8;23,6;20,4;86,3;78;
2000-01-22;null;28,2;23,8;21,3;90,8;84;
2000-01-23;null;27;23,1;20,8;84;79;
2000-01-24;0;29,4;24,6;20,8;83;66;
2000-01-25;2,1;28,4;22,4;20;92,3;80;
2000-01-26;3;26,4;22,9;20,2;89,5;89;
2000-01-27;1,3;23,6;21,2;20,2;95,5;88;
2000-01-28;0;27,8;22,5;20,4;93,5;90;
2000-01-29;17,2;27,2;22,2;20;96,5;94;
2000-01-30;3;30;24;19,8;79,3;65;
2000-01-31;2;29,4;24,6;21,2;84,5;83;
2000-02-01;0;29,7;24,8;22,6;80;67;
2000-02-02;null;30,2;23,6;20,8;83,8;70;
2000-02-03;null;28,4;24,2;20,8;82,5;76;
2000-02-04;null;29,4;23,1;20,5;85,8;69;
2000-02-05;17,2;29,4;23,7;20,6;83,3;77;
2000-02-06;3;26,8;23;21,2;95,5;86;
2000-02-07;1;26,8;22,3;19,2;91,8;79;
2000-02-08;null;26,4;21,6;19,8;93,5;89;
2000-02-09;null;23,2;21,2;20;96,3;93;
2000-02-10;null;25,6;22;20,6;95,5;90;
2000-02-11;null;24,6;22,1;20,2;93;89;
2000-02-12;null;25,6;22,3;20,6;90,8;83;
2000-02-13;null;25,4;21,9;20,4;91,8;89;
2000-02-14;null;26,2;21,9;19,8;93,3;88;
2000-02-15;null;27,4;22,6;19,8;94,3;87;
2000-02-16;9,6;28,6;22,6;18,8;92;86;
2000-02-17;11,2;22,8;20,7;19,2;97,5;94;
2000-02-18;null;28,8;22,8;19,4;82,8;72;
2000-02-19;24,6;27,6;22;19,2;86;69;
2000-02-20;0;28,6;23,6;19,8;85;80;
2000-02-21;null;29,1;23,1;20,8;84;62;
2000-02-22;31;24,8;21,8;19,4;94;93;
2000-02-23;1,2;28,8;23,7;19,6;85;78;
2000-02-24;3;30,4;24,5;20,4;82,8;81;
2000-02-25;,4;31;24,6;20,8;79,8;60;
2000-02-26;,8;29;24;21;83,5;74;
2000-02-27;0;30,2;25;21,7;75,3;65;
2000-02-28;1;28,2;23,8;21,8;88,3;77;
2000-02-29;null;28,6;22,7;20;96,5;93;
2000-03-01;null;23,2;21,4;20,2;95;93;
2000-03-02;25;25,2;22,2;20,4;95;94;
2000-03-03;13;26,6;23,2;21;93,5;92;
2000-03-04;,4;28,7;23,9;20,6;90;84;
2000-03-05;23;26,4;21,8;19,4;89;73;
2000-03-06;0;29,4;23,5;20,2;88;81;
2000-03-07;32;29,3;23,5;20,6;93,3;87;
