Nome: CACERES
Codigo Estacao: 83405
Latitude: -16.04972221
Longitude: -57.68083332
Altitude: 118
Situacao: Desativada
Data Inicial: 2000-01-01
Data Final: 2014-07-02
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);
2000-01-01;0;32;26,5;24,3;89,3;76;
2000-01-02;3,4;33;27,4;22,5;77;64;
2000-01-03;0;35,6;27;19,1;78,5;62;
2000-01-04;0;37;28,5;22,3;71;52;
2000-01-05;0;36,6;27,3;22,3;74;49;
2000-01-06;4,6;34,9;27,2;22,1;77,5;61;
2000-01-07;17,3;32;25,6;22,3;86,3;70;
2000-01-08;0;32;28,3;22,8;75,8;82;
2000-01-09;0;33,4;28,7;22,9;71,8;62;
2000-01-10;21,4;29;25,7;21,7;87;72;
2000-01-11;12;32;27,6;22,8;77,3;66;
2000-01-12;0;33,2;28,1;22,7;74,5;61;
2000-01-13;0;32,6;28,2;24,5;77,5;66;
2000-01-14;0;32;26,1;22,9;81,8;66;
2000-01-15;8;32,6;27,8;22,9;75;61;
2000-01-16;5,8;31,8;27,5;22,3;77;71;
2000-01-17;0;34,6;28,9;22,5;70,3;57;
2000-01-18;0;31,2;26,8;22,4;84,8;72;
2000-01-19;5;32,4;27,2;22,3;79;66;
2000-01-20;0;34,2;28,3;23,5;74,3;62;
2000-01-21;0;33,4;27,9;23,7;74;58;
2000-01-22;0;34,8;29,3;23,7;71;61;
2000-01-23;0;35;28,2;23,7;74,3;59;
2000-01-24;0;34,2;28,3;23,3;72;59;
2000-01-25;0;35,6;28,2;24,9;84,8;71;
2000-01-26;1;34;28,1;23,1;78,3;66;
2000-01-27;,8;29,8;25,8;23,7;89,8;80;
2000-01-28;0;32,6;25,8;23,1;84;66;
2000-01-29;97,4;31,2;25,4;23,1;88,5;70;
2000-01-30;0;34;26,7;23,1;80;59;
2000-01-31;0;34,4;27,4;23,3;79;58;
2000-02-01;0;35;27,3;23,7;81,5;62;
2000-02-02;0;35,3;27,8;22,7;78,5;58;
2000-02-03;0;34;27,1;23,9;78,8;58;
2000-02-04;3,3;34;26,6;21;83,3;65;
2000-02-05;3,3;34;27,5;22,3;82;78;
2000-02-06;1,7;34;26,7;22,5;89;79;
2000-02-07;54,5;31;26,8;23,1;87,8;70;
2000-02-08;0;32;25,5;23;90,8;79;
2000-02-09;31,9;28;25,6;23,3;93;91;
2000-02-10;4,7;26,6;24,1;22,9;93,8;93;
2000-02-11;31,3;29;24,5;22,5;93,3;88;
2000-02-12;5,1;30;25,8;22,7;82,3;75;
2000-02-13;8,6;30,8;26;22,7;84,5;76;
2000-02-14;23;27;22,8;20,5;88,3;90;
2000-02-15;10;27;24,3;20,5;84;76;
2000-02-16;,6;29;25,4;20,7;85;77;
2000-02-17;9,4;26,6;23,9;20,7;85;84;
2000-02-18;,8;32,8;26,7;19,7;74;62;
2000-02-19;0;31,2;26,9;22,9;79;72;
2000-02-20;6;33,4;27,8;22,5;82,8;76;
2000-02-21;0;31,4;27;22,2;77,8;68;
2000-02-22;14;30;26,4;21,9;84;77;
2000-02-23;0;32,8;27;22,3;87;82;
2000-02-24;0;34,6;28,1;23,1;79;62;
2000-02-25;0;35;27,3;23,3;86,3;66;
2000-02-26;0;35;28,5;22,9;86,3;85;
2000-02-27;0;34,8;27,7;23,9;78;61;
2000-02-28;0;34;28;24,3;81,3;64;
2000-02-29;58;33;26,2;22,5;84,5;77;
2000-03-01;0;27;23,9;22,5;90,5;84;
2000-03-02;0;32,4;26,5;21,7;81,8;63;
2000-03-03;0;32;27;23,3;87,5;71;
2000-03-04;11,5;32,2;26,7;23,1;83,8;60;
2000-03-05;0;32,6;26,4;22,7;81,3;58;
2000-03-06;0;32,2;26,9;22,5;87;77;
2000-03-07;0;32;26,5;23,3;93,8;89;
2000-03-08;0;32,6;27,7;22,9;78,8;64;
2000-03-09;0;32,8;26,9;22,8;78,5;65;
2000-03-10;0;31,4;26,9;23;78,3;65;
2000-03-11;0;28,6;25;22,9;93,5;79;
2000-03-12;32;34,8;27,3;23,7;89,5;88;
2000-03-13;21;32,8;26,7;22,3;83,8;65;
2000-03-14;0;31;24,7;22,5;94;83;
2000-03-15;17,7;29;25,7;22,1;89,5;81;
2000-03-16;8,4;32,2;26,3;22,5;84,3;62;
2000-03-17;0;30,8;26,8;22,9;74;76;
2000-03-18;39,8;27,6;24,1;21,5;87,5;63;
2000-03-19;1,4;30,6;26,5;21,7;77,8;71;
2000-03-20;0;31,8;27,2;22,1;78,8;71;
2000-03-21;0;32,4;27,3;22,7;84,8;76;
2000-03-22;1,4;31,8;27,5;22,8;78;67;
2000-03-23;7;31,8;27,6;22,9;81;72;
2000-03-24;0;32,6;27,6;21,5;75,5;64;
2000-03-25;0;36,2;28,9;24,7;82;64;
2000-03-26;0;34,8;27,7;24,9;84,8;64;
2000-03-27;0;35,6;28,3;23,1;73,5;56;
2000-03-28;0;28;23,8;21,2;92,5;81;
2000-03-29;58,2;23,4;20,9;17,7;87,5;80;
2000-03-30;0;28,6;23,4;18,5;89,3;79;
2000-03-31;0;33,4;25,1;19,7;82;69;
2000-04-01;0;31;25,1;21,9;85;83;
2000-04-02;35;32,2;26,3;21,3;81,5;62;
2000-04-03;7,5;34;26,1;20,7;80,5;68;
2000-04-04;4,6;28,6;25,4;20,7;84;65;
2000-04-05;0;31,6;27,3;22,3;76,3;65;
2000-04-06;0;30;25,5;21,4;80,8;70;
2000-04-07;0;31;27,8;21,9;70,5;56;
2000-04-08;0;29,6;25,9;21,8;87;70;
2000-04-09;21,5;32;27,6;21,1;59,3;73;
2000-04-10;20,2;34,4;27,7;22,7;80,3;41;
2000-04-11;0;34;28,5;22,1;69;67;
2000-04-12;0;32;27,5;21,9;71;60;
2000-04-13;0;33;27,2;21,2;74,8;54;
2000-04-14;0;34,6;28,5;21,1;70,5;57;
2000-04-15;0;33,8;27,7;21,7;71;56;
2000-04-16;0;32,4;27,7;22,1;74,5;70;
2000-04-17;0;28,4;25,1;22,1;91,5;71;
2000-04-18;20,6;28,2;25,1;22,7;92,3;90;
2000-04-19;19,2;25,2;22,9;19,9;78,3;76;
2000-04-20;0;26,2;23,5;18,7;74,5;69;
2000-04-21;0;28,2;23,6;16,7;81,5;67;
2000-04-22;0;28;23,8;16,7;64,8;54;
2000-04-23;0;30,2;24,6;16,5;69,5;61;
2000-04-24;0;32,2;24,8;19;78,3;59;
2000-04-25;0;33,8;26,3;21,5;81,5;64;
2000-04-26;0;34,2;26,5;21,7;82,3;58;
2000-04-27;14,6;32,4;25,7;22,3;82,8;70;
2000-04-28;2,7;34;26,8;22,2;82,3;67;
2000-04-29;1,2;33,4;25,4;21,3;86;67;
2000-04-30;10;32,6;25,5;20,3;84,8;65;
2000-05-01;0;32;25,7;20,5;83,8;68;
2000-05-02;0;34;26,2;21,4;74,8;58;
2000-05-03;0;34,2;26,2;21,4;81;57;
2000-05-04;0;34;27,1;21,3;75,5;60;
2000-05-05;0;34;25,9;21,5;83;78;
2000-05-06;0;29;22,1;16,4;88,8;79;
2000-05-07;0;26;20,9;16,5;83;73;
2000-05-08;0;28;22,5;17,3;99,5;83;
2000-05-09;0;31;24,1;18,7;80;63;
2000-05-10;0;31;23,9;18,9;81,5;61;
2000-05-11;0;32;24,6;20,1;82,5;61;
2000-05-12;0;33,2;24,9;18,5;79;57;
2000-05-13;0;34,4;25,9;19,7;75,8;56;
2000-05-14;0;33,8;27,2;20,3;70,3;55;
2000-05-15;0;34,2;27,8;20,7;67,3;54;
2000-05-16;0;33,6;26,8;20,5;72,5;60;
2000-05-17;7;26,2;22,1;18;76,5;67;
2000-05-18;0;23;20;15,1;65,5;64;
2000-05-19;0;23,4;19,3;13,5;70,8;58;
2000-05-20;0;26,2;22,6;16,3;68;60;
2000-05-21;0;28,8;24,2;15,9;84,5;62;
2000-05-22;0;32,4;25,6;15,7;55,5;51;
2000-05-23;0;33,4;25,9;16,9;66,5;50;
2000-05-24;0;33,6;24,5;18;76,5;56;
2000-05-25;0;33,6;25,7;20,1;74,5;55;
2000-05-26;0;33,6;26,5;21,5;73,8;55;
2000-05-27;0;33,2;26,5;20;74,8;55;
2000-05-28;0;33;26,5;22,3;76;58;
2000-05-29;0;33;24,9;19,1;80;61;
2000-05-30;0;33,6;25,4;19,7;74,8;58;
2000-05-31;0;31,4;23,4;17,5;80,5;62;
2000-06-01;0;29;23,3;20,4;83,5;71;
2000-06-02;0;31;22,7;16,5;78,5;56;
2000-06-03;0;32,4;23,9;18,1;79,8;52;
2000-06-04;0;33,8;25,4;19,9;75,5;52;
2000-06-05;0;33,8;26;20,1;67,5;50;
2000-06-06;0;33,6;24,5;19,1;73,3;50;
2000-06-07;0;33,4;24;18,5;72,5;49;
2000-06-08;0;34;24,1;17,3;70,3;44;
2000-06-09;0;33,4;24,3;18,7;76,8;54;
2000-06-10;0;33;23,9;16,5;68,8;51;
2000-06-11;0;33;23,8;17,9;71,8;48;
2000-06-12;0;33,2;24,1;17,3;69,5;46;
2000-06-13;0;31,4;25,7;19,7;70,5;56;
2000-06-14;0;32,2;26,4;20,3;70,5;54;
2000-06-15;0;34,2;27,4;21,1;72,5;57;
2000-06-16;0;33,8;27,5;20,9;77,5;60;
2000-06-17;0;23,2;20;16,3;65,8;73;
2000-06-18;0;32,3;20,8;15,5;90,5;50;
2000-06-19;0;20;16,3;12,9;82,5;79;
2000-06-20;0;18,6;16,1;12,3;75,8;71;
2000-06-21;0;21,6;18,1;12,5;67,5;64;
2000-06-22;0;27,8;22,1;17,3;69;60;
2000-06-23;0;33;23,5;17;79,8;55;
2000-06-24;0;34,6;25,3;14,1;65,8;51;
2000-06-25;0;33,4;25,7;19,6;69;51;
2000-06-26;0;33,6;25,5;20,5;76,8;56;
2000-06-27;0;33,4;23,4;17,1;73,5;49;
2000-06-28;0;33;24;17,1;70,5;46;
2000-06-29;0;35;25,9;19,5;66,5;46;
2000-06-30;null;34,2;25,9;20,9;74,8;56;
2000-07-01;0;33,4;26,6;20;66,5;46;
2000-07-02;0;33,6;24,5;18;74;46;
2000-07-03;0;25,8;20,2;18;91,8;77;
2000-07-04;0;27,4;20,9;17,5;84,5;70;
2000-07-05;0;32,6;22,7;16,3;80;56;
2000-07-06;0;32,8;23,4;16,3;62,5;40;
2000-07-07;0;33;23,4;16,1;65,5;47;
2000-07-08;0;34;24,9;18,3;66,3;42;
2000-07-09;0;34,2;26,2;20,5;63;41;
