Nome: RONDONOPOLIS
Codigo Estacao: 83410
Latitude: -16.4625
Longitude: -54.58027777
Altitude: 289.88
Situacao: Desativada
Data Inicial: 2000-01-01
Data Final: 2016-01-28
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);
2000-01-01;0;33,4;26,8;22,4;81,3;67;
2000-01-02;12;33,1;25,8;22,4;99,8;79;
2000-01-03;4;33,8;26,8;21,8;72,8;52;
2000-01-04;0;34,2;27,1;22;72,5;60;
2000-01-05;13,4;31,4;26,7;22,6;81,5;72;
2000-01-06;13;32,6;25,4;22,8;85,5;59;
2000-01-07;0;32,8;25,7;22;82;56;
2000-01-08;0;31;25,4;21,4;83,3;60;
2000-01-09;11;32,6;25,3;21,4;83;56;
2000-01-10;4;32,2;25,4;22,6;87,5;72;
2000-01-11;1;32,6;25,2;21,6;84,8;58;
2000-01-12;5,5;33;26,7;22,2;91;78;
2000-01-13;0;31,8;25,6;22,2;85,8;66;
2000-01-14;2;34,2;27;21,6;71,8;52;
2000-01-15;0;34,6;27,5;21,8;72,3;51;
2000-01-16;0;32,2;26,7;21,6;81;76;
2000-01-17;0;36,4;29;22,4;72;50;
2000-01-18;1;34,8;25,3;21,4;76,5;52;
2000-01-19;32;34,2;27,3;22,6;79,5;51;
2000-01-20;0;33;27,7;24,2;81,3;60;
2000-01-21;0;34;27;24;77,5;61;
2000-01-22;1,5;31,8;25,2;22,2;87,8;56;
2000-01-23;3;30,8;25,3;21;94,8;93;
2000-01-24;2;32,2;27;22,4;79;53;
2000-01-25;2;32,2;27;22,4;77,5;52;
2000-01-26;9;32,6;25,8;22;91,8;82;
2000-01-27;44;31;24,8;22;92,5;94;
2000-01-28;null;31,1;null;22,8;null;87;
2000-01-29;null;null;null;null;null;null;
2000-01-30;null;null;null;null;null;null;
2000-01-31;null;null;null;null;null;null;
2000-02-01;0;32,8;25,8;20,8;91;80;
2000-02-02;1;33;27,3;22,4;90,5;92;
2000-02-03;1,5;29,8;24,7;22,2;97,8;85;
2000-02-04;null;32,7;24,9;21,6;90,5;68;
2000-02-05;,9;32;25,5;22,2;93;92;
2000-02-06;,2;31,8;24,4;21,6;89,5;74;
2000-02-07;4;31,8;25,8;21,6;83,5;71;
2000-02-08;,5;29,2;24,7;22;91,3;84;
2000-02-09;2,5;26,9;22,9;16,2;99,5;93;
2000-02-10;2,4;29,8;23,3;16,3;96,8;91;
2000-02-11;,4;29,8;24,7;22,4;93,5;81;
2000-02-12;,2;30,8;24,8;22,6;91;72;
2000-02-13;2,1;26,8;24,1;22,2;98,8;96;
2000-02-14;1,2;32;24,7;21;90,3;73;
2000-02-15;1,2;31,8;25,9;22;87,5;84;
2000-02-16;1,5;33,8;25,7;20,2;80,8;61;
2000-02-17;0;29,8;25,1;20,6;83;70;
2000-02-18;,3;32,8;24,7;21;87;70;
2000-02-19;,7;32,2;25,8;21,8;83;66;
2000-02-20;,1;33,2;25,6;22;86,3;65;
2000-02-21;0;29,8;24,7;20,8;86,5;60;
2000-02-22;,5;33,4;25,2;21,8;90,8;82;
2000-02-23;,9;32,2;27;21,2;75,5;62;
2000-02-24;0;34,8;26,7;22,4;80,5;55;
2000-02-25;0;33,4;25,4;21,8;90,8;80;
2000-02-26;0;34,8;27,9;21,6;71,5;56;
2000-02-27;0;33,2;25,6;22;87;68;
2000-02-28;,8;34,8;26,6;23,6;88;76;
2000-02-29;0;33,8;25,8;21,8;83,3;57;
2000-03-01;4,6;32,8;24,7;21;94,5;82;
2000-03-02;,3;30,8;24,7;21,4;95,8;87;
2000-03-03;1,5;30,8;24,5;21;95,8;90;
2000-03-04;,7;31,2;25,6;22,2;92;84;
2000-03-05;4,3;28;24,1;21,2;87,3;93;
2000-03-06;0;33,8;27;20,8;84,5;77;
2000-03-07;0;33,4;27,5;22,8;72,5;63;
2000-03-08;0;31,8;25,3;22,8;87,5;66;
2000-03-09;,3;30,8;24,6;20,8;91;81;
2000-03-10;1,5;28,8;24,1;20,8;88,8;77;
2000-03-11;0;29,2;24,2;20,8;91,8;93;
2000-03-12;,4;28,8;24,9;21,6;87,5;79;
2000-03-13;,7;30,8;24,6;21;91;70;
2000-03-14;5,6;30,2;24,1;20,8;89,3;75;
2000-03-15;,7;30,8;24,5;21;95,8;88;
2000-03-16;,9;30,4;24,5;20,8;89,3;68;
2000-03-17;,2;31,4;25,7;22,4;88,8;69;
2000-03-18;0;30,8;25,1;21,8;84,8;67;
2000-03-19;0;33,4;25,5;22;91,5;82;
2000-03-20;2,1;32,8;26,6;21,8;75,5;62;
2000-03-21;,5;29,6;25,4;21,8;89,8;74;
2000-03-22;0;34,4;26,5;21,4;81,8;62;
2000-03-23;0;33,6;26,4;22,6;86,5;62;
2000-03-24;0;34;25,8;21;83,3;58;
2000-03-25;0;34;27,7;21,8;74,8;55;
2000-03-26;0;35,2;27,8;22,8;79;62;
2000-03-27;,5;34,8;27,7;22,4;72,5;51;
2000-03-28;0;33,6;25,5;21;89;73;
2000-03-29;9;29,8;23,7;21;86,5;71;
2000-03-30;0;31,8;25,5;21,2;84,3;68;
2000-03-31;4;31,8;25,9;20,8;85,5;84;
2000-04-01;0;31,8;24,7;21,2;85,5;69;
2000-04-02;0;31,2;24,7;20,4;82,8;64;
2000-04-03;0;33,2;25,3;20,2;81;72;
2000-04-04;0;33,8;26,7;21;71,5;57;
2000-04-05;0;32,4;26,2;21;79,5;56;
2000-04-06;0;33,6;26,9;21;73,8;52;
2000-04-07;0;33,8;26,1;20,4;76,8;52;
2000-04-08;0;33,8;25,2;20,6;82,8;51;
2000-04-09;0;33,9;26,7;20;69,3;47;
2000-04-10;0;34,6;27,5;20,4;69,3;51;
2000-04-11;0;34,4;26,7;20,8;70,8;50;
2000-04-12;0;34,4;26,6;20;71,3;47;
2000-04-13;0;33,8;26,9;21;70,8;48;
2000-04-14;0;34;26;20,6;78,8;54;
2000-04-15;0;34,4;26,9;20,6;73,8;52;
2000-04-16;16,4;33,8;25,1;21,6;85,5;67;
2000-04-17;null;33,9;26;21,6;81,5;54;
2000-04-18;0;33,8;26,7;21;78,3;70;
2000-04-19;2,2;32,6;24,5;21,4;85,3;77;
2000-04-20;0;32,6;24,4;22;83,8;77;
2000-04-21;0;30,6;23;17,9;75,5;61;
2000-04-22;0;31,6;22;15,9;74,5;52;
2000-04-23;0;31;23,4;12,9;69;56;
2000-04-24;0;32,8;24,1;15,9;69,8;45;
2000-04-25;0;32,4;24,7;17,9;74,8;61;
2000-04-26;0;33,8;25,6;19,4;80,5;66;
2000-04-27;1;32;23,7;19,4;85,5;52;
2000-04-28;0;31,8;24,6;20;82,8;59;
2000-04-29;16;31,8;24,1;20,2;82,8;61;
2000-04-30;null;32;24,6;19,6;80;54;
2000-05-01;0;33,2;25,9;18,7;69,8;51;
2000-05-02;0;33,2;25,5;19,4;75;56;
2000-05-03;0;33,8;24,8;20,2;80,8;55;
2000-05-04;0;34;26;20,2;76,8;56;
2000-05-05;0;34;26,1;20,4;76,3;52;
2000-05-06;0;27,4;21,2;18,8;87;82;
2000-05-07;0;29,2;22,2;18,9;89,3;74;
2000-05-08;null;31,4;23,8;18,7;82,8;65;
2000-05-09;0;31,8;23,9;18,7;85;61;
2000-05-10;0;33,8;25,3;19,8;77,3;54;
2000-05-11;0;32,8;24,9;20,6;75,3;50;
2000-05-12;0;33,6;24;18,3;75,3;45;
2000-05-13;0;33;23,8;17,3;74,8;45;
2000-05-14;0;33,4;23,6;17,5;71,8;40;
2000-05-15;0;33,8;23,5;16,7;73;40;
2000-05-16;0;33,8;23,8;16,3;69,8;43;
2000-05-17;5;28,7;22,1;18,4;90,3;76;
2000-05-18;0;26;21,4;15,5;76,3;59;
2000-05-19;0;26,2;18,4;13,5;79;62;
2000-05-20;0;26,8;19,3;13,9;80,8;67;
2000-05-21;0;31;21,6;14,7;74;51;
2000-05-22;0;26,8;20,5;15,7;74,5;50;
2000-05-23;0;33,8;23,9;16,5;68,3;45;
2000-05-24;0;33;23;15,7;73;38;
2000-05-25;0;34;24,9;16,1;70;48;
2000-05-26;0;34;25;17,7;75;47;
2000-05-27;0;34,2;24,6;16,9;69,8;46;
2000-05-28;0;34,4;24,8;18,1;77,3;52;
2000-05-29;0;33,8;24,7;17,7;76,3;48;
2000-05-30;0;33,8;25,2;18,3;64,5;45;
2000-05-31;0;33,8;23,2;17,1;71;44;
2000-06-01;0;31,8;23,7;19,4;80,5;54;
2000-06-02;0;31,8;23,8;19,4;74,5;52;
2000-06-03;0;33,2;24,3;16,3;77,5;73;
2000-06-04;0;34,8;25,5;18,3;62,5;56;
2000-06-05;0;33,8;24,8;16,5;54;39;
2000-06-06;0;33,4;23,4;15,5;69;39;
2000-06-07;0;33,2;22,6;14,5;67,5;40;
2000-06-08;0;33,2;23,6;15,5;64,8;40;
2000-06-09;0;32,8;24,6;14,3;60;41;
2000-06-10;0;33,4;23;13,9;62,3;33;
2000-06-11;0;33,2;23,1;14,5;null;66;
2000-06-12;0;33,3;null;21;null;33;
2000-06-13;0;34;23,2;13,5;null;79;
2000-06-14;null;34,1;null;19,2;null;34;
2000-06-15;0;35;24,8;15,5;null;70;
2000-06-16;null;35,1;null;23,8;null;37;
2000-06-17;0;34,5;22,5;17,9;null;90;
2000-06-18;null;34,3;null;18,9;null;66;
2000-06-19;0;26,5;22,2;15,5;null;91;
2000-06-20;0;24,6;17,2;14,7;86,3;47;
2000-06-21;0;24,8;17,7;15,3;86;68;
2000-06-22;0;30;20,3;12,1;74,3;48;
2000-06-23;0;34,2;23,5;13,3;60,8;34;
2000-06-24;0;34,6;24,6;15,1;56,5;35;
