"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Área plantada (Hectares)"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Ano x Produto das lavouras temporárias"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"2000";;"2001";;"2002";;"2003";;"2004";;"2005";;"2006";;"2007";;"2008";;"2009";;"2010";;"2011";;"2012";;"2013";;"2014";;"2015";;"2016";;"2017";;"2018";;"2019";;"2020";;"2021";;"2022";;"2023"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)"
"UF";"51";"Mato Grosso";"4746968";"562582";"4882136";"540085";"5632992";"723135";"6445164";"882658";"7912796";"941125";"8976694";"1073146";"8009276";"1079980";"7992055";"1650471";"8830550";"1832687";"8735355";"1665470";"9381244";"2014192";"9884223";"1922621";"11262263";"2740833";"12723490";"3416701";"13542011";"3349650";"14082687";"3570606";"14494519";"3900268";"15570194";"4784837";"15478806";"4418507";"16594186";"5026449";"17150016";"5318762";"17930752";"5808096";"19125237";"6416967";"21220170";"7429526"
"ME";"5101";"  Norte Mato-grossense";"2926454";"315682";"3002330";"316423";"3527126";"491014";"4092316";"613510";"5030259";"674256";"5748190";"778387";"5223075";"758492";"5254513";"1218918";"5899148";"1338201";"5747571";"1167300";"6182731";"1418237";"6411080";"1308342";"7362382";"1891121";"8348541";"2417378";"8702050";"2212384";"9036820";"2437077";"9317493";"2672119";"10195674";"3445186";"10030229";"3112599";"11023764";"3641603";"11314594";"3814190";"11665264";"4091913";"12534821";"4527662";"13596483";"4979232"
"MI";"51001";"    Aripuanã";"100505";"20010";"107647";"18496";"138904";"23506";"168315";"26024";"208213";"26223";"236060";"30420";"211901";"36825";"149106";"30439";"211996";"34804";"203059";"33490";"220650";"42753";"209200";"33098";"254968";"49189";"289634";"61650";"301419";"50803";"332596";"63151";"337039";"72506";"389476";"118586";"389995";"121816";"421168";"149521";"427203";"147655";"434850";"129661";"489655";"166094";"586175";"215934"
"MU";"5101407";"      Aripuanã";"9390";"2600";"2793";"1000";"4008";"1700";"4660";"2500";"4265";"1500";"6140";"2800";"8715";"4480";"2823";"1000";"2794";"1000";"2929";"1100";"2837";"1003";"3551";"1303";"2953";"1303";"3030";"1505";"2679";"1155";"4055";"2055";"4310";"2700";"5520";"3800";"5425";"3500";"6827";"4400";"6752";"4105";"8484";"4905";"10439";"5515";"19846";"8330"
"MU";"5101902";"      Brasnorte";"74565";"9300";"78685";"6475";"97055";"2900";"120013";"8500";"157463";"9200";"193411";"11000";"168243";"15800";"117482";"15030";"185357";"22980";"178977";"21440";"197119";"30600";"192018";"25235";"238416";"41100";"275111";"55015";"286663";"45200";"304907";"52300";"315805";"65200";"365260";"107800";"359332";"108000";"388796";"134000";"392671";"132500";"390400";"111471";"433780";"143545";"498965";"182500"
"MU";"5102850";"      Castanheira";"2490";"900";"2089";"1001";"2012";"850";"2219";"1023";"3373";"1023";"2645";"1320";"1514";"710";"1070";"400";"1102";"400";"1165";"400";"1838";"1000";"1761";"1000";"1762";"976";"1171";"480";"585";"150";"807";"400";"655";"280";"425";"120";"396";"120";"430";"150";"382";"100";"1812";"110";"1192";"264";"2454";"272"
"MU";"5103254";"      Colniza";"...";"...";"7130";"2000";"19415";"10000";"23430";"5000";"26760";"6000";"15275";"6000";"14800";"6010";"10462";"5437";"8165";"3100";"7980";"3200";"7995";"3200";"5650";"1840";"5429";"1870";"4670";"2170";"3800";"2100";"5195";"3100";"3095";"1100";"4390";"2300";"5375";"3180";"5975";"3870";"4845";"2865";"5187";"3115";"5212";"3115";"5357";"3372"
"MU";"5103379";"      Cotriguaçu";"3276";"1320";"4862";"1400";"6587";"2500";"5677";"2875";"6625";"3200";"6515";"3500";"7346";"4025";"5692";"2500";"6045";"2700";"4368";"2700";"4268";"3000";"2904";"2100";"3230";"2340";"2103";"1200";"1283";"550";"1127";"450";"1137";"550";"1300";"700";"1850";"850";"2024";"950";"2648";"1000";"3229";"1300";"4547";"1755";"10135";"6000"
"MU";"5105150";"      Juína";"8107";"4600";"7632";"4500";"7642";"4500";"10049";"5120";"6959";"4050";"8853";"4500";"6630";"3700";"6510";"3250";"5820";"3350";"5160";"3350";"5170";"3350";"2190";"1100";"2193";"1100";"2993";"1100";"5727";"1310";"15973";"4600";"11551";"2480";"11183";"2980";"15105";"4480";"14633";"4481";"17703";"5425";"22956";"6800";"30135";"9200";"43850";"12350"
